"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-34.3376617968927,0.0487531038092404,-0.000388659829902828,0.000440278720962512,NA,3.7925291051313,-0.107961496862329,9,-492.206368241067,1002.48593697014,0,0.528900363029262,0.528900363029262,FALSE
-33.5099880642921,0.0486583486207746,-0.000387579410174591,0.000954553028773336,-2.37889321798363e-06,3.6967262360236,-0.105259075488881,10,-491.648987332478,1003.38747832647,0.901541356332018,0.336981956134442,0.865882319163704,FALSE
-33.8620203191703,0.0215048172486399,NA,0.000438608747339045,NA,3.78012537523755,-0.107616571926287,8,-495.186653583701,1006.43184375277,3.94590678262966,0.0735412646980506,0.939423583861754,FALSE
-33.0138476010836,0.0214803378088864,NA,0.000965329465756812,-2.43567164461055e-06,3.68184449238192,-0.104844195464185,9,-494.602851043404,1007.27890257481,4.79296560467446,0.0481498133649804,0.987573397226735,FALSE
-38.789101432354,0.0488044246984259,-0.000388420652171571,NA,NA,4.31017092574825,-0.122817115902668,8,-497.099773807015,1010.2580841994,7.77214722925919,0.010856092572709,0.998429489799444,FALSE
-38.2969211178655,0.021613474068184,NA,NA,NA,4.29566181008581,-0.122411864992269,7,-500.039862573313,1014.12523510193,11.6392981317916,0.00157011834980624,0.99999960814925,FALSE
-33.420264513808,NA,NA,0.000441169857798,NA,3.80494739549432,-0.108270969111547,7,-508.886512790473,1031.81853553625,29.3325985661108,2.25881683842596e-07,0.999999834030934,FALSE
-32.4966221803333,NA,NA,0.0010083993260172,-2.6188611474673e-06,3.69783617115677,-0.105249627296533,8,-508.216565132766,1032.4916668509,30.0057298807601,1.6132898771604e-07,0.999999995359922,FALSE
-37.8528496154296,NA,NA,NA,NA,4.32068574889179,-0.123074994099065,6,-513.777488538375,1039.58909567951,37.1031587093746,4.64007842360394e-09,1,FALSE
-0.713426737584594,0.0459963667535229,-0.000350071306842995,0.00290003628880705,-8.22987622000355e-06,-0.0274462804756958,NA,9,-543.260569557922,1104.59433960385,102.10840263371,3.55480641500047e-23,1,FALSE
-0.37540561969521,0.0212552885676925,NA,0.00290562597035837,-8.27610527091437e-06,-0.0276486372515774,NA,8,-545.737242991435,1107.53302256824,105.047085598098,8.17879000302909e-24,1,FALSE
-1.21137739077728,0.0461309360739439,-0.000356360506357658,0.00301235873932941,-8.04620223481328e-06,NA,NA,8,-548.756692600348,1113.57192178606,111.085984815925,3.99354657641595e-25,1,FALSE
-0.664177012519871,0.0463547873905985,-0.000353163457174231,0.00118172163583447,NA,-0.0267395024334774,NA,8,-549.981569688566,1116.0216759625,113.535738992361,1.17327925940535e-25,1,FALSE
-0.869535901338523,0.0208976364228271,NA,0.00301908814973399,-8.09311727845462e-06,NA,NA,7,-551.307046352261,1116.65960265982,114.173665689687,8.52859264029347e-26,1,FALSE
-0.323466036686283,0.0214235425764953,NA,0.00117709707118833,NA,-0.0269454605001745,NA,7,-552.530232565168,1119.10597508564,116.620038115502,2.50988803748552e-26,1,FALSE
-1.15082935789133,0.0464867912667119,-0.000359309572976004,0.00132860608401187,NA,NA,NA,7,-555.159778288445,1124.36506653219,121.879129562054,1.80991071491902e-27,1,FALSE
-0.806584908491884,0.0210763009457849,NA,0.00132499708054156,NA,NA,NA,6,-557.781141435496,1127.59640147375,125.110464503616,3.59734163333769e-28,1,FALSE
0.257864147673473,NA,NA,0.00296999253219985,-8.56309153588035e-06,-0.0257950741257973,NA,7,-559.418132589508,1132.88177513432,130.395838164181,2.56022053230252e-29,1,FALSE
-0.213577565720031,NA,NA,0.0030748977368007,-8.38717541663485e-06,NA,NA,6,-564.231623107002,1140.49736481677,138.011427846628,5.68294023027972e-31,1,FALSE
0.317248790404846,NA,NA,0.00117892911222167,NA,-0.0250311746452464,NA,6,-566.652245603523,1145.33860980981,142.85267283967,5.05021765040969e-32,1,FALSE
-0.14168056290498,NA,NA,0.00131645550799933,NA,NA,NA,5,-571.149415150698,1152.32319083733,149.837253867189,1.53683625079108e-33,1,FALSE
-0.0149892633539561,0.0447707916524175,-0.000330223878345794,NA,NA,-0.0544881628084171,NA,7,-592.324230395599,1198.6939707465,196.208033776364,1.31020930077762e-43,1,FALSE
0.30227698466691,0.0214241730945813,NA,NA,NA,-0.0545823648365228,NA,6,-594.515819575014,1201.06575775279,198.579820782652,4.00233718160544e-44,1,FALSE
0.942564333356882,NA,NA,NA,NA,-0.0526830597399753,NA,5,-608.461625660778,1226.94761185749,224.46167488735,9.59710980822498e-50,1,FALSE
-0.964133904932047,0.0445840915766163,-0.000337524885830805,NA,NA,NA,NA,6,-615.902154364093,1243.83842733095,241.35249036081,2.06227456978386e-53,1,FALSE
-0.637940977353637,0.020605400432296,NA,NA,NA,NA,NA,5,-618.145781841974,1246.31592421988,243.829987249742,5.97537096619301e-54,1,FALSE
0.00995780649250292,NA,NA,NA,NA,NA,NA,4,-630.312044997819,1268.64032376187,266.154386791733,8.48561075166792e-59,1,FALSE
