"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","Year","df","logLik","AICc","delta","weight","cw"
4.9514732722161,0.158368635433393,-0.00191857908360218,0.0041881009617422,-4.76578053334168e-06,NA,NA,-0.00302465662660026,9,-515.775763688607,1049.65010349989,0,0.288779001613706,0.288779001613706
-0.791007108330628,0.146664558970249,-0.00185518283312702,0.0042374854120184,-4.85993720532628e-06,NA,NA,NA,8,-517.04178364305,1050.16238502009,0.512281520202578,0.223524479312251,0.512303480925958
4.86029324287047,0.158184889886692,-0.00191615011448342,0.00428233063042647,-4.88155522025078e-06,-0.0109687411142542,NA,-0.00286162235490947,10,-515.456422409143,1051.03339276349,1.38328926360418,0.14460661614428,0.656910097070238
-0.529314444030997,0.147201274775242,-0.00185634294559107,0.00434659549893779,-4.99171256112694e-06,-0.0131433342637655,NA,NA,9,-516.578983428349,1051.25654297937,1.60643947948302,0.129339658480958,0.786249755551196
5.40991502214204,0.158200925990883,-0.00191618610800318,0.00427567009261492,-4.87249716040343e-06,-0.0591554640880213,0.00106971232955945,-0.00286500446367442,11,-515.451556044199,1053.0478489305,3.39774543061571,0.0528146693103934,0.839064424861589
-0.137549401516125,0.147203544308412,-0.00185631746356873,0.00434182236631235,-4.98522961597606e-06,-0.0478956544027151,0.000771455032072119,NA,10,-516.576458496555,1053.27346493831,3.62336143842776,0.0471805143633162,0.886244939224905
5.56163580620759,0.158320129421273,-0.00191760082376418,0.00158722031794156,NA,NA,NA,-0.00315950351287512,8,-518.735189892375,1053.54919751874,3.8990940188537,0.0411043800282562,0.927349319253162
-0.429527729664,0.146082992951529,-0.00185134016927664,0.00158512612983653,NA,NA,NA,NA,7,-520.112168288834,1054.28560572428,4.63550222438994,0.0284432417233655,0.955792560976527
5.49954395566221,0.15817089861445,-0.00191568165546894,0.00161107551420935,NA,-0.00845479558052033,NA,-0.00303464083093476,9,-518.545095676584,1055.18876747584,5.53866397595448,0.0181075631992117,0.973900124175739
-0.207896006602587,0.146508017993186,-0.00185220903714154,0.00161537407800336,NA,-0.0107276110528853,NA,NA,8,-519.803451795729,1055.68572132545,6.03561782556017,0.0141236794514803,0.988023803627219
6.68567634188368,0.158204726889732,-0.00191575739141531,0.00160737855395721,NA,-0.112719612215418,0.0023143936062675,-0.00304103241001314,10,-518.522340283545,1057.1652285123,7.5151250124095,0.00674026464558307,0.994764068272802
0.825125765941823,0.146516352633881,-0.0018521567334577,0.00161212753346844,NA,-0.102470165021712,0.00203639129958169,NA,9,-519.78588057504,1057.67033727275,8.02023377286605,0.00523593172719781,1
13.672654073934,0.155382326450914,-0.00188165984489703,NA,NA,-0.708618304393926,0.0163845889880258,-0.00316501796781665,9,-575.567754195044,1169.23408451276,119.583981012875,3.11339391044967e-27,1
5.28266960274099,0.155103849547072,-0.00188046406641262,NA,NA,0.0299662868743811,NA,-0.00312482799641844,8,-576.625181174802,1169.32918008359,119.679076583706,2.96882317015268e-27,1
