"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-2.83585016373795,0.008165807956038,0.112439442142707,-0.00351897727924211,0.118421640918985,-0.000906070323271685,-0.109166251871641,NA,10,-895.989058776384,1812.13788516352,0,0.594113427898235,0.594113427898235,FALSE
-8.17967829989538,0.00840435553794732,0.111902059201486,-0.00352367577296817,0.116879634544239,-0.000888054945964323,0.420215112820645,-0.0131544121033256,11,-895.354153338619,1812.90016714235,0.762281978837791,0.405827936387721,0.999941364285955,FALSE
-0.855237405316097,NA,0.107995526533354,-0.00245489892114185,0.120611616839612,-0.000928050721609661,-0.10694593584075,NA,9,-906.5948730638,1831.32037022049,19.1824850569726,4.05924873029599e-05,0.999981956773258,FALSE
-3.83823652599488,NA,0.10760764465773,-0.00243967152160303,0.119780654736815,-0.000918273447712196,0.191862893398657,-0.00742473550623414,10,-906.391129205338,1832.94202602142,20.8041408579074,1.80429514516343e-05,0.99999999972471,FALSE
-0.234850867522467,0.00150893008231817,NA,NA,0.122406366927053,-0.000953020482896925,-0.111362604758553,NA,8,-920.917853701623,1857.94013089853,45.8022457350162,6.73035663200168e-11,0.999999999792014,FALSE
-5.87804686830715,0.0016555656512116,NA,NA,0.120780773662776,-0.00093392104908732,0.449460164349451,-0.0139380557389823,9,-920.201513989427,1858.53365207174,46.3957669082263,5.0021486345089e-11,0.999999999842035,FALSE
0.185835865416412,NA,NA,NA,0.122282360883716,-0.000948974572880001,-0.107912608662548,NA,7,-922.410857497208,1858.90287441471,46.7649892511897,4.15892395249534e-11,0.999999999883624,FALSE
-0.326067224292467,0.0020881258631535,-0.00405807509468987,NA,0.122316632560693,-0.000951963291204368,-0.111176906773506,NA,9,-920.792899994171,1859.71642408123,47.5785389177152,2.7689869804597e-11,0.999999999911314,FALSE
0.0962429934587063,NA,0.00519433042986642,NA,0.122437866739443,-0.000952076074308371,-0.109838179799016,NA,8,-921.837057613153,1859.77853872159,47.6406535580763,2.68431137009884e-11,0.999999999938157,FALSE
-4.24364936862504,NA,NA,NA,0.120995886649649,-0.000933679732668194,0.335781789881717,-0.0110211275845923,8,-921.956189183494,1860.01680186227,47.878916698759,2.38283904247634e-11,0.999999999961986,FALSE
-6.10490026294814,0.00230720945659317,-0.00454476176068606,NA,0.12064275602838,-0.000932297589609342,0.462072533814864,-0.0142463515502797,10,-920.046371406529,1860.25251042381,48.1146252602903,2.11792825146289e-11,0.999999999983165,FALSE
-4.75475684775601,NA,0.00560376402135693,NA,0.121038556510551,-0.000935527173190235,0.375211077544293,-0.012051725748737,9,-921.295653540954,1860.7219311748,48.5840460112811,1.67485734670231e-11,0.999999999999914,FALSE
-5.06194411297677,0.00786946971439496,0.111324794688363,-0.00360335406584548,0.12194457335223,-0.000876031496823604,NA,NA,9,-926.564597912427,1871.25981991774,59.1219347542262,8.62391280184216e-14,1,FALSE
-12.8558121210667,0.00894890984850168,0.110708420024734,-0.00359927993665352,0.036155782973177,NA,1.04823009981082,-0.0286894183290972,10,-931.969333115264,1884.09843384128,71.9605486777609,1.40551267185984e-16,1,FALSE
-1.13091071696451,0.00846646457822817,0.111785207463934,-0.00359180702638839,0.035966855403448,NA,-0.106404172737023,NA,9,-934.783281572502,1887.69718723789,75.559302074377,2.32474538663691e-17,1,FALSE
-3.11882202496125,NA,0.106888132433327,-0.00255701520587351,0.124044647547084,-0.000898005110317149,NA,NA,8,-936.2460116701,1888.59644683549,76.4585616719714,1.48287196325644e-17,1,FALSE
-8.09256524004161,NA,0.105707628013592,-0.0024274860846741,0.0364220797908442,NA,0.796375832026064,-0.0223612582015364,9,-946.123810805559,1910.37824570401,98.2403605404895,2.76214279590243e-22,1,FALSE
