"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-20.4770357802816,0.319455295248401,-0.0052850197243717,NA,NA,1.30298940860104,-0.0376243133458365,8,-801.866842747323,1619.78415868077,0,0.663093602991813,0.663093602991813,FALSE
-20.688634783457,0.319372681669564,-0.00528290951095203,-1.85944395886123e-05,NA,1.32758994980601,-0.0383291740855518,9,-801.858688414456,1621.7804904334,1.99633175263421,0.244386328057261,0.907479931049075,FALSE
-20.5853664110612,0.319330548380037,-0.00528180419350199,3.60276543250464e-05,-2.52296092607617e-07,1.31569324458304,-0.0379936835989308,10,-801.852917384058,1623.78300067482,3.99884199404914,0.0897919353227851,0.99727186637186,FALSE
-8.78382927515082,0.321541342039542,-0.00533019307035621,0.000243312097599079,NA,-0.0269375575673928,NA,8,-808.101935123061,1632.25434343224,12.4701847514752,0.00129929756714062,0.998571163939,FALSE
-8.79268959233639,0.320930104137617,-0.00531519074540202,0.000751308263408068,-2.44968441932034e-06,-0.0273327852360718,NA,9,-807.515278578243,1633.09367076097,13.3095120802079,0.000853986512281158,0.999425150451282,FALSE
-8.65420368417501,0.32075598621318,-0.00530786367867212,NA,NA,-0.0323861473442707,NA,7,-809.975873704915,1633.99099057731,14.2068318965485,0.0005452560451276,0.999970406496409,FALSE
-9.26416706798654,0.32020734392118,-0.00531108329076611,0.000380963081585106,NA,NA,NA,7,-813.350747428431,1640.74073802435,20.9565793435795,1.8659992031754e-05,0.999989066488441,FALSE
-9.27803124132862,0.319660391842126,-0.00529788853497387,0.000825153226923263,-2.13350597959459e-06,NA,NA,8,-812.906933386197,1641.86433995851,22.0801812777481,1.06395777854971e-05,0.999999706066226,FALSE
-9.20686559968305,0.318356240832433,-0.00526529554326822,NA,NA,NA,NA,6,-818.506440544525,1649.0423031556,29.258144474833,2.93933773497638e-07,1,FALSE
-19.9826039773147,0.163003851652629,NA,NA,NA,1.34186983187447,-0.0386596441047552,7,-899.758742466174,1813.55672809983,193.772569419067,5.55131685859282e-43,1,FALSE
-20.827659089827,0.162943267729918,NA,-7.35445661791775e-05,NA,1.4399415428853,-0.041468942009981,8,-899.631613430658,1815.31370004744,195.52954136667,2.30608019435203e-43,1,FALSE
-20.551415143442,0.162915566618553,NA,7.77982927814007e-05,-7.02539397582678e-07,1.40807924686549,-0.04057067113069,9,-899.586569992602,1817.23625358969,197.452094908925,8.81855054751182e-44,1,FALSE
-7.9427041108426,0.163928190360728,NA,0.000214535319349509,NA,-0.025574942642675,NA,7,-906.979412991963,1827.99806915141,208.213910470644,4.05974402917924e-46,1,FALSE
-7.95467207714376,0.163715488430553,NA,0.000827698148264864,-2.96918111109909e-06,-0.0260704141963073,NA,8,-906.11709417205,1828.28466153022,208.500502849454,3.51775757912187e-46,1,FALSE
-7.83214578495744,0.163949224035172,NA,NA,NA,-0.0303730938333566,NA,6,-908.443459944359,1828.91634195527,209.132183274502,2.56506423885389e-46,1,FALSE
-8.39788937238477,0.162868997891858,NA,0.000346016159706826,NA,NA,NA,6,-911.765711437823,1835.5608449422,215.776686261431,9.25257799837073e-48,1,FALSE
-8.41650734417522,0.162664603353188,NA,0.000895940994167554,-2.65190856537857e-06,NA,NA,7,-911.079442737619,1836.19812864272,216.413969961955,6.72788187274786e-48,1,FALSE
-8.35213465991291,0.162548516700344,NA,NA,NA,NA,NA,5,-916.04358808383,1842.10818457102,222.324025890256,3.50369278529867e-49,1,FALSE
-19.3344519924399,NA,NA,NA,NA,1.4780952647093,-0.0424258856045206,6,-1131.75887565169,2275.54717336993,655.763014689165,2.65732993754292e-143,1,FALSE
-19.7960682195711,NA,NA,-3.99224767916544e-05,NA,1.53169803531133,-0.0439609224407964,7,-1131.72295777862,2277.48515872472,657.701000043951,1.00836394234111e-143,1,FALSE
-19.6064095829561,NA,NA,6.79095850532476e-05,-5.03183187708012e-07,1.50985770163425,-0.0433453245164493,8,-1131.70067257313,2279.45181833238,659.667659651613,3.77192110109566e-144,1,FALSE
-6.13210943735484,NA,NA,0.00027080243323986,NA,-0.0219070049895322,NA,6,-1139.71231685565,2291.45405577785,671.66989709708,9.33920381355942e-147,1,FALSE
-6.14156580218841,NA,NA,0.000854428028929644,-2.8379587084098e-06,-0.0223840472828245,NA,7,-1138.95732378478,2291.95389073705,672.169732056281,7.27397947018935e-147,1,FALSE
-5.98765279654076,NA,NA,NA,NA,-0.0279268732533489,NA,5,-1141.96801739875,2293.95704320086,674.172884520093,2.67173291121266e-147,1,FALSE
-6.53296029608301,NA,NA,0.000383872867853727,NA,NA,NA,5,-1143.13608590477,2296.29318021291,676.509021532141,8.30820748040333e-148,1,FALSE
-6.54935731689622,NA,NA,0.000911352309673678,-2.55413526788851e-06,NA,NA,6,-1142.52514994081,2297.07972194817,677.295563267403,5.60675999468372e-148,1,FALSE
-6.47814080169909,NA,NA,NA,NA,NA,NA,4,-1148.23421483376,2304.48243036755,684.698271686788,1.38431287159852e-149,1,FALSE
