"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw"
-10.8999074015079,0.433073888807228,-0.00965407689748138,NA,NA,0.00206987888913384,NA,NA,7,-256.296645458919,526.750594288624,0,0.1327990958206,0.1327990958206
0.425092851136601,0.436846267135367,-0.00943167306842356,NA,NA,0.00207683613529413,NA,-0.00582788909289053,8,-255.362975222145,526.928482089859,0.177887801234874,0.121497480728636,0.254296576549235
-11.4909626476252,0.432807717648044,-0.00963662799624696,NA,NA,0.0161882088934472,-8.28848345679612e-05,NA,8,-255.367710059716,526.937951765002,0.187357476377429,0.120923569652124,0.375220146201359
-0.302969290617815,0.43653188141431,-0.00941871535261935,NA,NA,0.0160039704199957,-8.17627267850025e-05,-0.00575312541883255,9,-254.456955734858,527.167432596477,0.416838307853141,0.10781515947469,0.483035305676049
-11.8428088070302,0.432981341583725,-0.00963513938656802,0.0918669901036936,NA,0.017850601547019,-8.9758683219793e-05,NA,9,-254.987285535088,528.228092196937,1.47749790831313,0.0634396128240813,0.54647491850013
-11.1371513865882,0.433225663610385,-0.00965402593053228,0.0719753313243876,NA,0.00245497965298407,NA,NA,8,-256.059908390733,528.322348427036,1.57175413841219,0.0605191811888869,0.606994099689017
-0.898064129236866,0.436649280630531,-0.00942460415348615,0.0859582645879408,NA,0.0175636520114702,-8.82204233565526e-05,-0.00561647575521639,10,-254.123781489384,528.557859170587,1.80726488196251,0.0537963159177641,0.660790415606781
0.0106516408920956,0.436955100273297,-0.00943702772053379,0.0662824879732131,NA,0.00243132107575852,NA,-0.00572711429122796,9,-255.162086021735,528.577693170231,1.82709888160662,0.0532654544894325,0.714055870096213
-10.7198566816097,0.432392285560688,-0.00961818386937934,NA,NA,NA,NA,NA,6,-258.352301797707,528.822415657125,2.07182136850088,0.0471308013701388,0.761186671466352
0.479519221456181,0.436039037911666,-0.00939687842282404,NA,NA,NA,NA,-0.00576261180778442,7,-257.437574299882,529.03245197055,2.28185768192543,0.0424322458056057,0.803618917271958
-15.6170378422393,0.433577439736407,-0.00966564076640765,3.25687743637536,-0.56414321265727,0.00235576807619506,NA,NA,9,-255.488470613668,529.230462354096,2.47986806547215,0.0384324976901546,0.842051414962113
-15.6237801479587,0.433300043466065,-0.00964639934444264,2.81411816754521,-0.48244400779711,0.0166717262974034,-8.33803730869394e-05,NA,10,-254.573513348736,529.457322889292,2.7067286006677,0.0343112444886465,0.876362659450759
-4.49242591125511,0.437287184723106,-0.00945079506275522,3.21471039455501,-0.557675031337179,0.00233345781786831,NA,-0.00568878656931318,10,-254.602383813969,529.515063819758,2.76446953113373,0.033334825551816,0.909697485002575
-4.68897564660698,0.436956432458726,-0.00943727916717342,2.7804078498913,-0.477511776881109,0.0163983475753306,-8.19153485295296e-05,-0.00559153085135248,11,-253.717508676983,529.807898709899,3.05730442127447,0.0287945236437478,0.938492008646323
-10.6225321364582,0.432387019177667,-0.0096215483490784,-0.0343996317445757,NA,NA,NA,NA,7,-258.282365353655,530.722034078096,3.97143978947224,0.0182308922894168,0.95672290093574
0.719664501607964,0.436062265061906,-0.00939736079259772,-0.0392128861661117,NA,NA,NA,-0.00582908147015156,8,-257.346620292321,530.895772230212,4.14517794158814,0.0167140295180534,0.973436930453793
-15.801514046529,0.432832390273073,-0.00963619044261351,3.6353965178789,-0.649156356196388,NA,NA,NA,8,-257.526033371597,531.254598388763,4.50400410013867,0.0139689272164554,0.987405857670248
-4.4935355257998,0.43648887337921,-0.00941491758066033,3.58879509925372,-0.641756281781041,NA,NA,-0.00578113353421285,9,-256.605749935546,531.465020997852,4.71442670922806,0.0125739105220297,0.999979768192278
6.73481205235481,0.191194260321777,NA,NA,NA,0.00201278258824186,NA,-0.00850792795378732,7,-266.997975648521,548.153254667828,21.4026603792036,2.98996750012375e-06,0.999982758159778
5.95937179118709,0.191195111741546,NA,NA,NA,0.0161344348116597,-8.29091142129347e-05,-0.00841345192496217,8,-266.066494925101,548.335521495772,21.5849272071475,2.72952910101425e-06,0.999985487688879
-9.79846488542238,0.180944774643008,NA,NA,NA,0.00200437641468827,NA,NA,6,-268.39957724707,548.91696655585,22.1663722672261,2.04093201538297e-06,0.999987528620895
-10.3999071831785,0.181051122499589,NA,NA,NA,0.0163587872303032,-8.42753198795166e-05,NA,7,-267.438960440028,549.035224250843,22.2846299622188,1.92375253962316e-06,0.999989452373434
