"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.489580788490003,0.0203224858782398,-0.000143543823449059,0.00659751976570824,0.0013143946490355,-0.00202444934874684,0.000407180646907839,10,-84042.3488475388,168104.699374736,0,0.570347861261611,0.570347861261611,TRUE
-0.583243111266495,0.0203463996516036,-0.000143584973758919,0.00649003507459422,0.00134035857227538,0.010366014015589,NA,9,-84043.6322744321,168105.26592312,0.566548383620102,0.429650576602516,0.999998437864127,FALSE
-0.478241395070097,0.0204221855358872,-0.000143565466142749,0.0149911229256689,NA,-0.00495674707007718,0.000495767490209165,9,-84056.495130403,168130.991635062,26.2922603253392,1.1139046817765e-06,0.999999551768809,TRUE
-0.59251064931924,0.020454262976172,-0.000143618372924795,0.0150624141168589,NA,0.0101236841563203,NA,8,-84058.4055855352,168132.812270467,28.1128957303299,4.48231190888195e-07,1,FALSE
-0.295904037097199,0.00787318210746483,NA,0.00654011108838869,0.00131078609477566,-0.00226784713122955,0.000414276821884476,9,-84127.8918131581,168273.785000572,169.08562583552,1.09562688989026e-37,1,TRUE
-0.391104543009569,0.00789289878337817,NA,0.00643036854393674,0.00133723484901569,0.0103383364639543,NA,8,-84129.221970279,168274.445039954,169.745665217895,7.87656664080337e-38,1,FALSE
-0.284378824226948,0.00796629705761261,NA,0.0149102076125536,NA,-0.00519608236306505,0.000502746239883924,8,-84141.9792048131,168299.959509022,195.26013428616,2.26955331427753e-43,1,TRUE
-0.400134579994378,0.00799286181819858,NA,0.0149822788894818,NA,0.0100963586342192,NA,7,-84143.9462323532,168301.893319786,197.19394504957,8.63015741671132e-44,1,FALSE
-0.419340134281654,0.0204416397870889,-0.000143239851193806,0.00645476659801886,0.00098355563793158,NA,NA,8,-84211.7735549578,168439.548209312,334.848834575532,1.10825386200404e-73,1,FALSE
-0.429020227578805,0.0205198257462842,-0.000143269530662652,0.012785091256648,NA,NA,NA,7,-84219.7582056767,168453.517266433,348.817891696497,1.02635367303873e-76,1,FALSE
-0.227850940610277,0.0080115607590113,NA,0.0063910327970855,0.000981115311674382,NA,NA,7,-84296.676265684,168607.353386447,502.654011711042,4.03838779805003e-110,1,FALSE
-0.237348196588193,0.00808358666600052,NA,0.0127054396175396,NA,NA,NA,6,-84304.6321555207,168621.264952346,516.565577609843,3.84901735024874e-113,1,FALSE
-0.32320705291189,0.0207410432633038,-0.00014202283850241,NA,NA,-0.017682525569541,0.000829141536514112,8,-84327.195017889,168670.391135174,565.691760437941,8.27436756296078e-124,1,TRUE
-0.513721731316236,0.0207981846578508,-0.000142097404641187,NA,NA,0.00751793237108932,NA,7,-84332.5368426567,168679.074540393,574.375165656471,1.07685523557824e-125,1,FALSE
0.030078457112202,NA,NA,0.0057058163233642,0.00152919385526515,-0.00695815091319127,0.000573981550433019,8,-84365.692422156,168747.385943708,642.686568971869,1.57951795994373e-140,1,TRUE
-0.10081256271848,NA,NA,0.00555003282892839,0.00156661312683282,0.0105076228765234,NA,7,-84368.2508168188,168750.502488717,645.803113980714,3.32487573480467e-141,1,FALSE
0.0480374959723523,NA,NA,0.0154746112362511,NA,-0.0104439064299364,0.000679497066373324,7,-84384.9200632666,168783.840981613,679.141606876423,1.9160801364087e-148,1,TRUE
-0.107092038380279,NA,NA,0.015573609287102,NA,0.0102245993757112,NA,6,-84388.5213314882,168789.043304281,684.343929544702,1.42148949553387e-149,1,FALSE
-0.131593176347612,0.00839467020690518,NA,NA,NA,-0.0178284684736213,0.000833332868119393,7,-84410.0421583772,168834.085171834,729.38579709761,2.35519238402731e-159,1,TRUE
-0.322878021936189,0.00844312462600891,NA,NA,NA,0.00749894011266419,NA,6,-84415.4446889504,168842.890019205,738.190644469258,2.8845500214493e-161,1,FALSE
-0.396430926775624,0.0208009141694734,-0.000141942926154747,NA,NA,NA,NA,6,-84424.8369691439,168861.674579592,756.97520485628,2.40470947174646e-165,1,FALSE
-0.206035334010999,0.00845793019494569,NA,NA,NA,NA,NA,5,-84507.411623915,169024.823705901,920.12433116493,8.9883499422745e-201,1,FALSE
0.0696266883672886,NA,NA,0.00549048007927795,0.00120676190199896,NA,NA,6,-84541.4594433878,169094.91952808,990.220153344009,5.40213687735874e-216,1,FALSE
0.0612031762401679,NA,NA,0.0132605920039208,NA,NA,NA,5,-84553.532434875,169117.065327821,1012.36595308507,8.38815161215198e-221,1,FALSE
0.224563094147659,NA,NA,NA,NA,-0.0237452927032462,0.00102845367112536,6,-84674.2033828866,169360.407407078,1255.70803234159,1.20949799722432e-273,1,TRUE
-0.00928696631451069,NA,NA,NA,NA,0.0075111363138536,NA,5,-84682.452783123,169374.906024317,1270.20664958103,8.59548570527949e-277,1,FALSE
0.108315262696358,NA,NA,NA,NA,NA,NA,4,-84774.8980855813,169557.796476541,1453.0971018048,1.66002000723706e-316,1,FALSE
