"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
0.86571319328245,NA,NA,0.0474162886679383,-0.00344240368342549,-0.0928478804178096,0.00316150964133298,8,-1195.52106338134,2407.07354722962,0,0.479650629336388,0.479650629336388,TRUE
0.223041683207009,0.0202513007216718,-0.000147215262996726,0.047483844361874,-0.00345137674268276,-0.0925822860548798,0.00315351208776175,10,-1194.08435997823,2408.21674440527,1.14319717564149,0.270821354634701,0.750471983971089,TRUE
0.746237572503245,0.00191962443107391,NA,0.0475010297119292,-0.00346119131725253,-0.0924897244480647,0.00314948355264554,9,-1195.20460765403,2408.44849946344,1.37495223381984,0.241189243099603,0.991661227070693,TRUE
0.145220815401523,NA,NA,0.0462058872436679,-0.00321098448800208,0.00336569507592524,NA,7,-1201.88976454635,2417.80396190246,10.7304146728411,0.00224308162734761,0.99390430869804,FALSE
0.20008730937677,NA,NA,0.0462694240079936,-0.00335245824121674,NA,NA,6,-1203.41490281337,2418.84812623744,11.774579007812,0.00133078431564175,0.995235093013682,FALSE
-0.501499237189503,0.0203119422908422,-0.000146674849782842,0.0462825363576264,-0.00322187541225548,0.00338738178132335,NA,9,-1200.42057135108,2418.88042685756,11.8068796279344,0.00130946436166257,0.996544557375345,FALSE
0.0210180215301073,0.00204251528612514,NA,0.0463006613954209,-0.00323191589918113,0.00335715927031029,NA,8,-1201.53097990525,2419.09338027744,12.0198330478124,0.00117720320440621,0.997721760579751,FALSE
-0.441489911156644,0.0201235121843323,-0.000145015444078141,0.0463475347704021,-0.00336452566355976,NA,NA,8,-1201.96562636195,2419.96267319085,12.8891259612283,0.000762231474376824,0.998483992054128,FALSE
0.0747114599020467,0.00205960331559673,NA,0.0463646217157689,-0.0033732168987049,NA,NA,7,-1203.05023277261,2420.124898355,13.0513511253766,0.00070284592478443,0.999186837978912,FALSE
0.813401303944677,NA,NA,0.0260795812715944,NA,-0.0839197676432893,0.00289228590663326,7,-1203.61696539823,2421.25836360624,14.1848163766181,0.000398778080928363,0.999585616059841,TRUE
0.179076411753694,0.0203226539270183,-0.000150286195093802,0.0260973062351345,NA,-0.0836953163011084,0.002885743818768,9,-1202.21594301348,2422.47117018235,15.3976229527266,0.000217457142678428,0.999803073202519,TRUE
0.712334182416164,0.00161924646034334,NA,0.0260528940138916,NA,-0.083572138844336,0.00288075621954146,8,-1203.3914403432,2422.81430115333,15.7407539237101,0.000183173959645582,0.999986247162165,TRUE
0.153697553164666,NA,NA,0.0262858666823965,NA,0.00405525900659741,NA,6,-1208.95560279134,2429.92952619337,22.8559789637479,5.22170397409096e-06,0.999991468866139,FALSE
-0.485054407545573,0.020373747241683,-0.000149588608471274,0.0263007273206037,NA,0.00408045448258688,NA,8,-1207.52872858205,2431.08887763105,24.0153304014239,2.92457175555412e-06,0.999994393437894,FALSE
0.0472245068084272,0.00175151238449414,NA,0.026255838310029,NA,0.00405177555003858,NA,7,-1208.69131752178,2431.40706785334,24.3335206237161,2.49441180138349e-06,0.999996887849696,FALSE
0.22085487331925,NA,NA,0.0252962464489618,NA,NA,NA,5,-1211.18074930269,2432.37458190237,25.3010346727469,1.53771250525225e-06,0.999998425562201,FALSE
-0.41128495171734,0.0201498270313834,-0.000147741787627828,0.0253045826314067,NA,NA,NA,7,-1209.78154755086,2433.58752791149,26.5139806818652,8.38469495175041e-07,0.999999264031696,FALSE
0.114019108740029,0.00175662375624509,NA,0.0252666665949314,NA,NA,NA,6,-1210.9149947984,2433.8483102075,26.7747629778719,7.35968303839169e-07,1,FALSE
1.05435553850263,NA,NA,NA,NA,-0.0983657883351263,0.00320511716178435,6,-1274.02361242035,2560.06554545138,152.991998221758,2.87829111523679e-34,1,TRUE
0.444909110790121,0.0191002247904449,-0.000138120327312045,NA,NA,-0.0980670418358809,0.00319601581103664,8,-1272.7013643062,2561.43414907934,154.360601849716,1.45193179374553e-34,1,TRUE
0.935581173890978,0.00189554883282775,NA,NA,NA,-0.0979133829153804,0.00319027853631179,7,-1273.70822704071,2561.44088689119,154.367339661566,1.44704860224766e-34,1,TRUE
0.310375674631136,NA,NA,NA,NA,NA,NA,4,-1280.47617939192,2568.96107908033,161.887531850711,3.36894664341603e-36,1,FALSE
0.185640550755904,0.00204930738471885,NA,NA,NA,NA,NA,5,-1280.10707904754,2570.22724139207,163.153694162444,1.78875343266827e-36,1,FALSE
-0.304211398134628,0.0191839521783293,-0.000137511735031618,NA,NA,NA,NA,6,-1279.11128720699,2570.24089502466,163.167347795036,1.77658352969646e-36,1,FALSE
0.324792167261083,NA,NA,NA,NA,-0.000918327396800244,NA,5,-1280.36062190112,2570.73432709923,163.66077986961,1.38815581903392e-36,1,FALSE
0.200043520614211,0.00204922498350062,NA,NA,NA,-0.000917094384204115,NA,6,-1279.99168908376,2572.00169877821,164.928151548582,7.36600407207943e-37,1,FALSE
-0.288958989377279,0.0191425173159464,-0.000137178765484686,NA,NA,-0.000896233209682017,NA,7,-1279.00120505181,2572.02684291339,164.953295683771,7.27397786295671e-37,1,FALSE
