"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw"
-14.5600411038561,0.660014804993098,-0.0376971341873648,0.000159223651607834,-6.41780416560442e-05,-0.234114434120077,-0.00489510305558841,10,-2079.03926036143,4178.08512594098,0,1,1
-14.6459286655527,0.658016214863555,-0.0375756059999325,0.00269096673299387,NA,-0.243942360726968,-0.00510999917043499,9,-2147.38346094929,4312.7723260057,134.687200064721,5.66299416897769e-30,1
-11.8100325733946,0.654408329381831,-0.0374298245101099,-0.000158083727834312,-7.02779776678668e-05,-0.00234624974254156,NA,9,-2226.20675532428,4470.41891475568,292.333788814701,3.31531136151232e-64,1
-11.7566389798998,0.654975778609055,-0.0374502676124444,-0.000139842427720686,-6.9329904228994e-05,NA,NA,8,-2232.96891236809,4481.94214789208,303.857021951095,1.04300415744903e-66,1
-11.771944869343,0.652015609011906,-0.037288802283077,0.00261060765235358,NA,-0.00196501621910735,NA,8,-2307.60610814982,4631.21653945554,453.131413514559,4.0157231735766e-99,1
-11.727731731591,0.652564099200208,-0.037309976696546,0.00259456880035245,NA,NA,NA,7,-2312.33363272357,4638.6706278008,460.585501859811,9.6633797969502e-101,1
-14.4751917843853,0.647969579796297,-0.0371985697379194,NA,NA,-0.228998338855539,-0.00481069104182478,8,-2459.98197873829,4935.96828063248,757.883154691495,2.67771280258153e-165,1
-13.7696882769563,0.243868439990724,NA,0.000172086957217154,-6.39432347323821e-05,-0.233657098142164,-0.00488325844602868,9,-2470.08586943545,4958.17714297803,780.092017037045,4.02875457794179e-170,1
-13.858989542489,0.24342785098743,NA,0.00269457523159082,NA,-0.243450273853516,-0.00509739103966004,8,-2536.27257391813,5088.54947099217,910.464345051187,1.97323807691231e-198,1
-11.7711238015646,0.642945850085039,-0.0369536127425096,NA,NA,-0.00121617543950165,NA,7,-2599.20952762724,5212.42241760814,1034.33729166715,2.49178691609342e-225,1
-11.7435890287647,0.6432944265256,-0.0369668285634843,NA,NA,NA,NA,6,-2600.98762504641,5213.97777178236,1035.89264584138,1.14490653284512e-225,1
-11.0380199165534,0.242240549747016,NA,-0.000144285749248366,-7.00234793039891e-05,-0.00245020889759957,NA,8,-2613.00075372445,5242.00583060481,1063.92070466383,9.38759599345605e-232,1
-10.9820849086212,0.242630884076175,NA,-0.000125212062408409,-6.9032871187435e-05,NA,NA,7,-2620.19993155461,5254.40322546287,1076.31809952189,1.90763069776631e-234,1
-11.0046240633389,0.241694479130563,NA,0.00261438080434657,NA,-0.00207047852916634,NA,7,-2691.9028263998,5397.80901515326,1219.72388921227,1.38141044288918e-265,1
-10.9576531962914,0.242031367053179,NA,0.00259748321066033,NA,NA,NA,6,-2697.02844176706,5406.05940522366,1227.97427928267,2.23240658144012e-267,1
-13.7112745267791,0.240081016608608,NA,NA,NA,-0.22846770826864,-0.00479726625011552,7,-2842.34241425409,5698.68819086183,1520.60306492084,0,1
-11.0250087137741,0.238631574692388,NA,NA,NA,-0.0013215262088654,NA,6,-2977.70601397697,5967.41454964348,1789.3294237025,0,1
-10.9948480368502,0.238855519158675,NA,NA,NA,NA,NA,5,-2979.75939862709,5969.52059840693,1791.43547246594,0,1
-12.3687504721852,NA,NA,0.0001596044892453,-6.46381885753271e-05,-0.235858354483783,-0.00492272124340316,8,-3243.54594435185,6503.0962118596,2325.01108591862,0,1
-12.461240143066,NA,NA,0.0027094794247182,NA,-0.245756345876869,-0.00513913552205016,7,-3308.65723125104,6631.31782485573,2453.23269891474,0,1
-9.62417975372885,NA,NA,-0.000159137508734091,-7.07595300301864e-05,-0.00278343944799781,NA,7,-3383.39498006777,6780.79332248918,2602.70819654819,0,1
-9.55809229542268,NA,NA,-0.000137494094170913,-6.96354182400353e-05,NA,NA,6,-3392.34348391715,6796.68948952384,2618.60436358285,0,1
-9.59324421510308,NA,NA,0.00262848862691435,NA,-0.00240033463329314,NA,6,-3460.99822132039,6933.99896433031,2755.91383838933,0,1
-9.53655096392769,NA,NA,0.00260892004436235,NA,NA,NA,5,-3467.63427946504,6945.27036008282,2767.18523414184,0,1
-12.3315177666826,NA,NA,NA,NA,-0.23066630803958,-0.00483680705144604,6,-3606.74295749087,7225.48843667128,3047.4033107303,0,1
-9.63123772406461,NA,NA,NA,NA,-0.00164842752356049,NA,5,-3739.4021670075,7488.80613516774,3310.72100922676,0,1
-9.59201456862816,NA,NA,NA,NA,NA,NA,4,-3742.48297655876,7492.96715384997,3314.88202790899,0,1
