"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
4.10654032012145,0.0209254357193588,-0.000145458641334144,0.0155169363702876,0.000714451390056491,0.0390583721501658,-0.000710565091122273,-0.00253469752947102,11,-21800.3900579676,43622.7846891851,0,0.772374439747809,0.772374439747809
4.29308504256663,0.0209280408629404,-0.000145511719511708,0.0157389559630715,0.000666958585294968,0.0174170449034725,NA,-0.00254707480072648,10,-21803.2879937231,43626.5797984219,3.79510923676571,0.115805821933006,0.888180261680815
4.07248801449977,0.0208971447225565,-0.00014512726297291,0.0200139016494921,NA,0.0373621415994306,-0.000659493682816193,-0.00251236211665886,10,-21803.5230202609,43627.0498514973,4.26516231217101,0.0915502774712523,0.979730539152068
4.24856641047789,0.0209013375286013,-0.000145197396745455,0.0199421756816156,NA,0.017285000974133,NA,-0.00252528932373224,9,-21806.0311396805,43630.065397378,7.28070819286222,0.0202694608479323,1
-0.578504666547557,0.0157816927446878,-0.000150209740710996,0.0158646942554286,0.000634072516175468,0.0404881174596745,-0.000758335921023501,NA,10,-21839.9993323757,43700.002475727,77.2177865418853,1.31885968598745e-17,1
-0.572048692575683,0.015795115710897,-0.000149860598526375,0.0198568765279024,NA,0.038970158709029,-0.000712595035994135,NA,9,-21842.4675518579,43702.9382217327,80.1535325475415,3.03885129085189e-18,1
-0.403849573337526,0.0157601373497235,-0.000150309011704065,0.0161036694882636,0.000582946380727076,0.0173918040938636,NA,NA,9,-21843.2984943232,43704.6001066634,81.8154174782831,1.32384067449162e-18,1
-0.40761781832106,0.0157737372204139,-0.000149980878233831,0.019778576189654,NA,0.0172764624163082,NA,NA,8,-21845.3947376151,43706.7919696005,84.0072804153533,4.42464804855099e-19,1
4.68500804756209,0.00448453581816023,NA,0.0155922734057392,0.00068508031016925,0.0391083212008293,-0.000713684626815186,-0.00262892070407348,10,-21853.0836930227,43726.1711970209,103.386507835799,2.73988897635112e-23,1
4.65093450504272,0.00449337551940702,NA,0.019904084262135,NA,0.037481670308598,-0.000664708958692215,-0.00260721537536624,9,-21855.9703293416,43729.9437767001,107.159087514985,4.1545854559423e-24,1
4.87284759100684,0.00448153388369287,NA,0.0158157470841228,0.000637378775313152,0.017372419750858,NA,-0.00264153744876286,9,-21856.0127530715,43730.02862416,107.243934974846,3.98201878643581e-24,1
4.82891257235791,0.00448993959693884,NA,0.0198322560282965,NA,0.0172461709342978,NA,-0.00262041971847113,8,-21858.5231726225,43733.0488396153,110.264150430179,8.79572922902617e-25,1
