"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-7.22584101408907,NA,NA,0.0242669858629918,-0.000122031003384199,NA,NA,NA,6,-636.1276365703,1284.3334854311,0,0.20365130691273,0.20365130691273,FALSE
-8.19966214495148,NA,NA,0.0247674320508961,-0.00012518591201015,NA,NA,0.000489248826460544,7,-635.838576776427,1285.78153379516,1.44804836406229,0.0987296265904783,0.302380933503208,FALSE
-7.08212768395147,NA,NA,0.0236256781510363,-0.00011818081415571,-0.00636838666774279,NA,NA,7,-635.929158950359,1285.96269814303,1.62921271192727,0.0901795691717184,0.392560502674927,FALSE
-10.5990799333682,-0.0197290945408028,NA,0.0248087826418234,-0.000125423857315095,NA,NA,0.00220592206058069,8,-634.958729311148,1286.0517869805,1.71830154940199,0.086250726306256,0.478811228981183,FALSE
-7.2554596510104,0.000574699900083111,NA,0.0243169030252774,-0.000122346319260976,NA,NA,NA,7,-636.123840916949,1286.35206207621,2.01857664510726,0.0742264777094385,0.553037706690621,FALSE
-4.29796176507098,-0.124838556563386,0.00131643765358039,0.0241098846898835,-0.000120910351072783,NA,NA,NA,8,-635.173051984027,1286.48043232626,2.14694689516091,0.0696119190877029,0.622649625778324,FALSE
-7.65377693662031,-0.132268869576153,0.00119842342481486,0.0245881402926486,-0.000123913624589566,NA,NA,0.00203645101043633,9,-634.161615194817,1286.49129761653,2.15781218542338,0.0692347676270104,0.691884393405335,FALSE
-8.1791523722461,NA,NA,0.0240646599077601,-0.000120990397113398,-0.00779256108578135,NA,0.000567251405210997,8,-635.549169154547,1287.2326666673,2.899181236201,0.0477901061335136,0.739674499538848,FALSE
-10.6131380953359,-0.0200195597643999,NA,0.0240724330446431,-0.00012102543708396,-0.00816624075276579,NA,0.00231306909118307,9,-634.641202267842,1287.45047176258,3.1169863314733,0.042859018334531,0.782533517873379,FALSE
-7.63445779503709,-0.133811258593629,0.00121173494810076,0.0238236920291945,-0.000119343955676932,-0.00843808039160987,NA,0.00214452684840758,10,-633.82271034493,1287.8510281665,3.51754273539404,0.0350802356092301,0.81761375348261,FALSE
-7.13552440196065,0.00113572986683921,NA,0.0237016658134817,-0.000118667958281681,-0.0065964855397285,NA,NA,8,-635.914551296743,1287.96343095169,3.62994552059263,0.0331630561981198,0.850776809680729,FALSE
-7.14568857260903,NA,NA,0.0235986459078842,-0.00011801784751849,0.000676053633829066,-0.000191086824021513,NA,8,-635.92844236653,1287.99121309127,3.65772766016744,0.0327055707079558,0.883482380388685,FALSE
-4.13457662150583,-0.125781299478825,0.00133254368786707,0.0234546701546857,-0.000116989335983978,-0.00698687670240533,NA,NA,9,-634.938383465107,1288.0448341571,3.71134872600192,0.0318403670390517,0.915322747427737,FALSE
-8.32719573912839,NA,NA,0.0240064476188066,-0.000120640237368513,0.00802576581259017,-0.000429307427674522,0.000569967530533476,9,-635.54556436006,1289.25919594701,4.92571051590835,0.0173493318153022,0.932672079243039,FALSE
-10.8306283334192,-0.0200567723874112,NA,0.0239883521114743,-0.000120518879811268,0.0145911410941753,-0.000617623911237815,0.00232020960780473,10,-634.63374839699,1289.47310427062,5.13961883951356,0.0155895346250643,0.948261613868103,FALSE
-7.84753987675635,-0.133736018742736,0.00121055886768721,0.0237421780313164,-0.000118852667975396,0.0135711158966184,-0.000597315371732805,0.00215150995808688,11,-633.815736909345,1289.87843359418,5.54494816307829,0.0127296659362209,0.960991279804324,FALSE
-7.20993770170174,0.00114593057250098,NA,0.0236709465560149,-0.000118483036628319,0.00159553975413552,-0.000222275779007334,NA,9,-635.913582998237,1289.99523322336,5.66174779226253,0.0120075468393195,0.972998826643644,FALSE
-4.21139613879144,-0.125742946224607,0.00133224984966912,0.023423105324271,-0.000116799190518034,0.00139840115280032,-0.000227518431099075,NA,10,-634.937368733549,1290.08034494373,5.74685951263177,0.0115072755886074,0.984506102232251,FALSE
-6.63196100324319,NA,NA,0.00682485682258392,NA,NA,NA,NA,5,-641.460234352708,1292.9762826589,8.64279722780225,0.00270475311325677,0.987210855345508,FALSE
-6.40570606451608,NA,NA,0.00666054581094954,NA,-0.0115306740608988,NA,NA,6,-640.79939634536,1293.67700498122,9.34351955011971,0.00190531905302734,0.989116174398535,FALSE
-3.41512192984495,-0.135147957993381,0.00140314818597184,0.00681089693190972,NA,NA,NA,NA,7,-640.35667381915,1294.81772788061,10.4842424495087,0.00107711699934662,0.990193291397882,FALSE
-7.12807230245931,NA,NA,0.00685053211752656,NA,NA,NA,0.000253236153621088,6,-641.382269760093,1294.84275181069,10.5092663795858,0.00106372410951315,0.991257015507395,FALSE
-6.55835398419241,-0.00150613103985332,NA,0.00681217412100877,NA,NA,NA,NA,6,-641.434078527185,1294.94636934487,10.6128839137709,0.0010100171335636,0.992267032640959,FALSE
-9.5041822203016,-0.0195545615257042,NA,0.00685853458078211,NA,NA,NA,0.00195421495178996,7,-640.523840202537,1295.15206064739,10.818575216284,0.000911304347692506,0.993178336988651,FALSE
-6.32295434938993,-0.141796162168647,0.00130146720430944,0.00685392023077031,NA,NA,NA,0.00177556966181433,8,-639.58912024865,1295.31256885551,10.9790834244059,0.000841026204559869,0.994019363193211,FALSE
-7.15307016193524,NA,NA,0.00668543965467051,NA,-0.0126059243871672,NA,0.00039224210884804,7,-640.616872908057,1295.33812605843,11.0046406273236,0.000830347441020242,0.994849710634231,FALSE
-3.1877618837233,-0.136173680256565,0.00142557844015774,0.00665224240887684,NA,-0.0117918226327023,NA,NA,8,-639.679977602877,1295.49428356396,11.1607981328616,0.000767981361574856,0.995617691995806,FALSE
-7.08904876568527,NA,NA,0.00662238699424094,NA,0.0631838330072526,-0.00202471132665465,NA,7,-640.718916687155,1295.54221361662,11.2087281855197,0.000749795451306793,0.996367487447113,FALSE
-9.58847577026603,-0.0200326217257668,NA,0.00668899533425325,NA,-0.0129897998151796,NA,0.00213927012062582,8,-639.711873942579,1295.55807624337,11.2245908122641,0.000743872109608033,0.997111359556721,FALSE
-6.37058469695658,-0.143655269193508,0.00131624093929758,0.00668134674024848,NA,-0.0132199046928634,NA,0.00196044795543687,9,-638.748194690777,1295.66445660845,11.3309711773434,0.000705339284622177,0.997816698841343,FALSE
-6.3868048472447,-0.000424300649601684,NA,0.00665827457032893,NA,-0.0114370851488597,NA,NA,7,-640.797351551945,1295.6990833462,11.3655979150985,0.000693232591640759,0.998509931432984,FALSE
-7.93515672878882,NA,NA,0.00664481803703647,NA,0.0693814951730324,-0.00222320133853833,0.000408956813013604,8,-640.520263400133,1297.17485515848,12.8413697273736,0.000331450894295414,0.998841382327279,FALSE
-10.458794038828,-0.0201845094990789,NA,0.00664502139048111,NA,0.0763093848450083,-0.00242142651042947,0.00217069178789,9,-639.597358755404,1297.3627847377,13.0292993065975,0.000301724659261703,0.999143106986541,FALSE
-3.87653462563064,-0.135683859429478,0.00142161473070744,0.00661517720476617,NA,0.0619723506776615,-0.00199958962211933,NA,9,-639.601587492642,1297.37124221217,13.0377567810726,0.000300451438914076,0.999443558425455,FALSE
-7.24063029950791,-0.143189686795707,0.00130973939810377,0.00663816882031834,NA,0.0744858558853435,-0.00237818608694097,0.00199176779361379,10,-638.637691920109,1297.48099131685,13.147505885752,0.000284408500756625,0.999727966926212,FALSE
-7.07180406609996,-0.00031039748203052,NA,0.00662090678903456,NA,0.0628782928860443,-0.00201456513809807,NA,8,-640.717819413234,1297.56996718468,13.2364817535745,0.000272033073788335,1,FALSE
-8.18567300627932,NA,NA,NA,NA,0.24767653488724,-0.00743935526161773,NA,6,-674.288794085269,1360.65580046104,76.3223150299391,5.44135511277498e-18,1,FALSE
-5.65758266775491,NA,NA,NA,NA,-0.0272599345510168,NA,NA,5,-675.320554468257,1360.69692289,76.3634374589008,5.33061660367612e-18,1,FALSE
-2.21229625361506,-0.143714739901827,0.00147847040160353,NA,NA,-0.0269049615924508,NA,NA,7,-674.045284665456,1362.19494957322,77.8614641421213,2.52049062584583e-18,1,FALSE
-4.75269927081779,-0.141852740474567,0.00146371963921993,NA,NA,0.24347528009954,-0.00731866681652783,NA,8,-673.04822745586,1362.23078326993,77.8972978388274,2.47573352789186e-18,1,FALSE
