"coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_clim","chg_rad_inc_clim_ci.lower","chg_rad_inc_clim_ci.upper","chg_rad_inc_1SD_clim","variable","month"
0.00807176931643598,FALSE,FALSE,-0.187978834000477,0.204938770985476,2.3659963835109e-05,-0.00055100340952026,0.000600716363394414,0.00102530845376361,"pre","prev.apr"
-0.226629529456912,TRUE,FALSE,-0.42014880228472,-0.0364376418915594,-0.00103532280114322,-0.00191938639205925,-0.000166459867611363,-0.0287963612969577,"pre","prev.may"
0.157385689011363,FALSE,FALSE,-0.0427599962334841,0.34981008451103,0.00104651528957612,-0.000284326930368665,0.00232601581623012,0.0200131508210274,"pre","prev.jun"
0.0993712298922471,FALSE,FALSE,-0.0991188201016347,0.288641357014977,0.000392657655122112,-0.000391660277544929,0.00114054378253809,0.012658261232248,"pre","prev.jul"
0.256944593404316,TRUE,FALSE,0.107164389917894,0.374710893496757,0.000771720857902978,0.000321863145000884,0.00112542633555196,0.0330641266383782,"pre","prev.aug"
0.0420213613021916,FALSE,FALSE,-0.112459860897559,0.180442368700966,0.000115797161872778,-0.000309902685514988,0.000497240297069661,0.00536909437185889,"pre","prev.sep"
0.0986901041511311,FALSE,FALSE,-0.0783380738731654,0.249806416014735,0.000227264560345933,-0.000180397701170407,0.000575256716927187,0.0125418352027911,"pre","prev.oct"
0.0314696200476872,FALSE,FALSE,-0.19621634581156,0.279839049803471,8.18454164321632e-05,-0.000510314662503359,0.00072779854127375,0.004017144360955,"pre","prev.nov"
0.170044026832232,FALSE,FALSE,-0.0190178936200357,0.364883529702251,0.000332278849587018,-3.71623980645225e-05,0.000713009928907029,0.0215984908233615,"pre","prev.dec"
0.0895842409885731,FALSE,FALSE,-0.123431074398611,0.296684235171578,0.000160909479589753,-0.000221704506590819,0.000532898480325707,0.0113785121973367,"pre","curr.jan"
0.107827769780094,FALSE,FALSE,-0.140158225389657,0.306422607139359,0.000187319214061931,-0.000243483925132172,0.000532319661782978,0.0137423962601924,"pre","curr.feb"
-0.00545541156059379,FALSE,FALSE,-0.178430793410522,0.16469509028806,-7.59673995366029e-06,-0.000248467475315003,0.000229340308914625,-0.000692911471919256,"pre","curr.mar"
0.271889234577405,TRUE,FALSE,0.0846849408770043,0.432562995960087,0.000797958866347929,0.00024853907703991,0.00126951505975169,0.034595031433064,"pre","curr.apr"
0.242429959231451,TRUE,FALSE,0.0627847396030584,0.412954791984449,0.00110533669017368,0.000286261139036884,0.0018828286916786,0.0308577614290909,"pre","curr.may"
0.325109217332179,TRUE,FALSE,0.149763173112626,0.477000012310604,0.00216284581858778,0.000996325651432151,0.00317332584587473,0.0414323783985954,"pre","curr.jun"
0.179022605189171,TRUE,FALSE,0.0272227354748415,0.327905428150896,0.000707873071103272,0.00010764138609225,0.00129657046500543,0.0227612299467649,"pre","curr.jul"
-0.0801974429742293,FALSE,FALSE,-0.313466831126742,0.155295161219077,-0.000240380222691188,-0.000939571436171109,0.000465474758948379,-0.0101918846742883,"pre","curr.aug"
