"(Intercept)","pet","I(pet^2)","pre","I(pre^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
585.240508688075,-0.27207220618202,NA,0.18165276522511,-0.00194304433514827,-0.592312856927203,0.000149119288820837,9,-956.788571064601,1931.69762405691,0,0.66380739503869,0.66380739503869
577.91227078281,1.43655679149824,-0.144962708247703,0.179541615586866,-0.00190583293517245,-0.589937915179475,0.000148513830132279,10,-956.455511538056,1933.05837739627,1.36075333935946,0.336169457291861,0.999976852330551
558.672652080354,NA,NA,0.182796880557461,-0.00188561333284485,-0.56712058169683,0.000142744000358506,8,-968.067121608217,1952.23056428667,20.532940229755,2.30871735050044e-05,0.999999939504056
13.2903420363737,-0.26917480228378,NA,0.181266053311977,-0.00193374842657275,-0.00815307189049383,NA,8,-974.960432139181,1966.0171853486,34.3195612916836,2.34230821258089e-08,0.999999962927138
5.26985324305215,-0.269216543903022,NA,0.181282591038832,-0.00193399336946393,NA,-2.07130898492648e-06,8,-975.430306272479,1966.95693361519,35.259309558279,1.46413221977726e-08,0.99999997756846
7.27885742452173,1.78251127566655,-0.174059172472294,0.178738019332397,-0.00188910082846936,-0.00814941794331712,NA,9,-974.47792166412,1967.07632525595,35.3787011990389,1.37928728434333e-08,0.999999991361333
-0.748383615763819,1.78605720164784,-0.174363376692913,0.178750286832215,-0.00188926795542274,NA,-2.07042331865353e-06,9,-974.946013583241,1968.01250909419,36.31488503728,8.63704127383403e-09,0.999999999998374
11.2156625407463,NA,NA,0.182255503628319,-0.0018744033214716,-0.0079465918881464,NA,7,-986.030054946336,1986.13497620283,54.4373521459192,1.00258513939784e-12,0.999999999999377
3.3990464326768,NA,NA,0.182270262493871,-0.00187460480879386,NA,-2.01911237186661e-06,7,-986.505531270638,1987.08592885144,55.3883047945228,6.23195802012085e-13,1
-2.60796310204038,-0.284568505270958,NA,0.184329993767716,-0.0019853929209674,NA,NA,7,-1013.67507469181,2041.42501569378,109.727391636864,9.88648098772606e-25,1
-8.36939882271754,1.68384955079011,-0.166986478154453,0.181925597253534,-0.00194273927470508,NA,NA,8,-1013.21778762093,2042.5318963121,110.834272255189,5.68441351311249e-25,1
-4.37605530723827,NA,NA,0.185483758534541,-0.00192439714301059,NA,NA,6,-1026.4964248301,2065.04896188465,133.351337827741,7.33106381232965e-30,1
477.210092304852,12.6152232483685,-1.0854112647752,0.0501625894727967,NA,-0.518685321031038,0.000130288199738598,9,-1056.36900735791,2130.85849664353,199.160872586615,3.7567136994903e-44,1
-23.3457521339559,12.8981879721155,-1.10874749922342,0.050689055680505,NA,-0.0083090053844799,NA,8,-1072.54751194564,2161.19134496152,229.493720904603,9.730020967206e-51,1
-31.5317247339531,12.9043280236385,-1.10926072159569,0.0506932571442211,NA,NA,-2.11259404261441e-06,8,-1073.04674949299,2162.18982005622,230.492195999311,5.90605740909683e-51,1
522.375435017783,-0.162069282263131,NA,0.0466866120479125,NA,-0.526310108575618,0.00013222389453319,8,-1073.73358364275,2163.56348835573,231.865864298813,2.97173023529805e-51,1
506.989732874535,NA,NA,0.0497870180384357,NA,-0.511813263659499,0.000128561138327578,7,-1076.97569775948,2168.02626182913,236.328637772215,3.19102668641389e-52,1
15.2076158900984,-0.153344797034889,NA,0.0471421539264511,NA,-0.00835378091962423,NA,7,-1090.6742483546,2195.42336301936,263.725738962451,3.58695148465621e-58,1
6.99524602091524,-0.153243126048723,NA,0.0471438806831593,NA,NA,-2.12392696954362e-06,7,-1091.19165974169,2196.45818579354,264.760561736629,2.13804377266504e-58,1
13.9451462768051,NA,NA,0.0500966722262457,NA,-0.00821536286287553,NA,6,-1093.57064879007,2199.19740980458,267.499785747671,5.43502637581312e-59,1
5.87001471708293,NA,NA,0.0500969035753807,NA,NA,-2.08887450167982e-06,6,-1094.08431573293,2200.2247436903,268.52711963339,3.251763389745e-59,1
-40.5227267071378,13.2306219282706,-1.13788755608088,0.0500514071997028,NA,NA,NA,7,-1121.40690736608,2256.88868104231,325.191056985398,1.61324853637654e-71,1
-1.03720737138994,-0.164649843271171,NA,0.0462724278487837,NA,NA,NA,6,-1140.93462352826,2293.92535928097,362.227735224061,1.46314977960688e-79,1
-2.10210491831583,NA,NA,0.0494440026329957,NA,NA,NA,5,-1144.36381554022,2298.76768448498,367.070060428065,1.29954471798819e-80,1
710.046753391727,-5.37101189324787,0.363903517251522,NA,NA,-0.697310882604477,0.000175683277713522,8,-1325.21737272087,2666.53106651197,734.833442455059,1.79881913269141e-160,1
699.136999706345,-1.11025206442174,NA,NA,NA,-0.698880225743461,0.00017608205118313,7,-1326.71281482022,2667.5004959506,735.802871893683,1.10784389887676e-160,1
