"(Intercept)","CO2","I(CO2^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.73379182254427,NA,5.9145958209921e-06,0.00639376272120456,0.00127295467043054,0.0100425243189421,NA,8,-84382.7473253884,168781.495746417,0,0.350781771822625,0.350781771822625,FALSE
0.189304911006185,-0.00549545476075783,1.4040780218755e-05,0.00643205442243001,0.00126076032119932,0.0100146540630005,NA,9,-84381.9986665442,168781.998702649,0.502956232172437,0.272785611640396,0.623567383463021,FALSE
-0.702399071212592,NA,5.90982948600941e-06,0.00643218091625757,0.00126378312430885,0.00592310170570684,0.000135396102035792,9,-84382.605562138,168783.212493837,1.71674741979223,0.148679143915767,0.772246527378789,FALSE
0.211403853466153,-0.00544888879106149,1.39673754921124e-05,0.00646845615952143,0.0012521168732033,0.00608856797705414,0.000129051049846224,10,-84381.8699099573,168783.741493835,2.24574741788092,0.114124571981299,0.886371099360087,FALSE
-1.40196710482539,0.0039884806782497,NA,0.0063591694803929,0.00128360915825838,0.0100639711536568,NA,8,-84384.2314120471,168784.463919734,2.96817331737839,0.0795254931429305,0.965896592503018,FALSE
-1.36879901360595,0.00398521880318696,NA,0.00639928988806147,0.00127404932052173,0.00578142651238057,0.000140758404307025,9,-84384.0781381994,168786.15764596,4.66189954255242,0.0340971746539741,0.999993767156992,FALSE
0.325258731383562,-0.00640703303673184,1.55038945817547e-05,0.0144369872643317,NA,0.00978455792949037,NA,8,-84394.8856915432,168805.772478727,24.2767323097214,1.87677226600918e-06,0.999995643929258,FALSE
-0.751151354556433,NA,6.03103675607961e-06,0.0144826102506121,NA,0.00981444558399271,NA,7,-84395.9051991545,168805.811250467,24.3155040502024,1.84073979127501e-06,0.999997484669049,FALSE
-0.698815514390307,NA,6.02172596455751e-06,0.0144497485410255,NA,0.00297670178234371,0.00022483361826529,8,-84395.5125145547,168807.02612475,25.5303783325944,1.00273414106036e-06,0.99999848740319,FALSE
0.360791626369785,-0.00631854115880478,1.53640870012666e-05,0.0144059763582558,NA,0.00320022042040067,0.000216514954837797,9,-84394.5216553267,168807.044680214,25.5489337971667,9.93474064822255e-07,0.999999480877255,FALSE
-1.43243133378886,0.00406671435857015,NA,0.0145167987224106,NA,0.00983445804821725,NA,7,-84397.6137835144,168809.228419187,27.7326727698965,3.33398499740124e-07,0.999999814275755,FALSE
-1.37757539460193,0.00406035538572869,NA,0.0144828841155779,NA,0.00280471883800481,0.000231144615581384,8,-84397.1987372233,168810.398570087,28.9028236698359,1.85724245107286e-07,1,FALSE
0.872064259307289,-0.00867885088903206,1.88777664249665e-05,0.0064281485499626,0.000906178299393038,NA,NA,8,-84539.3599017146,169094.720899069,313.225152652478,3.38111017185988e-69,1,FALSE
-0.58510669363163,NA,6.04479034074281e-06,0.00636751340587665,0.000923932717624369,NA,NA,7,-84541.2266849579,169096.454222074,314.958475656895,1.42125830081768e-69,1,FALSE
-1.26649218213944,0.00407278214723092,NA,0.00632989769357001,0.000934631638680001,NA,NA,7,-84543.3953366734,169100.791525505,319.295779087901,1.62494827427792e-70,1,FALSE
0.958829538688536,-0.00928396992114835,1.98536969512815e-05,0.0122193836674161,NA,NA,NA,7,-84546.0444246352,169106.089701429,324.59395501166,1.14909320641968e-71,1,FALSE
-0.600250416261657,NA,6.12765767401858e-06,0.0122758358344397,NA,NA,NA,6,-84548.184433607,169108.369506328,326.873759910843,3.67537716958695e-72,1,FALSE
-1.29106718936761,0.00412866555077088,NA,0.0123073337266547,NA,NA,NA,6,-84550.5166842713,169113.034007656,331.53826123933,3.56794638268074e-73,1,FALSE
1.26903110061115,-0.0110868947751721,2.29197987457373e-05,NA,NA,-0.0088772128197948,0.000532476698332299,8,-84642.0747727049,169300.15064105,518.654894632986,8.3283245646771e-114,1,TRUE
1.18613311796525,-0.0113302048383303,2.33043798067293e-05,NA,NA,0.00730264972926017,NA,7,-84644.2750945826,169302.551041323,521.055294906342,2.50794117256086e-114,1,FALSE
-0.589633751516555,NA,6.52981159745827e-06,NA,NA,-0.00933562569155491,0.000548824606337873,7,-84645.1216461634,169304.244144485,522.748398067983,1.07563435558487e-114,1,TRUE
-0.717199326735128,NA,6.55543514760852e-06,NA,NA,0.00734185880642071,NA,6,-84647.4604063302,169306.921451774,525.425705357135,2.82029653640924e-115,1,FALSE
-1.32378313689747,0.00439876326544244,NA,NA,NA,-0.00956639474755401,0.000556923765354845,7,-84648.0267867816,169310.054425721,528.558679304406,5.88813997183885e-116,1,TRUE
-1.45607625835073,0.00441601736276228,NA,NA,NA,0.00735727835437474,NA,6,-84650.435231411,169312.871101936,531.375355518801,1.43994086437347e-116,1,FALSE
-0.0144175661422347,NA,NA,0.0042218824362418,0.00185219083308704,-0.0014213117509693,0.000390481714301437,8,-84704.8283055796,169425.657706799,644.16196038248,4.64562975178771e-141,1,TRUE
