"Species","Year","Num_of_trees","sss"
"SCBI_qual",1792,1,0.252
"SCBI_qual",1793,1,0.252
"SCBI_qual",1794,1,0.252
"SCBI_qual",1795,1,0.252
"SCBI_qual",1796,2,0.407
"SCBI_qual",1797,3,0.511
"SCBI_qual",1798,3,0.511
"SCBI_qual",1799,3,0.511
"SCBI_qual",1800,3,0.511
"SCBI_qual",1801,3,0.511
"SCBI_qual",1802,3,0.511
"SCBI_qual",1803,3,0.511
"SCBI_qual",1804,3,0.511
"SCBI_qual",1805,3,0.511
"SCBI_qual",1806,4,0.587
"SCBI_qual",1807,4,0.587
"SCBI_qual",1808,4,0.587
"SCBI_qual",1809,4,0.587
"SCBI_qual",1810,4,0.587
"SCBI_qual",1811,4,0.587
"SCBI_qual",1812,4,0.587
"SCBI_qual",1813,4,0.587
"SCBI_qual",1814,4,0.587
"SCBI_qual",1815,4,0.587
"SCBI_qual",1816,4,0.587
"SCBI_qual",1817,4,0.587
"SCBI_qual",1818,4,0.587
"SCBI_qual",1819,4,0.587
"SCBI_qual",1820,4,0.587
"SCBI_qual",1821,4,0.587
"SCBI_qual",1822,4,0.587
"SCBI_qual",1823,4,0.587
"SCBI_qual",1824,4,0.587
"SCBI_qual",1825,4,0.587
"SCBI_qual",1826,4,0.587
"SCBI_qual",1827,4,0.587
"SCBI_qual",1828,4,0.587
"SCBI_qual",1829,4,0.587
"SCBI_qual",1830,4,0.587
"SCBI_qual",1831,4,0.587
"SCBI_qual",1832,4,0.587
"SCBI_qual",1833,4,0.587
"SCBI_qual",1834,4,0.587
"SCBI_qual",1835,4,0.587
"SCBI_qual",1836,4,0.587
"SCBI_qual",1837,4,0.587
"SCBI_qual",1838,4,0.587
"SCBI_qual",1839,5,0.644
"SCBI_qual",1840,5,0.644
"SCBI_qual",1841,5,0.644
"SCBI_qual",1842,5,0.644
"SCBI_qual",1843,5,0.644
"SCBI_qual",1844,5,0.644
"SCBI_qual",1845,5,0.644
"SCBI_qual",1846,5,0.644
"SCBI_qual",1847,5,0.644
"SCBI_qual",1848,5,0.644
"SCBI_qual",1849,5,0.644
"SCBI_qual",1850,5,0.644
"SCBI_qual",1851,5,0.644
"SCBI_qual",1852,5,0.644
"SCBI_qual",1853,5,0.644
"SCBI_qual",1854,5,0.644
"SCBI_qual",1855,5,0.644
"SCBI_qual",1856,5,0.644
"SCBI_qual",1857,5,0.644
"SCBI_qual",1858,5,0.644
"SCBI_qual",1859,5,0.644
"SCBI_qual",1860,6,0.688
"SCBI_qual",1861,6,0.688
"SCBI_qual",1862,6,0.688
"SCBI_qual",1863,6,0.688
"SCBI_qual",1864,6,0.688
"SCBI_qual",1865,6,0.688
"SCBI_qual",1866,7,0.724
"SCBI_qual",1867,7,0.724
"SCBI_qual",1868,10,0.798
"SCBI_qual",1869,10,0.798
"SCBI_qual",1870,11,0.816
"SCBI_qual",1871,14,0.857
"SCBI_qual",1872,15,0.868
"SCBI_qual",1873,15,0.868
"SCBI_qual",1874,16,0.877
"SCBI_qual",1875,17,0.886
"SCBI_qual",1876,17,0.886
"SCBI_qual",1877,18,0.894
"SCBI_qual",1878,20,0.907
"SCBI_qual",1879,20,0.907
"SCBI_qual",1880,21,0.913
"SCBI_qual",1881,22,0.919
"SCBI_qual",1882,24,0.929
"SCBI_qual",1883,24,0.929
"SCBI_qual",1884,24,0.929
"SCBI_qual",1885,25,0.933
"SCBI_qual",1886,26,0.937
"SCBI_qual",1887,27,0.941
"SCBI_qual",1888,27,0.941
"SCBI_qual",1889,27,0.941
"SCBI_qual",1890,27,0.941
"SCBI_qual",1891,28,0.944
"SCBI_qual",1892,28,0.944
"SCBI_qual",1893,29,0.948
"SCBI_qual",1894,29,0.948
