"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
7.68514469192918,0.0618922913812624,-0.000831279859169732,-0.116043486301709,NA,-0.896600004087685,0.0459384032453341,9,-5418.40928273645,10854.8603385061,0,0.700282521215767,0.700282521215767
9.96674037867256,0.0618680227921655,-0.000831029760545288,-0.262600091600704,0.00235615438272592,-0.897125653501754,0.0459633760293934,10,-5418.40805835725,10856.8671844954,2.00684598929183,0.256739219781739,0.957021740997505
3.38683067080191,0.0624726210275276,-0.000832824879483247,-0.117637804039492,NA,NA,NA,7,-5424.09996351942,10862.2259070899,7.3655685837839,0.0176140972837949,0.9746358382813
2.84823134387589,0.0625354897466775,-0.000834530253114311,-0.103824269318822,NA,0.0111777610893259,NA,8,-5423.84134273798,10863.7160961488,8.85575764272107,0.00836122572351313,0.982997064004813
3.32496003696295,0.0617145596646481,-0.000833016345121954,NA,NA,-0.768480094270755,0.0408987956888679,8,-5423.9901567241,10864.0137241211,9.15338561497083,0.00720511397260342,0.990202177977417
1.37391071529755,0.0624935995948576,-0.000833039619163921,0.0118567098446196,-0.00208250786958439,NA,NA,8,-5424.09900487035,10864.2314204136,9.37108190746403,0.00646202606918623,0.996664204046603
-0.542745290291134,0.062571061274809,-0.000834898897166268,0.114233698895905,-0.00350581754312453,0.0112255932510105,NA,9,-5423.83862912825,10865.7190312897,10.8586927835931,0.00307141222373228,0.999735616270335
-0.61814396949379,0.062308642354467,-0.000835776209035378,NA,NA,0.0370104252473231,NA,7,-5428.34333182073,10870.7126436925,15.8523051863995,0.000252923365868335,0.999988539636204
-0.248034166797877,0.0618632999884243,-0.000828405194885852,NA,NA,NA,NA,6,-5432.44077367207,10876.9010278636,22.0406893575273,1.14603637953013e-05,0.999999999999999
8.01540608880518,0.016269605579671,NA,-0.112647856724934,NA,-0.894832750971151,0.0457635454292382,8,-5454.00504731687,10924.0435053066,69.1831668004979,6.64262132887304e-16,1
33.4357603551443,0.0161531462647373,NA,-1.74533117230154,0.0262466802898134,-0.901221795578466,0.0460679348917287,9,-5453.85354621719,10925.7488654676,70.8885269614693,2.83155656535881e-16,1
3.64832382883728,0.0167490726750305,NA,-0.111978044096469,NA,NA,NA,6,-5459.57367356042,10931.1668276403,76.3064891342292,1.88594795833165e-17,1
3.76723181465347,0.0160025361570574,NA,NA,NA,-0.766994125701577,0.0406903229198859,7,-5459.20424601558,10932.4344720822,77.5741335761013,1.00060855431502e-17,1
3.17855122226992,0.0167219567333507,NA,-0.0998977931506779,NA,0.00972808861619061,NA,7,-5459.37802732837,10932.7820347078,77.9216962016908,8.4099215807771e-18,1
24.071901174758,0.0166567725225776,NA,-1.42588151596788,0.0211290847849871,NA,NA,7,-5459.47529739536,10932.9765748418,78.1162363356671,7.63041384056831e-18,1
22.3957826763108,0.0166359931357605,NA,-1.33566467120288,0.0198668879367888,0.00944469236526928,NA,8,-5459.29118088717,10934.6157724472,79.7554339411017,3.3620243568649e-18,1
-0.155162175227202,0.016435068507959,NA,NA,NA,0.0344886381500844,NA,6,-5463.50395793916,10939.0273963978,84.167057891711,3.7036410280133e-19,1
0.1861456010084,0.0163963672807307,NA,NA,NA,NA,NA,5,-5467.05839482177,10944.1307010741,89.270362568006,2.88709022469215e-20,1
89.5526748097807,NA,NA,-5.29658600445427,0.0836794352167919,-1.08160546714336,0.0554191076954143,8,-5499.16537780395,11014.3641662808,159.503827774666,1.6197842216027e-35,1
8.49277882667696,NA,NA,-0.0903959273494418,NA,-1.06228260223668,0.0545138867694123,7,-5500.71475829033,11015.4554966317,160.595158125612,9.38594034258695e-36,1
5.04232327817412,NA,NA,NA,NA,-0.952097930543541,0.050051051200099,6,-5504.0368572127,11020.0931949449,165.232856438794,9.23452149260254e-37,1
79.7650482415873,NA,NA,-5.00268630503033,0.0789423775956979,NA,NA,6,-5507.4346556185,11026.8887917565,172.028453250394,3.08865427070869e-38,1
3.44872454601556,NA,NA,-0.0931137999253116,NA,NA,NA,5,-5508.81593027737,11027.6457719853,172.785433479219,2.11540306865468e-38,1
76.7942802430621,NA,NA,-4.83856360298883,0.0765917636555545,0.0144448411761752,NA,7,-5507.0035740324,11028.0331281158,173.172789609747,1.74292947744187e-38,1
2.68609655605202,NA,NA,-0.0735282440096451,NA,0.0157706796273091,NA,6,-5508.30090693101,11028.6212943815,173.760955875405,1.29885638368728e-38,1
0.228655175938821,NA,NA,NA,NA,0.0338787186053812,NA,5,-5510.5257544379,11031.0654203064,176.205081800266,3.82671335528546e-39,1
0.563026335434665,NA,NA,NA,NA,NA,NA,4,-5513.95081028429,11035.9108927058,181.050554199715,3.39347746423244e-40,1
