"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw"
-4.53584905224728,0.346232556667373,-0.023164582535965,0.000196646018092585,-6.30893002029412e-05,-0.241514392110079,-0.00504898254009849,10,-1189.95805261744,2399.922710453,0,1,1
-4.62389708418934,0.345407017529528,-0.0231220325275595,0.00268546334232655,NA,-0.251176358622321,-0.0052602372724283,9,-1257.97520160917,2533.95580732545,134.033096872452,7.85385389684917e-30,1
-1.71142202440412,0.343711257172961,-0.0230687428247608,-0.000130330001282904,-6.93807956272709e-05,-0.00246192237751597,NA,9,-1351.10863054969,2720.22266520649,320.299954753493,2.80380979336669e-70,1
-4.17061250317464,0.108712567455891,NA,0.000210738972960642,-6.28139418804713e-05,-0.24120511231448,-0.00504109487343928,9,-1355.80708281291,2729.61956973295,329.696859279946,2.554092706744e-72,1
-1.65531731604354,0.344298035157996,-0.023090853954762,-0.000111238340751059,-6.83871521296958e-05,NA,NA,8,-1358.77181302456,2733.54794920503,333.625238752029,3.58261296456515e-73,1
-4.25987948303879,0.108495385115781,NA,0.00268867872430311,NA,-0.250824762681787,-0.00525143306189843,8,-1423.12938225866,2862.26308767322,462.340377220221,4.01848828053312e-101,1
-1.67830272620099,0.34271876079956,-0.0230191895921555,0.00260306594694679,NA,-0.00208626498458521,NA,8,-1432.73663487413,2881.47759290417,481.554882451171,2.7020035105791e-105,1
-1.63103769357029,0.343227173317354,-0.0230387032361636,0.00258603328769128,NA,NA,NA,7,-1438.22162214323,2890.44660664011,490.52389618711,3.04852192014235e-107,1
-1.35619646377873,0.107844651933097,NA,-0.000115671824198708,-6.90885844758452e-05,-0.00252513624096635,NA,8,-1516.25948712285,3048.5232974016,648.600586948603,1.43936873335795e-141,1
-1.29805299192023,0.108169548766725,NA,-9.6037312524789e-05,-6.80681696377174e-05,NA,NA,7,-1524.31210255863,3062.62756747091,662.704857017905,1.24585853946421e-144,1
-3.50678034433809,NA,NA,0.000203506125510925,-6.31297431728649e-05,-0.241952987518685,-0.00505265105706564,8,-1556.58864147672,3129.18160610934,729.258895656334,4.39990063575585e-159,1
-4.47884982555577,0.341772656505664,-0.0230724741324672,NA,NA,-0.236332724877771,-0.00496300041027982,8,-1578.59625873933,3173.19684063456,773.274130181562,1.21802480230259e-168,1
-1.32514817448096,0.107571831138149,NA,0.00260617251448822,NA,-0.00215051854613613,NA,7,-1597.13137012717,3208.26610260799,808.34339215499,2.95435481250465e-176,1
-1.27590772707379,0.10785168906428,NA,0.00258861873919339,NA,NA,NA,6,-1602.9541591305,3217.91083995054,817.988129497535,2.37757676770702e-178,1
-3.59761108770888,NA,NA,0.00269392316916369,NA,-0.251618956195087,-0.00526398832133698,7,-1623.16510023481,3260.33356282326,860.410852370262,1.45934281074605e-187,1
-0.690387514881197,NA,NA,-0.000123427428606136,-6.94181910180115e-05,-0.00272749982576947,NA,7,-1714.3864879942,3442.77633834204,1042.85362788904,3.5254291203619e-227,1
-0.625458495616202,NA,NA,-0.000102254955854014,-6.83173274758711e-05,NA,NA,6,-1723.58740542241,3459.17733253435,1059.25462208135,9.67790489066529e-231,1
-1.70000923426283,0.339485656364929,-0.0229779175889879,NA,NA,-0.00134020998215329,NA,7,-1731.0592465669,3476.12185548745,1076.19914503445,2.02453337798457e-234,1
-1.66949307771832,0.339825596032763,-0.0229903590884237,NA,NA,NA,NA,6,-1733.2809713285,3478.56446434652,1078.64175389352,5.96924173539088e-235,1
-4.12332818896451,0.106731411404685,NA,NA,NA,-0.235902180826533,-0.00495255857888147,7,-1744.21392124743,3502.4312048485,1102.5084943955,3.92032720436216e-240,1
-0.660635306767435,NA,NA,0.00261144124080731,NA,-0.00235199873672039,NA,6,-1794.31262166267,3600.62776501487,1200.70505456187,1.86298863366955e-261,1
-0.604932124406485,NA,NA,0.00259225722997918,NA,NA,NA,5,-1801.1333092876,3612.26841972794,1212.34570927494,5.52680512201061e-264,1
-1.35509860156982,0.105962602464203,NA,NA,NA,-0.00140305319803136,NA,6,-1896.06315362593,3804.1288289414,1404.20611848839,1.20369274482065e-305,1
-1.32274926358088,0.106150024275314,NA,NA,NA,NA,NA,5,-1898.49860461043,3806.9990103736,1407.0762999206,2.86591736430151e-306,1
-3.47028312911774,NA,NA,NA,NA,-0.236693771607295,-0.00496504929875736,6,-1938.78250655557,3889.56753480066,1489.64482434766,4.94065645841247e-324,1
-0.69908822508344,NA,NA,NA,NA,-0.00160487060080012,NA,5,-2088.16704615265,4186.33589345804,1786.41318300504,0,1
-0.660794499853897,NA,NA,NA,NA,NA,NA,4,-2091.28733297376,4190.57586667997,1790.65315622697,0,1
