"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
0.328037632418239,-0.00212240362237487,NA,NA,0.00907693037170294,-4.27378419952865e-05,-0.0136175545799149,NA,8,-289.886592518951,595.843087950524,0,0.340400102959763,0.340400102959763,FALSE
-0.0655582702378022,-0.00211877527332667,NA,NA,0.00892336124529577,-4.18815572691655e-05,0.0298777243886945,-0.00118054295862505,9,-289.712380387231,597.512181852655,1.66909390213152,0.147757844523785,0.488157947483548,FALSE
0.336091934561001,-0.00217810622658295,0.000322192717700092,NA,0.00908144508288268,-4.27681912290835e-05,-0.0136183726989101,NA,9,-289.883799199298,597.855019476789,2.01193152626513,0.124481353802487,0.612639301286035,FALSE
0.0827235041722988,-0.0019519510666181,0.0133870368399342,-0.000195952192746108,0.0090969727472063,-4.28847708427718e-05,-0.0136567596131931,NA,10,-289.012325994542,598.131551891903,2.28846394137884,0.108406681924611,0.721045983210646,FALSE
-0.0574265516892312,-0.00217714111970896,0.000337615382806146,NA,0.0089279681836956,-4.19126639427064e-05,0.0299109233936209,-0.0011814671897803,10,-289.709314810944,599.525529524707,3.68244157418314,0.0539955109241581,0.775041494134804,FALSE
-0.319592693095871,-0.00195008847881313,0.0134575619745506,-0.000196769151779577,0.00894045403844919,-4.20121775571355e-05,0.0307298918941396,-0.00120473133934188,11,-288.831035749752,599.790413745494,3.94732579496986,0.0472975644051818,0.822339058539986,FALSE
-0.408435231147308,NA,0.010515560397818,-0.000245710445349348,0.00903114989962535,-4.24130724951638e-05,-0.0139018580908407,NA,9,-290.881612026295,599.850645130784,4.00755718026051,0.0458944001730147,0.868233458713,FALSE
-0.157124784344965,NA,-0.00671588280448672,NA,0.00900492836201318,-4.22175558635577e-05,-0.0138916701639247,NA,8,-292.274475758917,600.618854430456,4.77576647993192,0.0312568470943197,0.89949030580732,FALSE
-0.814844581584221,NA,0.0105888170401823,-0.000246478691439673,0.00887306076219924,-4.1532252713607e-05,0.0309904319421173,-0.00121846323004101,10,-290.695885520381,601.49867094358,5.65558299305678,0.020132394867357,0.919622700674677,FALSE
0.574672637079858,-0.00213285239977794,NA,NA,0.00292715793604233,NA,-0.0153600434017299,NA,7,-293.890293549434,601.834929651028,5.9918417005041,0.017016795874223,0.9366394965489,FALSE
