"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
0.185016696923033,NA,NA,NA,0.00203306284734184,NA,-0.0657603057057477,NA,6,-267.800755716385,547.654878650051,0,0.0859879975527208,0.0859879975527208,FALSE
-0.0101678566968695,NA,0.0251441819574112,-0.000491750235945202,0.00202988863330224,NA,-0.0658386294495503,NA,8,-265.800581116505,547.692765286445,0.0378866363939778,0.0843744309586517,0.170362428511373,FALSE
0.252475122583169,NA,NA,NA,-0.00043389968931413,2.23580979933988e-05,-0.066384955791077,NA,7,-266.882222226802,547.835645979352,0.180767329300579,0.0785569672086298,0.248919395720002,TRUE
0.0621458446993623,NA,0.0249926936837344,-0.000491446415386762,-0.000451737571921182,2.24909331163715e-05,-0.0664684329384889,NA,9,-264.872414730143,547.859406163023,0.204527512972504,0.0776292249668579,0.32654862068686,TRUE
-0.235530778632958,NA,NA,NA,-0.000597446697269772,2.44268471628011e-05,0.0415943482922328,-0.00589058203782314,8,-266.126969726965,548.345542507365,0.690663857314121,0.0608782394344658,0.387426860121326,TRUE
-0.425381975572039,NA,0.0250181735070363,-0.00049148835351739,-0.000614680921242114,2.4552777642129e-05,0.0412367776223228,-0.00587560379159015,10,-264.122092743246,548.384312875028,0.729434224976899,0.0597094685908782,0.447136328712204,TRUE
-0.249061995830566,NA,NA,NA,0.00208990011233994,NA,0.029124442523132,-0.00517346716775272,7,-267.2131812542,548.497564034147,0.842685384096512,0.0564223316357695,0.503558660347974,FALSE
-0.443730367834275,NA,0.0251787025345122,-0.000491811391177656,0.00208653056967573,NA,0.0287102485777049,-0.00515512664611318,9,-265.218005375661,548.550587454058,0.895708804007313,0.0549461338715897,0.558504794219563,FALSE
-0.514962791667775,0.00192521699440751,0.0215384288526324,-0.000488222212365003,0.00202990308017375,NA,-0.065853087287845,NA,9,-265.456656040274,549.027888783285,1.37301013323429,0.0432805203160586,0.601785314535622,FALSE
-0.448683879933818,0.00194858461845662,0.0213500959922036,-0.000487854107924915,-0.00046400619674303,2.26022490358435e-05,-0.0664872425945467,NA,10,-264.52057306699,549.181273522514,1.52639487246313,0.040085324186612,0.641870638722234,TRUE
0.303943523348004,NA,-0.00373728872157508,NA,0.00203218920830277,NA,-0.0657630425670775,NA,7,-267.580819945427,549.232841416601,1.57796276654972,0.039064977125481,0.680935615847715,FALSE
0.376437554919569,NA,-0.00387553746554307,NA,-0.000457804162005569,2.25666057914229e-05,-0.0663941427476054,NA,8,-266.645760295768,549.38312364497,1.72824499491935,0.036237164133046,0.717172779980761,TRUE
0.0358767663086015,0.000466545427867717,NA,NA,0.00203322534615688,NA,-0.065761853295371,NA,7,-267.769929239845,549.611060005436,1.95618135538552,0.0323339268379735,0.749506706818734,FALSE
-0.917716230232089,0.00189914473051795,0.0214665113137017,-0.00048795665381203,-0.000624787310959002,2.4637777988282e-05,0.0399956468821791,-0.00580890533091769,11,-263.788509250631,549.745278539503,2.09039988945244,0.0302352293249329,0.779741936143667,TRUE
0.106603947019239,0.000456168101134664,NA,NA,-0.000432035819383212,2.23426153945591e-05,-0.0663861044498921,NA,8,-266.852844303984,549.797291661403,2.14241301135235,0.0294590515936524,0.80920098773732,TRUE
-0.111436579636057,NA,-0.00385303652227338,NA,-0.000620864736478592,2.46299927295748e-05,0.0413963061869543,-0.00588027689972972,9,-265.89352073201,549.901618166757,2.24673951670627,0.0279617628623975,0.837162750599717,TRUE
-0.930904357419993,0.00188013110771771,0.0216553278390622,-0.000488341855118432,0.00208578283794778,NA,0.0274361373945507,-0.00508643136429128,10,-264.890535469307,549.921198327148,2.26631967709716,0.0276893506062766,0.864852101205994,FALSE
-0.129800167138524,NA,-0.00370645869216991,NA,0.0020888630229316,NA,0.0288338618833433,-0.00515776991097014,8,-266.997087955593,550.085778964621,2.43090031457041,0.0255020174797559,0.89035411868575,FALSE
-0.371503771275264,0.000428509101476571,NA,NA,-0.000595359854298568,2.44079725698931e-05,0.0413601836500853,-0.00587786717890625,9,-266.101087006128,550.316750714993,2.66187206494249,0.0227205929281458,0.913074711613896,TRUE
-0.389676672912604,0.000443184456650253,NA,NA,0.0020899145823711,NA,0.0288918666305858,-0.00516086916760982,8,-267.185397305603,550.462397664641,2.80751901458962,0.0211248107765148,0.93419952239041,FALSE
-0.209007085103902,0.00194481633705744,-0.00714920946279669,NA,0.0020321234766826,NA,-0.0657779067033231,NA,8,-267.237748954435,550.567100962304,2.91222231225356,0.0200473418127652,0.954246864203176,FALSE
-0.142884056198124,0.0019689270362976,-0.00731848947555599,NA,-0.000470467946889623,2.26807665421092e-05,-0.0664133715044967,NA,9,-266.294451945418,550.703480593572,3.04860194352148,0.0187258842529995,0.972972748456175,TRUE
-0.612070970714715,0.00191911659006643,-0.00720966196638038,NA,-0.000631362860183564,2.47178301860071e-05,0.0401549068282841,-0.00581358745356125,10,-265.560444188012,551.261015764559,3.60613711450776,0.0141701716311503,0.987142920087325,TRUE
-0.624930758426603,0.00189934775619412,-0.0070404881195629,NA,0.00208803672087923,NA,0.0275584028866497,-0.00508902350383534,9,-266.670464405962,551.455505514662,3.80062686461076,0.0128570756092268,0.999999995696552,FALSE
0.2127256467825,NA,0.0252424828103214,-0.000496950827600204,NA,NA,-0.0787803901055112,NA,7,-285.157941074096,584.387083673938,36.7322050238872,9.0811502325864e-10,0.999999996604667,FALSE
0.405027463046404,NA,NA,NA,NA,NA,-0.0787222707069465,NA,5,-287.247144714905,584.532384667905,36.8775060178544,8.44479575967624e-10,0.999999997449147,FALSE
-0.308104079014773,0.00198753799243885,0.0215166912923152,-0.000493468427974154,NA,NA,-0.0787900602212033,NA,8,-284.787056016944,585.665715087323,38.0108364372722,4.79169952553802e-10,0.999999997928317,FALSE
0.530137235818716,NA,-0.00393465895910454,NA,NA,NA,-0.0787188083348457,NA,6,-287.000467483987,586.054302185254,38.3994235352029,3.94556280319767e-10,0.999999998322873,FALSE
