"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-37.3678112659465,0.00370496026332722,-0.140118397684262,0.000863389939575043,18.5351556207578,-2.17927876741602,0.0166296950415842,NA,10,-507.691819105295,1035.60452174473,0,0.470167506458582,0.470167506458582
-37.203826303191,NA,-0.103239844039485,0.000647092848300118,18.4011260601617,-2.16261434989633,0.0168925965626609,NA,9,-509.294892471684,1036.77032656824,1.1658048235156,0.2624830782574,0.732650584715982
-36.9027246261719,0.00371712180630427,-0.140092329962846,0.000863273059078377,18.2989655230417,-2.15170597950912,0.0191622681954869,-4.36521303011274e-05,11,-507.682550752541,1037.63042813825,2.02590639352184,0.170738958418694,0.903389543134676
-37.006046492698,NA,-0.103177412984708,0.000646742088306905,18.3006105054924,-2.15087910756511,0.0179698293615167,-1.85600743029337e-05,10,-509.293210509366,1038.80730455287,3.20278280814091,0.0947931949882228,0.998182738122899
1.55124067458402,0.00359032406924487,-0.138675463791307,0.000855238217037505,NA,NA,0.0478258391930838,-0.000528892099653479,9,-516.410482333525,1051.00150629192,15.3969845471972,0.000213225871475515,0.998395963994374
2.36047100307961,0.00371568102984964,-0.140555675918516,0.000866706308946144,-0.166878641785619,NA,0.0447781948876378,-0.000515796953773131,10,-515.408094791134,1051.03707311641,15.4325513716785,0.000209467505238774,0.998605431499613
-40.2856533612563,-0.00283956426837088,NA,NA,18.6747159798366,-2.19323396637586,0.0171991331720025,NA,8,-517.608424230457,1051.36113703807,15.7566152933414,0.000178134104062247,0.998783565603675
-40.8859265335623,NA,-0.00888236596884634,NA,18.8038372864285,-2.20878069377268,0.0170528428630495,NA,8,-517.839365908154,1051.82302039346,16.2184986487355,0.000141400315192573,0.998924965918868
2.8824342982264,0.00354768774556696,-0.140975858073104,0.000868784902349171,-0.172983329858417,NA,0.0145428629774972,NA,9,-516.877642210941,1051.93582604676,16.3313043020305,0.000133645684953838,0.999058611603822
1.47880851868377,NA,-0.103081435789,0.000646608607825807,NA,NA,0.0464453049555942,-0.000502572030021754,8,-517.931489540636,1052.00726765843,16.4027459136996,0.000128956011497079,0.999187567615319
2.05647274225913,0.00341292608256759,-0.139030762153137,0.000856906016794497,NA,NA,0.0169090662529632,NA,8,-517.952380929503,1052.04905043616,16.4445286914342,0.000126289887796083,0.999313857503115
2.24313504247012,NA,-0.103678612572661,0.000650514881265359,-0.158179258289826,NA,0.0435247648071512,-0.000489551491704109,9,-517.029353795631,1052.23924921614,16.6347274714105,0.000114833192021993,0.999428690695137
-40.1347797762282,-0.00211435055416709,-0.00566602658578687,NA,18.6671895608038,-2.19248176690317,0.0171543616426548,NA,9,-517.079960129196,1052.34046188327,16.7359401385399,0.000109166499776641,0.999537857194914
-41.668285360699,NA,NA,NA,18.9034366201522,-2.22039131236325,0.0170751132705828,NA,7,-519.241751761166,1052.59561563444,16.9910938897176,9.60911636343093e-05,0.999633948358548
1.9634865073595,NA,-0.105094008439501,0.000658013206296508,NA,NA,0.0170576830327396,NA,7,-519.329090056501,1052.77029222511,17.1657704803877,8.80547752373918e-05,0.999722003133785
2.74428558503419,NA,-0.105662689829702,0.000661785926849485,-0.16427287999734,NA,0.0148148530741296,NA,8,-518.358069416464,1052.86042741008,17.2559056653563,8.41744536375988e-05,0.999806177587423
-39.7697437580123,-0.00282409161071385,NA,NA,18.412940627915,-2.16267852769816,0.0200193755182794,-4.85957949147696e-05,9,-517.596853532908,1053.37424869069,17.7697269459638,6.51036642381284e-05,0.999871281251661
-40.1664904910417,NA,-0.0088371014374161,NA,18.4408372771054,-2.16640594357821,0.0209508039870006,-6.71491646238898e-05,9,-517.81723255268,1053.81500673023,18.2104849855075,5.22271155060904e-05,0.999923508367167
-39.6469558912693,-0.00210060236973563,-0.00565893058830569,NA,18.4195805020672,-2.16357949227953,0.0198211894445442,-4.59527199376853e-05,10,-517.069620407524,1054.36012434919,18.7556026044585,3.97672219821144e-05,0.999963275589149
-40.7609709259235,NA,NA,NA,18.4474937921321,-2.16716817925534,0.021970348058886,-8.43255171978796e-05,8,-519.206772742285,1054.55783406172,18.9533123169967,3.60240996214391e-05,0.999999299688771
-0.994636166024348,-0.00287714314278392,NA,NA,NA,NA,0.0483804554468022,-0.00053311377838665,7,-526.257284331448,1066.62668077501,31.022159030282,8.62732919245718e-08,0.999999385962062
-0.308401858507194,-0.00284462205554371,NA,NA,-0.147922113438626,NA,0.0457056705129645,-0.000521984833570897,8,-525.470054124414,1067.08439682598,31.4798750812561,6.86253531065097e-08,0.999999454587416
-1.35619453981219,NA,-0.00890502537048623,NA,NA,NA,0.049509741499019,-0.000554265159872371,7,-526.543161416956,1067.19843494602,31.5939132012966,6.48218660347387e-08,0.999999519409282
-0.638882146774269,NA,-0.00891478957991953,NA,-0.152086647469057,NA,0.0467231121045187,-0.000542161678654808,8,-525.710730510435,1067.56574959802,31.9612278532968,5.39461139888518e-08,0.999999573355396
-0.862195561393299,-0.00216207511844638,-0.00559107174520217,NA,NA,NA,0.048214857495908,-0.000530819684964474,8,-525.742186559873,1067.6286616969,32.0241399521738,5.22755940822455e-08,0.99999962563099
-0.492106611858558,-0.00307916034161211,NA,NA,NA,NA,0.017203869601886,NA,6,-527.832696076351,1067.7493921527,32.1448704079746,4.92133231173128e-08,0.999999674844313
-1.94106484060373,NA,NA,NA,NA,NA,0.0505654916313401,-0.000572037900874937,6,-527.952449394934,1067.98889878987,32.384377045141,4.36590705846418e-08,0.999999718503383
-0.169435155075673,-0.00212075201747255,-0.00566136236845331,NA,-0.148942776694653,NA,0.0455192412970569,-0.000519570783102972,9,-524.94401513669,1068.06857189825,32.4640501535275,4.19540305909457e-08,0.999999760457414
0.210454405077874,-0.00304095432321841,NA,NA,-0.153789245809326,NA,0.0150990032134434,NA,7,-526.983655714651,1068.07942354141,32.4749017966881,4.17270119446643e-08,0.999999802184426
-1.22353889259893,NA,NA,NA,-0.15225692954394,NA,0.0477745124351395,-0.000559914915018199,7,-527.118498666753,1068.34910944562,32.7445877008915,3.64632803151448e-08,0.999999838647706
-0.871588429986743,NA,-0.00935578946411939,NA,NA,NA,0.0170891562053807,NA,6,-528.250920002481,1068.58584000496,32.9813182602354,3.2392938638105e-08,0.999999871040645
-0.359727842003196,-0.00235238927761999,-0.00567812977636434,NA,NA,NA,0.0171730188500305,NA,7,-527.303257797073,1068.71862770626,33.1141059615304,3.03120888571221e-08,0.999999901352734
-0.134666437794598,NA,-0.00935769867988661,NA,-0.158552610199333,NA,0.0149215255755038,NA,7,-527.348098608614,1068.80830932934,33.2037875846138,2.8982893991514e-08,0.999999930335628
0.349309129593335,-0.00230508221299514,-0.00575057442175618,NA,-0.154811188148545,NA,0.0150543262119258,NA,8,-526.442846806171,1069.0299821895,33.4254604447706,2.59421578988183e-08,0.999999956277786
-1.47066028497218,NA,NA,NA,NA,NA,0.0171029689548662,NA,5,-529.77541228562,1069.61076463118,34.0062428864533,1.94039788939884e-08,0.999999975681764
