"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
25.1532741737439,-0.157589092363399,0.000219709526597119,-0.274226309610161,NA,0.184836361580107,-0.00198139151179954,9,-978.183354867089,1974.48719166189,0,0.666725967732378,0.666725967732378,FALSE
20.1614682559488,-0.156905958776859,0.000218711304262332,1.39200133999935,-0.141359840904511,0.182774244304189,-0.00194502681674426,10,-977.863382944592,1975.87412020934,1.38692854745636,0.333257293499195,0.999983261231573,FALSE
22.4021673996368,-0.151586483967247,0.00021118758056188,NA,NA,0.186146208462268,-0.00192501447262744,8,-989.787902500253,1995.67212607074,21.1849344088525,1.67377591329041e-05,0.999999998990706,FALSE
-0.774422089295181,-0.00572223259703008,NA,-0.274441079352919,NA,0.182621211678312,-0.00195626553774883,8,-1000.19106249663,2016.4784460635,41.9912544016145,5.07764498599642e-10,0.99999999949847,FALSE
-6.99873705576349,-0.00573165350938054,NA,1.85324611491274,-0.180496450306164,0.180008208568872,-0.00190998171886883,9,-999.664684657275,2017.44985124226,42.9626595803729,3.12409605607628e-10,0.99999999981088,FALSE
-1.79637365840693,NA,-7.84573699498619e-06,-0.275023714928511,NA,0.182667025189273,-0.0019574049861296,8,-1001.65922954143,2019.41478015309,44.9275884912033,1.1696218879353e-10,0.999999999927842,FALSE
-8.03365889799978,NA,-7.86195646609341e-06,1.85662953904775,-0.180832245646611,0.180049184535941,-0.00191103005030653,9,-1001.13038426641,2020.38125046054,45.894058798649,7.21404963727443e-11,0.999999999999983,FALSE
-2.497036817284,-0.0056632966325449,NA,NA,NA,0.183587875529564,-0.00189502646109956,7,-1011.88764285393,2037.85015201802,63.3629603561285,1.16106183728586e-14,0.999999999999994,FALSE
-3.5098972465478,NA,-7.78351940095135e-06,NA,NA,0.183627088163219,-0.00189593952993625,7,-1013.41877034256,2040.91240699529,66.4252153333973,2.51127996089663e-15,0.999999999999997,FALSE
-2.60796310204038,NA,NA,-0.284568505270958,NA,0.184329993767716,-0.0019853929209674,7,-1013.67507469181,2041.42501569378,66.9378240318883,1.94349562167029e-15,0.999999999999999,FALSE
-8.36939882271754,NA,NA,1.68384955079011,-0.166986478154453,0.181925597253534,-0.00194273927470508,8,-1013.21778762093,2042.5318963121,68.0447046502134,1.11744844178763e-15,1,FALSE
-4.37605530723827,NA,NA,NA,NA,0.185483758534541,-0.00192439714301059,6,-1026.4964248301,2065.04896188465,90.5617702227655,1.44114882121725e-20,1,FALSE
-15.9406214105101,-0.133040840263443,0.000183545502610067,12.9211352026119,-1.1111117776087,0.0508518263646074,NA,9,-1083.63633162249,2185.39314517269,210.905953510797,1.06243278842428e-46,1,FALSE
-38.3695515467509,-0.00628713496055134,NA,13.1793094892854,-1.13255184299053,0.0505942592319924,NA,8,-1101.53463880049,2219.16559867121,244.678407009317,4.9284047548533e-54,1,FALSE
