"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-3.03221902259063,NA,NA,1.05228683362228,-0.134213844360838,0.0218565005362514,-0.000118986083639173,8,-711.329694236307,1438.72724898157,0,0.63254627121233,0.63254627121233
-3.00699338729811,-0.00112659748544575,NA,1.05250237774676,-0.13425320532032,0.0218525114551952,-0.000118976994898482,9,-711.313897314981,1440.71266025938,1.98541127781436,0.23440437801941,0.86695064923174
-2.96607670579736,-0.00566734167425516,9.74843672036538e-05,1.05227835600922,-0.134231266566926,0.021850622184509,-0.000118964470302449,10,-711.28844047279,1442.68065453049,3.95340554891868,0.0876236202832737,0.954574269515014
-0.661285418190221,NA,NA,-0.103893193902276,NA,0.0243832783044394,-0.000133460604123604,7,-715.50900471257,1445.07076495976,6.34351597819455,0.0265225518659734,0.981096821380987
-0.635482170564048,-0.00112166124895766,NA,-0.104017398935203,NA,0.0243802411422552,-0.000133457111276136,8,-715.493270902331,1447.05440231362,8.32715333204942,0.00983725499248551,0.990934076373473
-0.594414391312227,-0.00572077947691378,9.8731937727868e-05,-0.10405328233368,NA,0.0243777557383043,-0.000133441085042983,9,-715.467097161624,1449.01905995267,10.2918109711013,0.00368344291098625,0.994617519284459
-2.54513721998568,NA,NA,1.25169435631839,-0.159314857224408,0.00122619644892563,NA,7,-717.76788580788,1449.58852715038,10.8612781688132,0.00277073960392332,0.997388258888382
-2.51641688940506,-0.00128977699194691,NA,1.25197556948681,-0.159363199822106,0.00122342258787166,NA,8,-717.747460095309,1451.56278069957,12.8355317180049,0.00103250461439462,0.998420763502777
-2.37521027800939,NA,NA,1.24137988625188,-0.160410986233794,NA,NA,6,-720.086552548522,1452.21265311964,13.4854041380763,0.000746060416311186,0.999166823919088
-2.47503592089804,-0.00588769189724349,9.87698851640755e-05,1.25171032240238,-0.159336429021485,0.00122371682712543,NA,9,-717.721514815142,1453.5278952597,14.8006462781364,0.000386520734688513,0.999553344653776
-2.3387079863408,-0.00166027594423455,NA,1.24175983384803,-0.160468934313572,NA,NA,7,-720.052368745037,1454.15749302469,15.4302440431272,0.000282135268485569,0.999835479922262
-2.29859393094236,-0.00610859598115118,9.54947073761271e-05,1.24150748289747,-0.160444030767337,NA,NA,8,-720.027831047479,1456.12352260391,17.3962736223439,0.00010556974682248,0.999941049669084
0.406684849155621,NA,NA,-0.123203859906478,NA,0.0012470684054112,NA,6,-723.75300355332,1459.54555512924,20.8183061476716,1.90745613175964e-05,0.999960124230402
-1.36637365605666,NA,NA,NA,NA,0.0296879885304997,-0.000159132540734831,6,-723.983376105474,1460.00630023355,21.27905125198,1.51497348020191e-05,0.999975273965204
0.436470149511103,-0.00129690423647927,NA,-0.123341893948327,NA,0.00124424358304012,NA,7,-723.73227618698,1461.51730790858,22.7900589270137,7.11694947767098e-06,0.999982390914682
-1.35473570350995,-0.00052244987307988,NA,NA,NA,0.0296890000962593,-0.000159141941978158,7,-723.97983234345,1462.01242022152,23.2851712399531,5.55624784816662e-06,0.99998794716253
0.600175601442784,NA,NA,-0.143315373224651,NA,NA,NA,5,-726.136482901216,1462.30120109655,23.5739521149831,4.80920887473667e-06,0.999992756371405
0.478185190040996,-0.0059869692227411,0.000100745583426423,-0.123377111379515,NA,0.00124454900296473,NA,8,-723.705255557321,1463.4783716236,24.7511226420283,2.66964987795293e-06,0.999995426021283
-1.31955858553156,-0.00447558953727598,8.47453185449776e-05,NA,NA,0.0296886846573868,-0.000159137314279417,8,-723.960245729901,1463.98835196876,25.2611029871878,2.06877606483748e-06,0.999997494797347
0.638111636160032,-0.00167618917349688,NA,-0.143437344129047,NA,NA,NA,6,-726.101523360827,1464.24259474425,25.5153457626852,1.82181958136505e-06,0.999999316616929
0.678524601948533,-0.00620873957601315,9.73026954409835e-05,-0.143476060508044,NA,NA,NA,7,-726.076011619218,1466.20477877306,27.4775297914891,6.83002852652268e-07,0.999999999619781
-0.207769311412619,NA,NA,NA,NA,0.00229746139175888,NA,5,-735.990591113939,1482.00941752199,43.2821685404274,2.52632266863084e-10,0.999999999872414
-0.193618340705294,-0.000631440301292848,NA,NA,NA,0.00229669925151101,NA,6,-735.985465679438,1484.01047938147,45.2832303999071,9.28888865887005e-11,0.999999999965303
-0.159094415488899,-0.00451751277838876,8.33516091597782e-05,NA,NA,0.00229719042372602,NA,7,-735.966622410499,1485.98600035562,47.2587513740525,3.4592729292012e-11,0.999999999999895
-0.00877749032071142,NA,NA,NA,NA,NA,NA,4,-745.197606565355,1498.41402780616,59.6867788245902,6.92265927865303e-14,0.999999999999965
0.0169401992485051,-0.00115356613565271,NA,NA,NA,NA,NA,5,-745.179886232348,1500.38800775881,61.6607587772455,2.58005317272522e-14,0.99999999999999
0.0466721202706675,-0.00448332338986488,7.12882654911891e-05,NA,NA,NA,NA,6,-745.165676002707,1502.37090002801,63.6436510464459,9.57302231214439e-15,1
