"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
27.3197744634427,0.149748235174534,-0.00114851671158509,-0.464006579157286,NA,0.0120195260432099,-7.04661630385225e-05,-0.0176710760603472,10,358.156075785213,-696.277942271717,0,0.695557340509029,0.695557340509029,FALSE
27.8368980902384,0.149754757910759,-0.00114854492938137,-0.836554735518666,0.0660680465762215,0.0121962261034683,-7.15559983173628e-05,-0.017671158581559,11,358.333267133668,-694.625476724569,1.65246554714815,0.304442026361942,0.99999936687097,TRUE
27.8939176719827,0.149607425596263,-0.00114706967124089,-0.471663922267387,NA,NA,NA,-0.0176943994397203,8,341.468836217267,-666.915287855023,29.3626544166939,2.92626427073547e-07,0.999999659497397,FALSE
27.964588739332,0.149592201173216,-0.00114678532250775,-0.483587516823889,NA,-0.000222457065993671,NA,-0.0177034960300556,9,341.897698775818,-665.767412477009,30.5105297947078,1.64837330787503e-07,0.999999824334728,FALSE
27.6084343827235,0.149604388911544,-0.00114705742841995,-0.268556632711199,-0.0360554583875219,NA,NA,-0.0176943489877739,9,341.522885386388,-665.01778569815,31.2601565735671,1.13312073452591e-07,0.999999937646802,FALSE
27.7459993999634,0.149590198533087,-0.00114678236356376,-0.328992212012862,-0.0273937889598388,-0.000217217408417612,NA,-0.0177032308130689,10,341.928666742075,-663.82312418544,32.4548180862766,6.23531983677768e-08,1,FALSE
-6.4928589695425,0.116925505333882,-0.00106269373424264,-0.464745233774553,NA,0.0120551176160405,-7.05950869729952e-05,NA,9,281.150839372582,-544.273693670537,152.00424860118,6.83958484903542e-34,1,FALSE
-5.96751810269755,0.11694842900999,-0.00106274229076155,-0.843657872909265,0.0671965211242028,0.0122343610296137,-7.17007763459224e-05,NA,10,281.333604504682,-542.632999710654,153.644942561063,3.01132462065962e-34,1,TRUE
-5.95963703027884,0.11677084806012,-0.00106129501137656,-0.47319494625797,NA,NA,NA,NA,7,264.506132109782,-514.994856697027,181.283085574689,3.00062051741048e-40,1,FALSE
-5.90965617449138,0.116746917684845,-0.00106098268645815,-0.484431565501944,NA,-0.000209482081740642,NA,NA,8,264.885211420613,-513.748038261714,182.529904010003,1.60867343952988e-40,1,FALSE
-6.23203689110595,0.116760187948731,-0.00106127329826023,-0.2791699930251,-0.0344430618795532,NA,NA,NA,8,264.555316921043,-513.088249262575,183.189693009142,1.15663553412974e-40,1,FALSE
-6.11879391312138,0.116739250464864,-0.00106097319490453,-0.336049892380942,-0.0262926390602944,-0.000204453639095988,NA,NA,9,264.913659520651,-511.799333966675,184.478608305042,6.07172551622992e-41,1,FALSE
24.2692110486821,0.0687563179253913,NA,-0.469829089283253,NA,0.0117827754725226,-6.92432540529128e-05,-0.0155838346524315,9,254.645241412363,-491.2624977501,205.015444521617,2.10763211705494e-45,1,FALSE
24.8182690562035,0.0687634714647611,NA,-0.866023156559565,0.0702615759879791,0.0119700150029746,-7.03981885766389e-05,-0.0155834641053292,10,254.848050122946,-489.661890947183,206.616051324534,9.46732872183327e-46,1,TRUE
24.7371357944982,0.0686570650067425,NA,-0.475971319340624,NA,NA,NA,-0.0155602481966593,7,238.241772067075,-462.466136611613,233.811805660104,1.17691320929656e-51,1,FALSE
24.8224944333006,0.068667996259387,NA,-0.489246420099342,NA,-0.000247357851358946,NA,-0.0155740130942924,8,238.77751986884,-461.532655158167,234.745287113549,7.37974771386714e-52,1,FALSE
24.4935168943535,0.0686548572570134,NA,-0.301800340794174,-0.0309186207686667,NA,NA,-0.0155608214472849,8,238.281983875546,-460.54158317158,235.736359100137,4.49606900077668e-52,1,FALSE
24.6535403721248,0.0686660833768995,NA,-0.369330464493571,-0.02124868223884,-0.000243300612803538,NA,-0.0155741123544145,9,238.796373351583,-459.564761628538,236.713180643178,2.75879140780168e-52,1,FALSE
-5.82214090815009,0.0514331029806135,NA,-0.469913133463448,NA,0.011805105116759,-6.92928458540021e-05,NA,8,215.306079602502,-414.589774625492,281.688167646225,4.72633526371362e-62,1,FALSE
-5.25536931763021,0.0514402996615945,NA,-0.878328082719889,0.0724286995652172,0.0119980062475772,-7.04827569155706e-05,NA,9,215.521096558699,-413.014208042772,283.263734228945,2.14978282445885e-62,1,TRUE
-5.30609799774771,0.0513980998330539,NA,-0.476809938625714,NA,NA,NA,NA,6,198.97592424574,-385.938794878427,310.33914739329,2.83820213583569e-68,1,FALSE
-5.25060576973472,0.0513952253553377,NA,-0.489354569176994,NA,-0.000233665425918801,NA,NA,7,199.452905310907,-384.888403099278,311.389539172439,1.67862484129616e-68,1,FALSE
-5.52980052041522,0.0513954533013595,NA,-0.31760485513316,-0.0282618605242364,NA,NA,NA,7,199.009453329225,-384.001499135913,312.276443135803,1.0773700470034e-68,1,FALSE
-5.40281741087337,0.0513934799461137,NA,-0.381449388641752,-0.0191203762199966,-0.000230014101711596,NA,NA,8,199.468138259712,-382.913891939912,313.364050331805,6.25452013960737e-69,1,FALSE
24.6235970886668,0.149486448041613,-0.00114985117316679,NA,NA,0.0206007420455864,-0.000105351127439946,-0.0172002107348293,9,174.42727134798,-330.826557621334,365.451384650383,3.05895479798973e-80,1,FALSE
25.4403134024138,0.149198263501206,-0.00114704213670065,NA,NA,0.00246038062837774,NA,-0.0172220160939216,8,139.860799315589,-263.699214051667,432.57872822005,8.11064907155534e-95,1,FALSE
-8.25094365952213,0.116045859992992,-0.00106201842968869,NA,NA,0.0206865929571998,-0.000105754964036262,NA,8,97.8996830093165,-179.776981439121,516.500960832596,4.84813098145488e-113,1,FALSE
-32.7058953229103,NA,NA,-0.477846671675648,NA,0.011744284229952,-6.89704949497037e-05,0.0145136901943856,8,89.6116990813243,-163.201013583137,533.07692868858,1.21940692929343e-116,1,FALSE
-32.1804290016516,NA,NA,-0.861868912678891,0.0681030071198614,0.0119257650966616,-7.00898770939345e-05,0.0145175690360361,9,89.7969770099153,-161.565968945204,534.711973326513,5.38397738026966e-117,1,TRUE
-32.1493955942488,NA,NA,-0.484393043587506,NA,NA,NA,0.0144907102163262,6,73.8184393731499,-135.623825133246,560.654117138471,1.25267460573569e-122,1,FALSE
-32.0753751277758,NA,NA,-0.497198090280227,NA,-0.000238565024015685,NA,0.0144818359957768,7,74.3030465779848,-134.588685633433,561.689256638284,7.46552900457431e-123,1,FALSE
-32.4017590133005,NA,NA,-0.302266579917271,-0.0323308433614387,NA,NA,0.0144888663705072,7,73.8612015577128,-133.704995592889,562.572946678828,4.7992097687649e-123,1,FALSE
-32.2564765163291,NA,NA,-0.367248491999616,-0.0230265969954316,-0.000234169793082992,NA,0.0144806862583595,8,74.3245763981686,-132.626768216825,563.651174054891,2.79921098058351e-123,1,FALSE
25.5339424747337,0.14872254797761,-0.00114213748998106,NA,NA,NA,NA,-0.0171574315903183,7,71.4280305038083,-128.83865348508,567.439288786637,4.21169555783361e-124,1,FALSE
-7.470262845528,0.115628199745307,-0.00105900405082147,NA,NA,0.00247684561537665,NA,NA,7,63.2388076097923,-112.460207697048,583.817734574669,1.16929113410264e-127,1,FALSE
21.4288343932631,0.0681140768273168,NA,NA,NA,0.0204943211972116,-0.000104681829049824,-0.0150451943707259,8,64.0421482379679,-112.061911896424,584.216030375293,9.58150702960962e-128,1,FALSE
-4.22441834228403,NA,NA,-0.478512330893128,NA,0.0117731353839782,-6.91496977264964e-05,NA,7,47.3611763570079,-80.7049451914793,615.572997080237,1.48715083049758e-134,1,FALSE
-3.69917373901114,NA,NA,-0.856787446995218,0.0670836092046812,0.0119516005015702,-7.02505977714201e-05,NA,8,47.5434030833276,-79.0644215871433,617.213520684573,6.54816845863453e-135,1,TRUE
-3.71077516515373,NA,NA,-0.48504146524024,NA,NA,NA,NA,5,31.2678736654416,-52.5264247702865,643.75151750143,1.13101158751273e-140,1,FALSE
-3.6535510332238,NA,NA,-0.497985628348474,NA,-0.000241005977908632,NA,NA,6,31.7690015708358,-51.524949528618,644.752992743099,6.85487388010306e-141,1,FALSE
-3.97541630983906,NA,NA,-0.296807342603266,-0.0334149611748743,NA,NA,NA,6,31.314180383848,-50.6153071546424,645.662635117074,4.34983854196799e-141,1,FALSE
-3.84492335533994,NA,NA,-0.362394476424071,-0.0240261512898724,-0.000236419332978075,NA,NA,7,31.7927640376583,-49.5681205527802,646.709821718936,2.57679254702101e-141,1,FALSE
22.1132520813239,0.0679409438025436,NA,NA,NA,0.0024701451211487,NA,-0.0150014545373546,7,29.4266605522425,-44.8359135819486,651.442028689768,2.41820863906385e-142,1,FALSE
