"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
10.9262985863306,0.510371566927902,-0.00966158950012054,-3.05206954615434,0.562972954548022,0.0370477565567812,-0.00018636823935647,-0.00972144435836362,11,-1319.5577096729,2661.18321595598,0,0.70046996810542,0.70046996810542,TRUE
6.51616236610206,0.510030948269433,-0.00965392308665721,0.0917798218793705,NA,0.0360182518711346,-0.000179749320385608,-0.00968587677100258,10,-1321.94556041278,2663.94760349565,2.7643875396775,0.175837051588894,0.876307019694314,FALSE
6.78308716018778,0.509578388900287,-0.00964015804560834,NA,NA,0.0346606597077875,-0.000175118895685055,-0.00964866189233248,9,-1323.73209401084,2665.51038925371,4.32717329773777,0.0804925669314123,0.956799586625727,FALSE
-7.99886467766316,0.46422455619372,-0.00877783628858664,-3.06176456051143,0.564789834857394,0.0371785516153499,-0.000187013447758623,NA,10,-1323.66372336193,2667.38392939394,6.20071343796963,0.0315443588848883,0.988343945510615,TRUE
-12.3538841317141,0.464065944177164,-0.00877322798971448,0.0922484327292265,NA,0.0361450314897826,-0.000180368833334106,NA,9,-1326.0409659706,2670.12813317324,8.94491721726126,0.00799881082810334,0.996342756338718,FALSE
-12.0133057132787,0.463842116484329,-0.00876380582414988,NA,NA,0.034782659744979,-0.0001757275096993,NA,8,-1327.8281739545,2671.69329941016,10.5100834541868,0.00365724366127793,0.999999999999996,FALSE
7.64196929364085,0.507291501900278,-0.00958188091273526,NA,NA,0.00425755978371368,NA,-0.00941966766528116,8,-1356.1218468665,2728.28064523416,67.0974292781816,1.88524534628785e-15,0.999999999999998,FALSE
7.50243735477955,0.507427548770525,-0.0095867723701662,0.0464377453854845,NA,0.00453773247165616,NA,-0.00942714159602781,9,-1355.66739918921,2729.38099961046,68.197783654487,1.0874992360084e-15,0.999999999999999,FALSE
9.56552116471542,0.507551151817089,-0.00958937354449746,-1.41123296701889,0.260887532564067,0.00447759075389304,NA,-0.00944052709822606,10,-1355.15539204485,2730.36726675979,69.1840508038099,6.64146319424809e-16,1,TRUE
-10.7050890244791,0.462780130900408,-0.00872878803863645,NA,NA,0.00427281703703394,NA,NA,7,-1360.10539262739,2734.2395179382,73.0563019822262,9.58109420956646e-17,1,FALSE
-10.860716831159,0.462859011142136,-0.00873259522911653,0.0469613187453634,NA,0.00455614601587162,NA,NA,8,-1359.64503998093,2735.32703146301,74.1438155070341,5.56242987779606e-17,1,FALSE
-8.82018247498817,0.462915264730028,-0.00873409487432933,-1.41319654852928,0.261331715998021,0.00449587607368223,NA,NA,9,-1359.13660877231,2736.31941877665,75.136202820679,3.38665051524918e-17,1,TRUE
12.676230026526,0.505880052046606,-0.0095481773184421,-3.4261544328538,0.569658804178489,NA,NA,-0.00918745863015702,9,-1399.84126354594,2817.72872832391,156.545512367932,7.11153621604514e-35,1,TRUE
8.20315025325799,0.505615687422367,-0.00954231276201545,-0.251893056450849,NA,NA,NA,-0.00915641429007884,8,-1402.2539671613,2820.54488582375,159.361669867775,1.7395727458223e-35,1,FALSE
-5.20184844054206,0.462571335319327,-0.0087165322714369,-3.43746680836237,0.57160360635565,NA,NA,NA,8,-1403.74252715989,2823.52200582094,162.338789864969,3.92617091521633e-36,1,TRUE
-9.62967029900404,0.462465395387965,-0.00871329363927769,-0.252354603591408,NA,NA,NA,NA,7,-1406.14718717603,2826.32310703549,165.139891079515,9.67648886386791e-37,1,FALSE
7.2144724111146,0.505358194892745,-0.00955184362660426,NA,NA,NA,NA,-0.00900935584147089,7,-1423.67805902449,2861.38485073242,200.201634776441,2.35590022909515e-44,1,FALSE
-10.3323558889266,0.462797346910326,-0.00873280472190617,NA,NA,NA,NA,NA,6,-1427.43886673562,2866.89927745687,205.716061500894,1.49525184085522e-45,1,FALSE
-28.3920851409331,0.217592081239328,NA,-3.18021488132226,0.586418002489821,0.0370072803334276,-0.000185676599495804,0.0108996640494253,10,-1456.80339597864,2933.66327462737,272.4800586714,4.75440928375915e-60,1,TRUE
-7.1480183421127,0.249331599701094,NA,-3.16604415566287,0.58384853496726,0.0368291826998717,-0.00018480383334893,NA,9,-1458.6874343168,2935.42106986564,274.237853909665,1.97422287242584e-60,1,TRUE
-32.9138859503693,0.217495429012224,NA,0.0945268719236303,NA,0.0359374157601016,-0.000178799577278958,0.0108996987319761,9,-1459.35318582296,2936.75257287796,275.569356921981,1.01452785059955e-60,1,FALSE
-32.5753941787377,0.217567671778427,NA,NA,NA,0.0345259469310315,-0.000173957248963273,0.0109050289353118,8,-1461.2115550903,2938.46006168175,277.276845725776,4.32003724411247e-61,1,FALSE
-11.6497661453651,0.249212341973942,NA,0.09434154734655,NA,0.0357645134138809,-0.000177960289754772,NA,8,-1461.24313213779,2938.52321577674,277.339999820766,4.18575450676302e-61,1,FALSE
-11.3012607838802,0.249299771027347,NA,NA,NA,0.0343539732938147,-0.000173117250217168,NA,7,-1463.11378030641,2940.25629329626,279.07307734028,1.75970858086998e-61,1,FALSE
-31.4206369236121,0.217561141669179,NA,NA,NA,0.00432588569114305,NA,0.0109750450705456,7,-1492.66350893324,2999.35575054991,338.172534593931,2.58319188340288e-74,1,FALSE
-31.5885622014979,0.217504085685704,NA,0.0487971100394005,NA,0.00462056947808718,NA,0.0109783639195202,8,-1492.17061272357,3000.3781769483,339.19496099232,1.54931453741593e-74,1,FALSE
