"(Intercept)","CO2","I(CO2^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-14.0738704936571,0.0786827150709242,-0.000112271456922685,0.00407450200107185,-4.62783488198645e-06,NA,NA,8,-854.991847327989,1726.05940443516,0,0.37253298326848,0.37253298326848,FALSE
-13.6666836332492,0.0780488048739079,-0.000111487834399195,0.00174868478597947,NA,NA,NA,7,-856.505304546657,1727.06946353367,1.01005909851187,0.224819089098041,0.597352072366521,FALSE
-14.2153590899409,0.0783953932592604,-0.000112033039116834,0.00397898326208606,-4.49998003049131e-06,0.0101717396890414,NA,9,-854.786643820235,1727.66797464731,1.60857021214883,0.166674110792635,0.764026183159156,FALSE
-13.8494612763596,0.0777249268091263,-0.000111227130793527,0.001711310398905,NA,0.0121803661876896,NA,8,-856.209852784468,1728.49541534812,2.4360109129575,0.110202559577826,0.874228742736983,FALSE
-18.4128180181951,0.077638178295901,-0.000110957558007286,0.00403845993675585,-4.58565214536393e-06,0.394656255801079,-0.00854636070679669,10,-854.548785382934,1729.21336023955,3.15395580439258,0.0769647617420151,0.951193504478998,FALSE
-17.5540468326369,0.0770442040595313,-0.000110262755157771,0.00172574131718855,NA,0.352116263061609,-0.00755538584671413,9,-856.023865061806,1730.14241713045,4.08301269529125,0.0483670710484766,0.999560575527474,FALSE
-0.352678172696447,NA,NA,0.00385682724023566,-4.23703297000904e-06,NA,NA,6,-865.559277377899,1743.16267240286,17.103267967698,7.19842161410083e-05,0.999632559743615,FALSE
-0.0934954633829847,NA,NA,0.00172661095858361,NA,NA,NA,5,-866.837679898657,1743.70685586031,17.6474514251481,5.48364514897488e-05,0.999687396195105,FALSE
-0.63512132542231,NA,NA,0.00375457008881839,-4.12053087491302e-06,0.0134638540507704,NA,7,-865.166410488055,1744.39167541647,18.3322709813081,3.89370160631219e-05,0.999726333211168,FALSE
-0.519830238450527,0.000465541170150595,NA,0.00393696587236421,-4.40639343578349e-06,NA,NA,7,-865.263636303976,1744.58612704831,18.5267226131516,3.53295439146245e-05,0.999761662755083,FALSE
-0.408295249090849,NA,NA,0.00167925772145632,NA,0.0146353517819626,NA,6,-866.372639064847,1744.78939577675,18.7299913415943,3.19152894404846e-05,0.999793578044523,FALSE
-0.421763440753524,NA,5.33792991920321e-07,0.00392020402365927,-4.37127516207039e-06,NA,NA,7,-865.370477007978,1744.79980845631,18.7404040211557,3.17495593972735e-05,0.999825327603921,FALSE
-0.222231210234259,0.000382199669742525,NA,0.00172254507920116,NA,NA,NA,6,-866.63682893228,1745.31777551162,19.25837107646,2.45054445731915e-05,0.999849833048494,FALSE
-6.73316729351743,NA,NA,0.00384118382367787,-4.24646725676456e-06,0.554981752018496,-0.01203798401547,8,-864.692637909158,1745.4609855975,19.4015811623376,2.2812081304529e-05,0.999872645129798,FALSE
-0.140964243163116,NA,4.16166440226963e-07,0.00172343720496285,NA,NA,NA,6,-866.722012798885,1745.48814324483,19.4287388096698,2.25044136846303e-05,0.999895149543483,FALSE
-6.01403953870259,NA,NA,0.00170064236716676,NA,0.513039214080026,-0.0110789321089787,7,-865.971045171971,1746.0009447843,19.941540349141,1.74146304607654e-05,0.999912564173944,FALSE
-0.702723149999249,0.00033494650139381,NA,0.00383160481039918,-4.26458547238575e-06,0.0109514537735844,NA,8,-865.026703119306,1746.12911601779,20.0697115826333,1.63336119466035e-05,0.99992889778589,FALSE
-0.641800889605149,NA,3.33734116040801e-07,0.00380763974272414,-4.21987381100956e-06,0.0117217505691056,NA,8,-865.099000402589,1746.27371058436,20.2143061491988,1.51944128400895e-05,0.99994409219873,FALSE
-0.449368794143509,0.000231197096086469,NA,0.00168238961893454,NA,0.0129238263103681,NA,7,-866.305338857787,1746.66953215593,20.6101277207733,1.24661503383195e-05,0.999956558349069,FALSE
-0.408912591292765,NA,1.87537805825815e-07,0.00168098437496516,NA,0.0136691949149347,NA,7,-866.35111885017,1746.7610921407,20.7016877055382,1.19083163121939e-05,0.999968466665381,FALSE
-6.74204767144739,0.000323956785875755,NA,0.00391501278435319,-4.38485190379536e-06,0.547536530589018,-0.011926581088112,9,-864.561781670692,1747.21825034822,21.1588459130633,9.47501090638399e-06,0.999977941676287,FALSE
-6.70536235190742,NA,3.19897230197257e-07,0.00389164805547086,-4.3411314758283e-06,0.550275758385197,-0.0119705479489975,9,-864.630617807522,1747.35592262188,21.2965181867237,8.84472967966229e-06,0.999986786405967,FALSE
-6.00363414347411,0.000218380991596178,NA,0.00170342151641937,NA,0.507050067140006,-0.0109817868559251,8,-865.910949233882,1747.89760824694,21.8382038117852,6.74619709426438e-06,0.999993532603061,FALSE
-5.99031829817939,NA,1.70912545439898e-07,0.00170212743207978,NA,0.510000714686377,-0.0110309887546165,8,-865.953154486863,1747.98201875291,21.9226143177475,6.46739693873297e-06,1,FALSE
-12.8499330700572,0.0696774501899681,-0.000100047639217336,NA,NA,0.0497605540504433,NA,7,-897.547151547838,1809.15315753603,83.0937531008738,3.36965551157519e-19,1,FALSE
-9.37871800454044,0.0703755115599761,-0.000101034924628236,NA,NA,-0.269742516478352,0.00709544226293995,8,-897.390460416409,1810.856630612,84.7972261768391,1.43774221814214e-19,1,TRUE
-11.9799118979842,0.0704788853494308,-0.000100340363545131,NA,NA,NA,NA,6,-902.495789357393,1817.03569636184,90.9762919266857,6.54506473544242e-21,1,FALSE
-0.808626606019402,NA,NA,NA,NA,0.0502876385512732,NA,5,-906.153317358509,1822.33813078001,96.2787263448522,4.61854247652648e-22,1,FALSE
0.863575934717491,NA,NA,NA,NA,-0.098414365332941,0.00330307863170561,6,-906.119211971644,1824.28254159035,98.2231371551886,1.74695412041241e-22,1,TRUE
-0.809835124667541,NA,-1.5968960073379e-07,NA,NA,0.0511725846826033,NA,6,-906.13688553521,1824.31788871748,98.2584842823205,1.71635045026956e-22,1,FALSE
-0.8053185380626,-2.04303745366518e-05,NA,NA,NA,0.0504503849841731,NA,6,-906.152763767575,1824.34964518221,98.2902407470508,1.68931306003181e-22,1,FALSE
