"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
32.8194287930681,0.13024510474565,-0.000991906088752176,1.35969093693289,-0.31594992793506,0.0124877284174884,-7.3413474218062e-05,-0.0176568675934288,11,382.361997904758,-742.682938266748,0,0.968239194432439,0.968239194432439,FALSE
35.4853925877525,0.130289828757784,-0.000992199442332851,-0.478955695503003,NA,0.0134228893156296,-7.94438215439513e-05,-0.0176732739703279,10,377.941320385195,-735.84843147168,6.83450679506802,0.0317605756401446,0.999999770072584,FALSE
32.4180761573717,0.13008668096398,-0.000990379256940096,2.02524606031373,-0.430987306645852,NA,NA,-0.0176742717483327,9,364.681635032644,-711.335284990662,31.3476532760858,1.50982370502487e-07,0.999999921054954,FALSE
32.601806570569,0.13007313476707,-0.000990112718377504,1.9371811314604,-0.41784177877583,-0.000207736531953944,NA,-0.0176850861032404,10,365.034342644853,-710.034475990996,32.648462275752,7.87878327744777e-08,0.999999999842787,FALSE
36.2006559722623,0.130120718742963,-0.000990356968946047,-0.496143428210049,NA,-0.000354013694217537,NA,-0.0177113393283058,9,357.141841490404,-696.255697906181,46.4272403605671,8.0248238779889e-11,0.999999999923035,FALSE
36.0777616958552,0.130146413124286,-0.000990830884914384,-0.476082201323207,NA,NA,NA,-0.0176939188752608,8,356.097264443175,-696.172144306838,46.5107939599098,7.69647877591333e-11,1,FALSE
-0.961625843024353,0.0951024017461911,-0.00090012598406275,1.39968648342197,-0.322851704979652,0.0125378101721373,-7.35975292119521e-05,NA,10,302.874263674377,-585.714318050045,156.968620216703,7.95572683467254e-35,1,FALSE
1.7298342283651,0.0951450842658313,-0.000900420914805032,-0.479128676356634,NA,0.0134916771108061,-7.97496899995237e-05,NA,9,298.283888254184,-578.539791433741,164.143146833007,2.20166482042046e-36,1,FALSE
29.4164314868955,0.0594002587834786,NA,1.34910284904492,-0.315187018382795,0.0122620348889112,-7.22739258482317e-05,-0.0154402746032345,10,292.565895212785,-565.097581126861,177.585357139887,2.65345864020393e-39,1,FALSE
32.0628915396348,0.0594293039593359,NA,-0.485129749386592,NA,0.0131889561781366,-7.8255669027479e-05,-0.0154496541722008,9,288.101548882481,-558.175112690336,184.507825576412,8.3294706272247e-41,1,FALSE
-1.38110195239893,0.0948939979993786,-0.000898499130162084,2.05828256612449,-0.436880209094577,NA,NA,NA,8,285.267360763664,-554.512336947817,188.170601318931,1.33430696904089e-41,1,FALSE
-1.23229155003604,0.0948657537304183,-0.000898204340771211,1.97786003843767,-0.424876544593894,-0.000189680842832028,NA,NA,9,285.559680169274,-553.09137526392,189.591563002827,6.55688920410082e-42,1,FALSE
2.2893795855435,0.0949613497251134,-0.000898991006276842,-0.477249264550777,NA,NA,NA,NA,7,276.494517159568,-538.9716267966,203.711311470148,5.63162103692697e-45,1,FALSE
2.37497725173215,0.0949066256968018,-0.000898433252378475,-0.496441719310862,NA,-0.000338442976893544,NA,NA,8,277.443724830897,-538.865065082282,203.817873184466,5.33941700519669e-45,1,FALSE
28.9379370397085,0.0593132579529265,NA,2.01451770979555,-0.429905182587485,NA,NA,-0.0154249105143285,8,275.074925875375,-534.127467171238,208.55547109551,4.99732420121193e-46,1,FALSE
29.1521255453845,0.0593240038679665,NA,1.91405943380718,-0.414915424520267,-0.00023718625995797,NA,-0.0154397623586795,9,275.540606027418,-533.053226980209,209.629711286538,2.92058083885008e-46,1,FALSE
32.7011445959922,0.0593561306514509,NA,-0.502267363465943,NA,-0.000382606680843571,NA,-0.0154529601324549,8,267.645658058995,-519.268931538478,223.41400672827,2.96652155262874e-49,1,FALSE
32.5594417728067,0.0593405036791446,NA,-0.480553135427267,NA,NA,NA,-0.0154293111007316,7,266.409775452059,-518.802143381581,223.880794885166,2.34901477033423e-49,1,FALSE
-0.428377759239804,0.0427816020842058,NA,1.35782077719778,-0.316574418922637,0.0122901667374638,-7.23311332142659e-05,NA,9,246.766986425486,-475.505987776345,267.176950490403,9.31633322885804e-59,1,FALSE
2.21133502948411,0.0428107729674009,NA,-0.484483891945314,NA,0.0132203284629807,-7.83342292437309e-05,NA,8,242.265037733985,-468.507690888458,274.175247378289,2.81568555950704e-60,1,FALSE
-0.862994774478728,0.0427417675470848,NA,2.01529432331845,-0.430106327255293,NA,NA,NA,7,229.325566727563,-444.633725932589,298.049212334159,1.84254682203588e-65,1,FALSE
-0.691768684975963,0.0427386210411395,NA,1.92253799507901,-0.416266944057916,-0.000219008789132674,NA,NA,8,229.722398693099,-443.422412806685,299.260525460063,1.0055073037848e-65,1,FALSE
2.84282818564109,0.04277369074673,NA,-0.501658135404111,NA,-0.000364875583771654,NA,NA,7,221.778058250151,-429.538708977765,313.144229288982,9.71800792571705e-69,1,FALSE
2.75131404649058,0.0427810002893492,NA,-0.48093961045002,NA,NA,NA,NA,6,220.654636598701,-429.296219584349,313.386718682398,8.60837834219573e-69,1,FALSE
32.6140579767756,0.130223871260974,-0.000995668239125622,NA,NA,0.0206664671998318,-0.000105718769845887,-0.0171299043593646,9,193.75678586572,-369.485586656814,373.197351609934,8.85538457007508e-82,1,FALSE
33.4431948929874,0.129968992698734,-0.000993187480202375,NA,NA,0.00246257131066825,NA,-0.0171570246854399,8,159.034130316839,-302.045876054166,440.637062212582,2.00844682722588e-96,1,FALSE
-19.2974332327011,NA,NA,1.40795726510865,-0.326489493631361,0.0122213074398198,-7.19795195476623e-05,0.010260514151043,9,148.310538448895,-278.593091823164,464.089846443584,1.62238136789461e-101,1,FALSE
-16.5771461614536,NA,NA,-0.492051660056286,NA,0.0131821715459771,-7.81797642852601e-05,0.0102619659732677,8,143.659137379127,-271.295890178742,471.387048088006,4.22265642177994e-103,1,FALSE
-19.6815667284546,NA,NA,2.06743570125799,-0.440272211159014,NA,NA,0.0102305812293224,7,131.496842870351,-248.976278218165,493.706660048583,6.01095656746316e-108,1,FALSE
-19.4843890274194,NA,NA,1.97131051401503,-0.425928935730044,-0.000226992211677143,NA,0.0102204871499034,8,131.911129112319,-247.799873645126,494.883064621622,3.33803266837389e-108,1,FALSE
-15.8619429368698,NA,NA,-0.509156534007164,NA,-0.000376259114028811,NA,0.0102180062237538,7,123.83194022502,-233.646472927503,509.036465339244,2.81915313235497e-111,1,FALSE
-15.9894205266434,NA,NA,-0.487806906884984,NA,NA,NA,0.0102349854861788,6,122.671028248791,-233.329002884529,509.353935382219,2.4053646427834e-111,1,FALSE
-0.080629396428802,0.095251498364855,-0.000903565155386916,NA,NA,0.0207669177225914,-0.00010621254930096,NA,8,115.40940388005,-214.796423180589,527.886515086159,2.27448130974642e-115,1,FALSE
0.883307364209996,NA,NA,1.39883086582197,-0.325337540277685,0.0121853503347236,-7.18288409769313e-05,NA,8,112.740324971044,-209.458265362576,533.224672904171,1.57658042668965e-116,1,FALSE
3.59730648987972,NA,NA,-0.494489291716862,NA,0.0131403664510956,-7.79933241733218e-05,NA,7,108.073268995679,-202.129130468821,540.553807797927,4.03844999515761e-118,1,FALSE
0.436445265072567,NA,NA,2.05979256816172,-0.439290195631429,NA,NA,NA,6,95.7901397846326,-179.567225956212,563.115712310536,5.09283251717416e-123,1,FALSE
0.621992124819939,NA,NA,1.95927216086976,-0.424293950652747,-0.000237452445815192,NA,NA,7,96.2477950154789,-178.478182508421,564.204755758326,2.95444979389033e-123,1,FALSE
29.1033911449704,0.0589005680879586,NA,NA,NA,0.0205468768171267,-0.000104973661780701,-0.0148676825554174,8,96.4801678952135,-176.937951210915,565.744987055833,1.36779067180779e-123,1,FALSE
33.516796173716,0.129543028209271,-0.000988874338952791,NA,NA,NA,NA,-0.017082583824817,7,90.6612031155892,-167.304998708642,575.377939558106,1.10726246863288e-125,1,FALSE
4.22628849051861,NA,NA,-0.511703425101436,NA,-0.000386264363722912,NA,NA,6,88.1494203700349,-164.285787127016,578.397151139731,2.44701772216738e-126,1,FALSE
4.12954694564771,NA,NA,-0.489767582770864,NA,NA,NA,NA,5,86.9144406967207,-163.819558832845,578.863379433903,1.93819258143004e-126,1,FALSE
0.702125909893936,0.0948826726120724,-0.000900833287577413,NA,NA,0.0024781105209476,NA,NA,7,80.5919155334814,-147.166423544426,595.516514722322,4.69045037917011e-130,1,FALSE
30.097459040933,0.0587962390732021,NA,NA,NA,0.00247230395273691,NA,-0.014980633591396,7,61.7327414127576,-109.448075302979,633.234862963769,3.02537554459279e-138,1,FALSE
0.373646397598282,0.043084998045007,NA,NA,NA,0.0205807698095474,-0.0001050914053744,NA,7,51.4854553144141,-88.9535031062917,653.729435160456,1.07260417973305e-142,1,FALSE
1.14280625130492,0.0430420181149614,NA,NA,NA,0.00248602706012166,NA,NA,6,16.6040151037996,-21.1949765945456,721.487961672202,2.07425622453927e-157,1,FALSE
0.929306722385643,0.0942280941275305,-0.000895442302113147,NA,NA,NA,NA,NA,6,11.8510914579892,-11.6891293029249,730.993808963823,1.78934419926623e-159,1,FALSE
30.3709483323213,0.058681968721781,NA,NA,NA,NA,NA,-0.0150084944054206,6,-8.32350649285218,28.660066598758,771.343004865506,3.09725758421243e-168,1,FALSE
-19.1100990841472,NA,NA,NA,NA,0.0206383107804672,-0.000105244374628822,0.0106066075779853,7,-47.7825114895204,109.582430501577,852.265368768325,8.29677422929005e-186,1,FALSE
1.3576894393619,0.0430626245714901,NA,NA,NA,NA,NA,NA,5,-54.3272830925234,118.663888745644,861.346827012391,8.8490300676788e-188,1,FALSE
-18.2489007874385,NA,NA,NA,NA,0.00251681653736717,NA,0.0105595804051759,6,-81.7242604754501,175.461574563954,918.144512830702,4.10615087494093e-200,1,FALSE
1.73169213803509,NA,NA,NA,NA,0.0206442710670372,-0.00010524241806878,NA,6,-87.3310892430673,186.675232099188,929.358170365936,1.50806516465121e-202,1,FALSE
2.50196772708759,NA,NA,NA,NA,0.00252378380767863,NA,NA,5,-121.666601486249,253.342525533095,996.025463799843,5.03270271675954e-217,1,FALSE
-17.9947854486088,NA,NA,NA,NA,NA,NA,0.0105416207984106,5,-152.196503930008,314.402330420614,1057.08526868736,2.77225460070488e-230,1,FALSE
2.72210402471368,NA,NA,NA,NA,NA,NA,NA,4,-193.407092844671,394.820399764221,1137.50333803097,9.55589198944269e-248,1,FALSE
