"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-4.00464534758799,0.00930071187414642,0.099526342069264,-0.00342461155355017,-0.264293545309722,NA,0.179109710881486,-0.00190097959938033,10,-859.297106384124,1738.74968980005,0,0.689157205937809,0.689157205937809
-8.0738712604342,0.00926216393973959,0.0995518185408866,-0.00342018410298001,1.12951597537507,-0.118255114007156,0.177375556367597,-0.00187047037210741,11,-859.078014188265,1740.34273276125,1.59304296120399,0.310737321460391,0.9998945273982
-5.63281512523962,0.00915077093049885,0.101028425091428,-0.00341862529310092,NA,NA,0.17995974315083,-0.00184186384385091,9,-869.605143468666,1757.3374055814,18.5877157813495,6.33938465183277e-05,0.999957921244718
-1.50712477206887,NA,0.0873301643225478,-0.0020126121288608,-0.273420836585541,NA,0.179290584881743,-0.00190578057508241,9,-870.412683797985,1758.95248624004,20.2027964399879,2.82707151732588e-05,0.999986191959891
-6.14803487509316,NA,0.0874186318958335,-0.00201458459820336,1.31214951195864,-0.134516265644267,0.177324847886774,-0.0018710988611048,10,-870.126318154537,1760.40811334088,21.6584235408254,1.36537323832417e-05,0.999999845692275
-1.09889900217458,0.00141491435361865,NA,NA,-0.281242662121473,NA,0.180325710345212,-0.00192458128994873,8,-878.041113729796,1772.18385060709,33.4341608070354,3.78601673044757e-08,0.999999883552442
-0.609539403172058,NA,NA,NA,-0.284414660579651,NA,0.179956825455963,-0.0019197657625217,7,-879.359351898503,1772.7976882822,34.0479984821452,2.7854115444362e-08,0.999999911406557
-1.28770802001399,0.00271724888405957,-0.00941594226599959,NA,-0.282769261434193,NA,0.180300104270653,-0.00192467466329267,9,-877.363460270481,1772.85403918503,34.1043493849786,2.7080266137745e-08,0.999999938486823
-5.37540960771054,0.00140842662594869,NA,NA,1.18085664550556,-0.124044934425212,0.178517659534829,-0.0018926673695376,9,-877.796198493241,1773.71951563055,34.9698258305,1.75677889699186e-08,0.999999956054612
-4.98170711695437,NA,NA,NA,1.2096188126525,-0.126752776333582,0.178110558887245,-0.00188716808004446,8,-879.103874950001,1774.3093730475,35.5596832474466,1.30807063203228e-08,0.999999969135319
-5.45607574192022,0.00269805439944266,-0.0093227233593562,NA,1.14302523333614,-0.120964554477482,0.178536845987448,-0.00189355451407357,10,-877.130987052334,1774.41745113647,35.6677613364191,1.23925972715552e-08,0.999999981527916
-0.686718015561568,NA,0.00275179938149169,NA,-0.282980711085187,NA,0.180058503605451,-0.00192091753684469,8,-879.203140920867,1774.50790498923,35.7582151891784,1.18446036269636e-08,0.99999999337252
-5.06533575813383,NA,0.002758062530164,NA,1.21319642057589,-0.126934192839848,0.178210037811634,-0.00188827794568945,9,-878.946758142768,1776.0206349296,37.2709451295534,5.55949570462757e-09,0.999999998932015
-3.22652862177742,NA,0.0886732297230796,-0.00202325933116054,NA,NA,0.180099615882868,-0.00184284513265191,8,-881.610724619909,1779.32307238731,40.5733825872621,1.06640019707678e-09,0.999999999998415
-2.86944149977955,0.00149725698998719,NA,NA,NA,NA,0.18128338979685,-0.00186196021396339,7,-890.028314573984,1794.13561363316,55.3859238331072,6.47765410342068e-13,0.999999999999063
-3.04558993340352,0.00264689928804528,-0.00826703097776391,NA,NA,NA,0.181281832042951,-0.00186208076436427,8,-889.470695443723,1795.04301403494,56.29332423489,4.11507978536149e-13,0.999999999999475
-2.37217309434172,NA,NA,NA,NA,NA,0.180877273630502,-0.00185561099525629,6,-891.651246188022,1795.36168899338,56.6119991933288,3.5089636716157e-13,0.999999999999826
-2.46455658293467,NA,0.00371895388397891,NA,NA,NA,0.181011131567036,-0.00185763886820382,7,-891.341034794845,1796.76105407488,58.0113642748304,1.7430530513518e-13,1
-38.6837411893837,0.00882187142543396,0.102054518101595,-0.00347201816055036,12.1638278780095,-1.04575331005623,0.0506039969675229,NA,10,-953.302985462113,1926.76144795603,188.011758155978,1.02821456507057e-41,1
-37.0442635639535,NA,0.0897136428378144,-0.0021071665812903,12.4002547652907,-1.06633049062838,0.0506866357290633,NA,9,-965.090639375432,1948.30839739493,209.558707594881,2.15388806582713e-46,1
-2.4685819406771,0.00905570250092776,0.102097471768256,-0.00350949714259278,-0.144479097811885,NA,0.0473136800453697,NA,9,-969.16882732401,1956.46477329209,217.715083492038,3.64828374100436e-48,1
-3.38043732668839,0.00889868237455861,0.102806481224123,-0.00348922200569263,NA,NA,0.0500634434716108,NA,8,-971.657018045446,1959.41565923839,220.665969438336,8.34280064633782e-49,1
-36.1725537028608,NA,NA,NA,12.4074333322386,-1.06811113973041,0.0502195155129877,NA,7,-976.802870337505,1967.6847251602,228.935035360151,1.33569412560268e-50,1
-36.4929613681215,0.000916496273326874,NA,NA,12.4106362775412,-1.06809771839699,0.0502407972763118,NA,8,-976.136431968098,1968.37448708369,229.624797283641,9.46078378575567e-51,1
