"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_clim","chg_rad_inc_1SD_clim","variable","month"
"CedarBreaks_PSME",-0.512708434780782,TRUE,FALSE,-0.752648479413348,-0.0912426024343918,-0.00553164291725817,-0.092635650295712,"pre","prev.apr"
"CedarBreaks_PSME",-0.0823377881210799,FALSE,FALSE,-0.494660621694872,0.405144715251457,-0.0008506577065928,-0.0125270537264139,"pre","prev.may"
"CedarBreaks_PSME",0.273378780047201,FALSE,FALSE,-0.0649431634482471,0.541482071311132,0.00281763871268556,0.0350685081678609,"pre","prev.jun"
"CedarBreaks_PSME",0.0306553301307416,FALSE,FALSE,-0.215559517688465,0.298760613326233,0.00024611021614027,0.00476785982920464,"pre","prev.jul"
"CedarBreaks_PSME",-0.115457303260131,FALSE,FALSE,-0.480261353769014,0.257093453058023,-0.000711580084453415,-0.0169197101814252,"pre","prev.aug"
"CedarBreaks_PSME",-0.202306215995418,FALSE,FALSE,-0.59286959154939,0.146917936132606,-0.00148140258183499,-0.0350731472650919,"pre","prev.sep"
"CedarBreaks_PSME",0.17370153856523,FALSE,FALSE,-0.105874491228599,0.398647713449454,0.000987867250318085,0.0293105508056717,"pre","prev.oct"
"CedarBreaks_PSME",-0.232370268245257,FALSE,FALSE,-0.550521571881843,0.16658675112983,-0.00209417635279577,-0.0342890063052945,"pre","prev.nov"
"CedarBreaks_PSME",0.0444660190530653,FALSE,FALSE,-0.434155826303635,0.513069816710819,0.000363136831180261,0.00599630447677202,"pre","prev.dec"
"CedarBreaks_PSME",0.173395928713108,FALSE,FALSE,-0.128418169142989,0.421104254732161,0.00138433696208971,0.0274676385524861,"pre","curr.jan"
"CedarBreaks_PSME",-0.0129437676010383,FALSE,FALSE,-0.375211358196529,0.308402381640121,-9.83169896984455e-05,-0.00193039628141393,"pre","curr.feb"
"CedarBreaks_PSME",0.177237648937986,FALSE,FALSE,-0.210705837863062,0.495221377102001,0.00135716122970333,0.0274451555714218,"pre","curr.mar"
"CedarBreaks_PSME",0.144663900667975,FALSE,FALSE,-0.23063233057576,0.450959650911268,0.00153444255661012,0.0257391150275415,"pre","curr.apr"
