"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-8.55499248420588,0.14268099850834,-0.00140562256803716,0.00709333438760782,-0.000104547553823833,0.0193412600705145,NA,9,-1440.02073628987,2898.1251545881,0,0.660350574008178,0.660350574008178,FALSE
-8.59360486117052,0.14269052160039,-0.00140694192982976,0.00725889625737232,-0.000106694055698933,0.00420236723275916,-0.00142279112255062,10,-1439.82414559126,2899.75061676392,1.62546217581848,0.292961083339487,0.953311657347664,FALSE
-8.63369727358905,0.14073599518145,-0.00136124691912595,0.00749148786637017,-0.000119185854554018,NA,NA,8,-1443.91135247149,2903.88961944112,5.76446485302085,0.036985962184228,0.990297619531892,FALSE
-8.13878367373018,0.0880475299778407,NA,0.00704764528413435,-0.000104329439115941,0.0187931753914961,NA,8,-1445.66234476723,2907.39160403261,9.26644944450936,0.00642082198455271,0.996718441516445,FALSE
-8.17638904774201,0.0880094730058903,NA,0.00721043692603686,-0.000106441418318906,0.00392857401705696,-0.00139682004674055,9,-1445.47281783105,2909.02931767046,10.9041630823631,0.00283116793827745,0.999549609454722,FALSE
-8.22580978674489,0.0877290409761196,NA,0.00743617987405986,-0.000118588594242378,NA,NA,7,-1449.32698410994,2912.70598865648,14.5808340683775,0.000450387854995212,0.999999997309718,FALSE
-8.44064444580253,0.14193175442252,-0.00140216938806788,0.00186449281397475,NA,0.0337057070586922,NA,8,-1460.74733373585,2937.56158196985,39.4364273817469,1.80411061057845e-09,0.999999999113828,FALSE
-8.3994889308517,0.141950363928316,-0.00140081699671346,0.00179816258751633,NA,0.0506346620317625,0.00162249483823448,9,-1460.48569494458,2939.05507189753,40.9299173094296,8.54979976162429e-10,0.999999999968808,FALSE
-8.02628172746681,0.0874819282664377,NA,0.00182979452528022,NA,0.0331793918433524,NA,7,-1466.30327849921,2946.65857743502,48.533422846916,1.90930669114388e-11,0.999999999987901,FALSE
-7.98489548259014,0.0875543425976373,NA,0.00176244577538557,NA,0.0503678242898763,0.00164727352805271,8,-1466.0333599674,2948.13363443294,50.0084798448429,9.13211006496306e-12,0.999999999997033,FALSE
-8.33432898284348,0.140066860220537,-0.00135456845519184,NA,NA,0.0612866501730884,0.00331014741473848,8,-1467.81487230464,2951.69665910742,53.571504519316,1.53769484946206e-12,0.999999999998571,FALSE
-8.41657355721091,0.139882571222609,-0.00135384043065353,NA,NA,0.0262055776637231,NA,7,-1468.93577491313,2951.92357026286,53.7984156747657,1.37276762502137e-12,0.999999999999944,FALSE
-7.93292753073707,0.0873958444112474,NA,NA,NA,0.060788561520524,0.00330124004548627,7,-1473.07448013019,2960.20098069698,62.0758261088845,2.18866952248194e-14,0.999999999999966,FALSE
-8.01513201873427,0.087237728803005,NA,NA,NA,0.0257991599978388,NA,6,-1474.19021350734,2960.41942422917,62.2942696410687,1.96221133446683e-14,0.999999999999985,FALSE
-8.56133795647757,0.137929468010521,-0.00131700875402319,0.00121649478452819,NA,NA,NA,7,-1473.56006340107,2961.17214723875,63.046992650648,1.34677192765202e-14,0.999999999999999,FALSE
-8.52601645584897,0.137150996042719,-0.0012965352982401,NA,NA,NA,NA,6,-1477.27637294155,2966.59174309759,68.4665885094932,8.96280127939422e-16,1,FALSE
-8.16557740381567,0.0865992697332252,NA,0.00119112801083741,NA,NA,NA,6,-1478.70050994308,2969.44001710064,71.31486251254,2.15749066972799e-16,1,FALSE
-8.13664232086542,0.0866033677921782,NA,NA,NA,NA,NA,5,-1482.26506178645,2974.55796580029,76.4328112121866,1.66955406289077e-17,1,FALSE
-6.50356672892532,NA,NA,0.00696430775976284,-0.000100593456625465,0.021816953736609,NA,7,-1539.8847970804,3093.82161459739,195.696460009296,2.11265316518792e-43,1,FALSE
-6.55361871687588,NA,NA,0.00717888750113135,-0.000103396570762158,0.00246429182411058,-0.00181601919216883,8,-1539.56243372717,3095.19178195248,197.066627364377,1.06487870889189e-43,1,FALSE
-6.6115316414651,NA,NA,0.00741861467440724,-0.000117250943039005,NA,NA,6,-1544.80604217695,3101.65108156838,203.525926980276,4.21386922883139e-45,1,FALSE
-6.40197493330353,NA,NA,0.00193405764007326,NA,0.0360021244844093,NA,6,-1559.1235653865,3130.28612798748,232.16097339938,2.5507020391806e-51,1,FALSE
-6.3714225503319,NA,NA,0.00188590895392487,NA,0.0482751874740558,0.00117565149950581,7,-1558.98512783488,3132.02227610635,233.897121518253,1.07068065384993e-51,1,FALSE
-6.39421045349499,NA,NA,NA,NA,0.0281566561082843,NA,5,-1567.94763989926,3145.92312202591,247.797967437808,1.02595808237598e-54,1,FALSE
-6.31846790235928,NA,NA,NA,NA,0.0592595747965476,0.0029327965684877,6,-1567.06085429846,3146.16070581141,248.035551223315,9.11043163745974e-55,1,FALSE
-6.57046618466841,NA,NA,0.00123431332404394,NA,NA,NA,5,-1573.74128947464,3157.51042117665,259.385266588552,3.1259323607839e-57,1,FALSE
-6.5397471876642,NA,NA,NA,NA,NA,NA,4,-1577.58568560587,3163.18992408744,265.064769499338,1.82680078445106e-58,1,FALSE
