"(Intercept)","dbh","I(dbh^2)","tmn","I(tmn^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.89060267051471,0.296874604033124,-0.00844665424479377,-0.0153409051394106,NA,0.0127849547932657,NA,8,-2017.71426049575,4051.45813843289,0,0.399027034503449,0.399027034503449,FALSE
-0.798954232783614,0.296884860171203,-0.00844583715444807,-0.0152741350199794,NA,-0.00641380330062381,0.000989314685899279,9,-2017.66888927278,4053.37480796338,1.91666953049298,0.153039247024209,0.552066281527658,TRUE
-0.755539574369762,0.296905159399309,-0.00844842955630655,-0.0529435517175395,0.00257472806326816,0.0129077707544403,NA,9,-2017.67610426135,4053.38923794052,1.93109950762755,0.151939044354108,0.704005325881766,TRUE
-1.00010161126323,0.296779857693458,-0.00845479706024706,NA,NA,0.0126737238518074,NA,7,-2019.89458410698,4053.81219926476,2.35406083186626,0.122977173187626,0.826982499069391,FALSE
-0.642197829735253,0.296918911231075,-0.00844774640077282,-0.0566949675105324,0.00283656204789034,-0.00794348626451827,0.00107511128608423,10,-2017.62291735227,4055.29110219426,3.83296376136605,0.0587063142715545,0.885688813340946,TRUE
-0.888840001669425,0.296790397423558,-0.00845364151044053,NA,NA,-0.0105115408130853,0.00119477038616387,8,-2019.82841943071,4055.68645630281,4.2283178699181,0.0481764462825564,0.933865259623502,TRUE
-0.770152416644277,0.296819260127664,-0.00844484442244699,-0.0151387863644231,NA,NA,NA,7,-2021.04216557144,4056.10736219368,4.64922376078994,0.0390333843855226,0.972898644009025,FALSE
-0.748198059684333,0.296824022988697,-0.00844513768484482,-0.0211980860189644,0.000414913368067711,NA,NA,8,-2021.04116852133,4058.11195448403,6.65381605114453,0.0143266457801752,0.9872252897892,TRUE
-0.879265638499415,0.296724609265233,-0.00845272034420209,NA,NA,NA,NA,6,-2023.16199606652,4058.34126186988,6.88312343699181,0.0127747102108002,1,FALSE
-0.295596894097488,0.121031336343767,NA,-0.0155269383167034,NA,0.0129916998693255,NA,7,-2086.44158812925,4186.90620730929,135.448068876406,1.54464211521406e-30,1,FALSE
-0.182806084778561,0.121056155956827,NA,-0.0154399588945755,NA,-0.0106350865024276,0.00121725681924862,8,-2086.37084277838,4188.77130299814,137.313164565247,6.07893484979418e-31,1,TRUE
-0.21909334267814,0.121027751339555,NA,-0.0368203861205303,0.00145801375633717,0.0130636973186548,NA,8,-2086.42903839471,4188.8876942308,137.42955579791,5.73526453033353e-31,1,TRUE
-0.406057136934246,0.120783055621151,NA,NA,NA,0.0128658396412744,NA,6,-2088.73133887621,4189.47994748926,138.021809056371,4.26527751102501e-31,1,FALSE
-0.0844836127938586,0.121052927735985,NA,-0.0413834757388006,0.00177668444635682,-0.0116152870140719,0.00127227700328408,9,-2086.35235151448,4190.74173244678,139.283594013888,2.26962533482167e-31,1,TRUE
-0.272228786847239,0.120814132848025,NA,NA,NA,-0.0150143973737589,0.00143643859257549,7,-2088.63282769152,4191.28868643383,139.830548000941,1.72657171297425e-31,1,TRUE
-0.173182116131573,0.120966082578464,NA,-0.0152957578635927,NA,NA,NA,6,-2089.969873335,4191.95701640684,140.498877973949,1.23611424636862e-31,1,FALSE
-0.216183197152846,0.120977369757522,NA,-0.00346946347783263,-0.000809803489833053,NA,NA,7,-2089.96430772504,4193.95164650086,142.493508067976,4.55963617008834e-32,1,FALSE
-0.283197362973431,0.120723571001222,NA,NA,NA,NA,NA,5,-2092.18848515202,4194.3893032948,142.93116486191,3.66348337323099e-32,1,FALSE
0.987872685252785,NA,NA,-0.0131499663516459,NA,0.0126749757098738,NA,6,-2265.06803859503,4542.15334692691,490.695208494019,1.11658463649302e-107,1,FALSE
0.891893587194407,NA,NA,NA,NA,0.0125624882679215,NA,5,-2266.69313621991,4543.39860543057,491.940466997682,5.99083280954589e-108,1,FALSE
1.13417275683332,NA,NA,-0.0539105866669286,0.0027910252745983,0.0128147286573148,NA,7,-2265.02248596242,4544.06800297563,492.609864542745,4.2867619736285e-108,1,TRUE
1.0619696393523,NA,NA,-0.0130920691555395,NA,-0.00281228459525863,0.000797828959238049,7,-2265.0378779593,4544.0987869694,492.640648536512,4.22128534739064e-108,1,TRUE
0.983955347939196,NA,NA,NA,NA,-0.00657008778600712,0.000985649708633021,6,-2266.64710258614,4545.31147490911,493.853336476225,2.30204002339191e-108,1,TRUE
1.22887772094543,NA,NA,-0.0571463863404734,0.00301702431094622,-0.00449266959224415,0.000892176631586774,8,-2264.98506870585,4545.99975485308,494.541616420193,1.63175435023083e-108,1,TRUE
1.10641496631864,NA,NA,-0.0129071260179236,NA,NA,NA,5,-2268.3971372489,4546.80660748855,495.348469055664,1.09005636595044e-108,1,FALSE
1.01115825331976,NA,NA,NA,NA,NA,NA,4,-2269.96069592092,4547.929612146,496.471473713108,6.21715353549603e-109,1,FALSE
1.13477061195909,NA,NA,-0.0207367677076284,0.000536158822219075,NA,NA,6,-2268.3954438807,4548.80815749824,497.350019065349,4.00698662979583e-109,1,TRUE
