"(Intercept)","pet","I(pet^2)","pre","I(pre^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-306.43740426182,0.934399852013181,-0.116538361943015,0.00233906073686689,NA,0.313697050788357,-8.05405776014894e-05,9,-1372.32232096017,2762.72586935715,0,0.530633699062442,0.530633699062442
-306.265296753395,0.80842647008784,-0.102529362902145,0.00351951430165409,-5.4339808051169e-06,0.313707833507216,-8.05326195851757e-05,10,-1371.57055643616,2763.24043567141,0.514566314260264,0.41025905178354,0.940892750845981
1.3203194197771,0.944022145224183,-0.117553154835571,0.00231843288749759,NA,NA,-6.29019857804487e-07,8,-1376.81036192524,2769.68567648917,6.95980713202061,0.0163490270007305,0.957241777846712
3.6942809756239,0.944273949430097,-0.117575512253843,0.00231826301072197,NA,-0.00244489918040727,NA,8,-1376.88013916252,2769.82523096374,7.09936160658526,0.0152471278503155,0.972488905697028
1.50145658728375,0.819053211322184,-0.103655689754139,0.00348921636899242,-5.3896510423413e-06,NA,-6.18371892879033e-07,9,-1376.07128146131,2770.22379035944,7.49792100229024,0.0124922874487005,0.984981193145728
3.83451164976462,0.819217532919393,-0.103668321063531,0.00348985089347711,-5.39334493851775e-06,-0.00240307333144134,NA,9,-1376.14005399986,2770.36133543654,7.63546607938406,0.0116620375334151,0.996643230679143
-1.17778634163091,0.961690837746149,-0.119000305318685,0.00231714646026804,NA,NA,NA,7,-1380.34597201687,2774.74243997603,12.0165706188745,0.00130445671204954,0.997947687391193
-0.938045634295042,0.827276862906308,-0.104061031573275,0.00357315914018895,-5.78209814399187e-06,NA,NA,8,-1379.4947112263,2775.0543750913,12.3285057341409,0.00111607613599922,0.999063763527192
-307.069241682711,-0.183505945746835,NA,0.00507654909672788,-1.25634216714018e-05,0.316874885736792,-8.13403811846707e-05,9,-1378.7351185964,2775.55146462962,12.8255952724612,0.0008704667775378,0.99993423030473
3.8295106822199,-0.183799073754147,NA,0.0050625299101359,-1.25970735865836e-05,NA,-6.1914859829259e-07,8,-1383.38811170277,2782.84117604424,20.1153066870838,2.27411005981057e-05,0.999956971405328
6.16534881393981,-0.183755490391311,NA,0.00506338044516926,-1.26017736207241e-05,-0.0024058768090884,NA,8,-1383.45857532858,2782.98210329587,20.2562339387141,2.1193833369114e-05,0.999978165238697
