"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
2.07384195618513,0.0615719927086473,-0.00104000580897952,-0.32885794698382,NA,-0.267895798715489,-0.0935334306880154,9,-669.848598572685,1357.86188150036,0,0.518843349688113,0.518843349688113
2.46013377081597,0.0177848184194876,NA,-0.332929456745863,NA,-0.284507027876093,-0.0956331163514294,8,-671.760094223963,1359.6518155046,1.78993400424361,0.212010330962488,0.730853680650602
2.28882008043337,0.0615625603014729,-0.00103902279410034,-0.477315038707715,0.0240274099342187,-0.274206718141892,-0.0942826547155859,10,-669.841023492247,1359.88351218596,2.02163068560367,0.188818580731388,0.91967226138199
2.73706651723105,0.0178267075996124,NA,-0.524489845014035,0.0310054022553848,-0.292615914958014,-0.0965955975160613,9,-671.747438034361,1361.65956042371,3.79767892335349,0.077692796573556,0.997365057955546
2.91658455213103,NA,NA,-0.330648808096355,NA,-0.261160425119238,-0.092032264591688,7,-677.473017618328,1369.04831834168,11.186436841323,0.00193166743503845,0.999296725390584
2.93938230111963,NA,NA,-0.346361084483461,0.00254293358992523,-0.261825474447886,-0.0921110650503974,8,-677.472932678846,1371.07749241436,13.2156109140083,0.000700330123266734,0.999997055513851
1.53159876270055,0.0623544125902917,-0.00108734479820452,NA,NA,-0.0865521422941105,-0.0776017214921883,8,-683.184254274379,1382.50013560543,24.6382541050748,2.31690034231084e-06,0.999999372414193
1.92486041908421,0.0165321626697444,NA,NA,NA,-0.104070161176331,-0.0799153164586175,7,-685.522018458872,1385.14632002277,27.2844385224121,6.17014980580595e-07,0.999999989429174
2.35841925057122,NA,NA,NA,NA,-0.0797051329261688,-0.0760738582260825,6,-690.98816912135,1394.05298057847,36.1910990781105,7.18189320206084e-09,0.999999996611067
-1.25308069642306,0.0662528455766418,-0.0012444478212741,2.70763851429473,-0.478343303420694,0.483597533904462,NA,9,-688.909542120005,1395.983768595,38.1218870946395,2.73510278687498e-09,0.99999999934617
-0.825734371059342,0.0136387778648154,NA,2.75231839103212,-0.486168549999392,0.483580322964717,NA,8,-692.036462756687,1400.20455257005,42.3426710696908,3.31468342942335e-10,0.999999999677638
3.20809923081474,0.0669461296311825,-0.00126031209499522,-0.23273000705109,NA,0.476779563670343,NA,8,-692.23931909435,1400.61026524537,42.7483837450168,2.70609269632925e-10,0.999999999948248
3.71518377565161,0.0136568285100618,NA,-0.236295672640177,NA,0.476608223891429,NA,7,-695.486445555957,1405.07517421694,47.2132927165808,2.90268564296839e-11,0.999999999977274
-0.549575351392839,NA,NA,2.77543382178156,-0.489955426847637,0.478915157459866,NA,7,-695.864304573082,1405.83089225119,47.9690107508309,1.9892891723447e-11,0.999999999997167
4.02676430529324,NA,NA,-0.236509012547392,NA,0.471744321839437,NA,6,-699.363346358626,1410.80333505302,52.9414535526628,1.65556289226801e-12,0.999999999998823
2.65921762500716,0.0669113758686049,-0.00126755891296628,NA,NA,0.517417593855337,NA,7,-698.776993187915,1411.65626948085,53.7943879804975,1.08077011153283e-12,0.999999999999904
3.1611693981033,0.0133030820367151,NA,NA,NA,0.517901885234524,NA,6,-702.261064315126,1416.59877096602,58.7368894656618,9.13025201027098e-14,0.999999999999995
3.4627113361775,NA,NA,NA,NA,0.512794615398243,NA,5,-706.13991388623,1422.33452239416,64.4726408937993,5.18776347999097e-15,1
4.21521677317569,0.0660212406722453,-0.00146801197207578,-1.11223705046836,NA,NA,NA,7,-937.977900449135,1890.05808400329,532.196202502937,1.41286034558357e-116,1
6.33370258656231,0.0663566933297894,-0.00147376336447822,-2.50674255110664,0.227767422075351,NA,NA,8,-937.505150916662,1891.14192889,533.280047389641,8.21760589554658e-117,1
4.88995825743455,NA,NA,-1.11237169581645,NA,NA,NA,5,-941.524796760506,1893.10428814271,535.242406642351,3.08052268868996e-117,1
6.90111407742931,NA,NA,-2.43350326719853,0.215795782570917,NA,NA,6,-941.100089055581,1894.27682044693,536.414938946573,1.71400568092689e-117,1
4.81349894106919,0.00357899321673753,NA,-1.11558999130575,NA,NA,NA,6,-941.31236580719,1894.70137395015,536.83949244979,1.38618640489122e-117,1
6.84913038737377,0.00366857181038677,NA,-2.45413366681647,0.218626015499531,NA,NA,7,-940.876343854208,1895.85497081344,537.993089313084,7.78612298198442e-118,1
0.954794564248177,0.063948789746515,-0.00159481914165229,NA,NA,NA,NA,6,-1056.34039018661,2124.75742270899,766.895541208633,1.53385880229491e-167,1
1.50011302528602,NA,NA,NA,NA,NA,NA,4,-1060.98601475498,2130.00845938246,772.146577882101,1.11054780269718e-168,1
1.59597719988889,-0.00397303889929075,NA,NA,NA,NA,NA,5,-1060.70414275121,2131.46298012411,773.601098623759,5.36651183182789e-169,1
