"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.222497755253386,0.0980563026244222,-0.000661929172233157,0.00624899854359538,0.00137150557708751,-0.00371510151799611,0.000473734339231193,10,-93996.1633166888,188012.328301915,0,0.623286584823399,0.623286584823399,TRUE
-0.331390622583002,0.0980803955462744,-0.000661953522810056,0.00612360588556068,0.00140190190699101,0.0107009649157076,NA,9,-93997.6669997121,188013.335364581,1.0070626657398,0.37670978422798,0.999996369051379,FALSE
-0.210256380829272,0.098147252687845,-0.000661873486081299,0.0150076087741864,NA,-0.00679005108604832,0.000566737895316117,9,-94009.4891814594,188036.979728075,24.6514261603297,2.76502207751134e-06,0.999999134073456,TRUE
-0.340778064102527,0.098178890809016,-0.000661902370090749,0.0150901830907918,NA,0.0104496625264851,NA,8,-94011.6503217955,188039.301735708,26.9734337928821,8.65926543556487e-07,1,FALSE
-0.161926494786534,0.0981667169038162,-0.000661550304758095,0.00608506916050766,0.00103719872367058,NA,NA,8,-94152.6145711191,188321.230234355,308.901932440058,5.21777593673195e-68,1,FALSE
-0.171883144750028,0.0982386974696837,-0.000661518815675298,0.0127602809888156,NA,NA,NA,7,-94160.298477803,188334.597805024,322.269503108808,6.52761206742264e-71,1,FALSE
-0.0536319717132473,0.098447130640716,-0.000660337168655394,NA,NA,-0.0196663366483467,0.000905555948793248,8,-94244.5510539401,188505.103199997,492.774898082076,6.16564123945416e-108,1,TRUE
-0.261516724133607,0.0985012299954266,-0.000660369486957722,NA,NA,0.00785718243155063,NA,7,-94250.0702805531,188514.141410524,501.813108608942,6.71979109266407e-110,1,FALSE
-0.138917887378291,0.0985040942820568,-0.000660217859771411,NA,NA,NA,NA,6,-94337.2337028221,188686.468042703,674.139740787708,2.55330709276579e-147,1,FALSE
0.616939414368664,0.0421091073864903,NA,0.00625538996414205,0.00126495402856503,-0.00375844372459698,0.000465748499359726,9,-95563.8102321442,191145.621829445,3133.2935275299,0,1,TRUE
0.509996276266806,0.0421296079125688,NA,0.00612967272566103,0.00129483781955146,0.0104122195498835,NA,8,-95565.2779606674,191146.557013452,3134.22871153668,0,1,FALSE
0.628445747511994,0.0421914366089536,NA,0.0143262765867798,NA,-0.00659914326453095,0.000551614107196259,8,-95575.2667448036,191166.534581724,3154.20627980918,0,1,TRUE
0.501572342033107,0.0422177942077152,NA,0.0144033080287031,NA,0.0101774706478611,NA,7,-95577.3343477781,191168.669544974,3156.34124305903,0,1,FALSE
0.675029438263523,0.0422370867459119,NA,0.00605812246598283,0.000935827754145952,NA,NA,7,-95713.5549799523,191441.110809323,3428.78250740736,0,1,FALSE
0.666178621297836,0.0422999518316895,NA,0.0120765531639486,NA,NA,NA,6,-95719.8782464939,191451.757130046,3439.4288281312,0,1,FALSE
0.77527734217892,0.0425646944159165,NA,NA,NA,-0.0185393099657363,0.000861860117623265,7,-95791.0083711761,191596.01759177,3583.68928985496,0,1,TRUE
0.577669781825372,0.0426094583990914,NA,NA,NA,0.00765199768888578,NA,6,-95796.0558542587,191604.112345576,3591.78404366088,0,1,FALSE
0.69704569826629,0.0426222994619475,NA,NA,NA,NA,NA,5,-95879.7777838185,191769.556022676,3757.22772076036,0,1,FALSE
2.27885830856222,NA,NA,0.00399107395339386,0.00180375428568477,-0.017281877288273,0.000917995792866328,8,-99444.7441666622,198905.489425441,10893.1611235263,0,1,TRUE
2.0697948943842,NA,NA,0.00373719323026436,0.00186208937149399,0.0106404466153359,NA,7,-99450.5479173348,198915.096684088,10902.7683821724,0,1,FALSE
2.29976790574057,NA,NA,0.0154737168732637,NA,-0.0213061311004019,0.00103931233568963,7,-99468.4549652505,198950.910779919,10938.5824780037,0,1,TRUE
2.06283110543275,NA,NA,0.015607133416396,NA,0.0102938615675776,NA,6,-99475.9265759398,198963.853788938,10951.525487023,0,1,FALSE
2.24331282408914,NA,NA,0.00361511495850083,0.00148708444319742,NA,NA,6,-99608.3274106185,199228.655458296,11216.3271563805,0,1,FALSE
2.23317698013343,NA,NA,0.0131597548328355,NA,NA,NA,5,-99624.5865671134,199259.173589265,11246.8452873501,0,1,FALSE
2.46934364565801,NA,NA,NA,NA,-0.0334456390012891,0.00134659247324286,6,-99723.1090068208,199458.2186507,11445.8903487851,0,1,TRUE
2.16348260166161,NA,NA,NA,NA,0.00746535486037341,NA,5,-99735.6534554044,199481.307365847,11468.9790639322,0,1,FALSE
2.28064010723451,NA,NA,NA,NA,NA,NA,4,-99817.2050571657,199642.410417688,11630.0821157729,0,1,FALSE
