"(Intercept)","tmx","I(tmx^2)","wet","I(wet^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
358.711891778835,0.00690370298916821,0.00105414564787912,0.0099472840469193,NA,-0.370023021949516,9.53650523725245e-05,9,-84586.1743395176,169190.350041289,0,0.660745527554302,0.660745527554302
358.449758391838,0.0069575036432159,0.00104131718953785,0.00366207279329767,0.000206560829549302,-0.369702649054901,9.52821125761537e-05,10,-84585.8417069395,169191.685078868,1.33503757941071,0.338949115727391,0.999694643281693
360.742296061695,0.0136346320157014,NA,0.00975447024785705,NA,-0.37213885532027,9.59148177147816e-05,8,-84595.3635239634,169206.728137721,16.3780964325997,0.000183474528281157,0.999878117809974
360.360817196935,0.0135972174995471,NA,0.00139522730557825,0.000274825267702206,-0.371678493544633,9.57955998119897e-05,9,-84594.7724086586,169207.546179571,17.1961382820737,0.000121882190026326,1
367.438090591527,0.00687797186177228,0.000706367960533185,NA,NA,-0.378833753996176,9.76302463230196e-05,8,-84742.1565941821,169500.314278159,309.964236870117,3.25203643102434e-68,1
368.693373888899,0.0114177008722808,NA,NA,NA,-0.380145532982175,9.79714028690662e-05,7,-84746.2990359534,169506.598919518,316.248878229584,1.40430961884666e-69,1
385.188165579478,NA,NA,-0.00961292657008596,0.000559404771863121,-0.397088244408259,0.00010233437430802,8,-84817.9904241862,169651.981938167,461.631896878302,3.78391602563335e-101,1
386.107395513026,NA,NA,0.0073891160112485,NA,-0.398171758123892,0.000102614721484027,7,-84820.4374852449,169654.875818101,464.525776812749,8.90314499690856e-102,1
-3.08292379367292,0.00688760200450363,0.00121146267486008,0.0102932969543726,NA,NA,7.78404427064911e-07,8,-84822.4666926959,169660.934475186,470.584433897573,4.30450063802399e-103,1
-2.99812255178414,0.00697715084080626,0.00118991090998513,-0.000135095841545504,0.000342714215172327,NA,7.76671877187559e-07,9,-84821.550352787,169661.102067828,470.75202653883,3.95849861088523e-103,1
-6.02005457496914,0.00687774707318506,0.00121524816156413,0.0102979268229038,NA,0.00302454184047311,NA,8,-84826.3061159343,169668.613321663,478.263280374405,9.25725976270373e-105,1
-5.92795317955671,0.00696803353651999,0.0011935162686461,-0.000214066253207165,0.000345461406852827,0.00301774027024292,NA,9,-84825.3749988033,169668.75135986,478.401318571297,8.63988251104045e-105,1
-3.02174264674688,0.0145696983649822,NA,-0.00275457096336903,0.000421733578755482,NA,7.8629503231397e-07,8,-84833.2228725831,169682.446834961,492.096793672012,9.17430565446379e-108,1
-3.12706338875665,0.0146289910804447,NA,0.0100734849643968,NA,NA,7.88651481898104e-07,7,-84834.6160102637,169683.232868139,492.882826850226,6.19281732174381e-108,1
-5.98831097432946,0.0145837081166206,NA,-0.00284225673422178,0.000424746990734808,0.00305537345316511,NA,8,-84837.1188389132,169690.238767621,499.888726332167,1.86456070047378e-109,1
-6.10338559814795,0.0146434527153494,NA,0.0100774619072813,NA,0.00306461873013212,NA,7,-84838.5320100068,169691.064867625,500.714826336538,1.23364780291791e-109,1
389.158618163859,NA,NA,NA,NA,-0.401181937760276,0.00010338618181511,6,-84910.3057746124,169832.612184929,642.262143639877,2.26246449797542e-140,1
-2.96749226279129,0.00685647204631979,0.000854845702146045,NA,NA,NA,7.91817288094188e-07,7,-84989.6453931842,169993.29163398,802.941592691175,2.90725237498472e-175,1
-5.95489315379536,0.00684626773670345,0.000858544449947719,NA,NA,0.00307652401053573,NA,7,-84993.6391965994,170001.27924081,810.929199521604,5.35791659673344e-177,1
-3.00058507880908,0.0123540501475633,NA,NA,NA,NA,7.98890092067538e-07,6,-84995.7175356878,170003.43570708,813.085665790859,1.82274219965003e-177,1
-6.015126265874,0.0123677153259601,NA,NA,NA,0.00310422413593272,NA,6,-84999.7642503632,170011.52913643,821.179095141619,3.1860999443969e-179,1
-3.03775618652929,NA,NA,-0.0148938077169343,0.000738070758156036,NA,8.32985098370422e-07,7,-85090.6886523649,170195.378152341,1005.02811105264,3.81024444210601e-219,1
-3.22275664193765,NA,NA,0.00753842604632164,NA,NA,8.37455697166124e-07,6,-85094.953057106,170201.906749916,1011.55670862718,1.45641749659677e-220,1
-6.1800601025879,NA,NA,-0.0149991865720009,0.000741584135676134,0.0032366735172282,NA,7,-85095.0969065659,170204.194660743,1013.84461945476,4.63951265765121e-221,1
-6.38296597560969,NA,NA,0.00753983220274883,NA,0.00325416592582389,NA,6,-85099.402162832,170210.804961368,1020.45492007912,1.70240866641257e-222,1
0.0313689264212209,0.00566612680955895,0.00153058085553084,-0.00701934481876202,0.000577395054455624,NA,NA,8,-85099.4448057603,170214.890701315,1024.54066002643,2.20727611942304e-223,1
-0.10030170259161,0.00550931235404679,0.00156822152795702,0.0105503737350773,NA,NA,NA,7,-85102.0557417043,170218.11233102,1027.76228973147,4.4084778478871e-224,1
