"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-9.69672077084552,0.151246755338539,-0.00286912476754415,0.121315248280125,-0.000943148918465009,-0.105457169870689,NA,NA,9,-980.9913088607,1980.10309964911,0,0.473981763598712,0.473981763598712,FALSE
-7.55121925217092,0.153044279053272,-0.00276356518403827,0.121348791051137,-0.000943168846812635,-0.104967511919363,NA,-0.00116030308704658,10,-980.73321083613,1981.61377599242,1.51067634331116,0.222701136132695,0.696682899731407,FALSE
-12.4106869157951,0.150833327430336,-0.00285374859715997,0.120553409099415,-0.000934173935222339,0.166471850769905,-0.00675689588550493,NA,10,-980.802732464037,1981.75281924824,1.64971959912577,0.207744518429862,0.904427418161269,FALSE
-10.20142745117,0.152582459594673,-0.00275296081160713,0.120625249698983,-0.000934660361486908,0.152580301904774,-0.00640000087301935,-0.00111718920122414,11,-980.564363110132,1983.30566992,3.20257027088701,0.0955723652733199,0.999999783434589,FALSE
1.18755332867221,0.0605663932137927,NA,0.122792095176108,-0.000961536521198573,-0.106602166203632,NA,-0.00538225185862765,9,-996.095282810932,2010.31104754957,30.2079479004642,1.30673971679048e-07,0.999999914108561,FALSE
-2.94529383496033,0.0601783435597983,NA,0.121669805393547,-0.000948301865600044,0.283932107186041,-0.00970453139123985,-0.00525684534631765,10,-995.704131881568,2011.5556180833,31.4525184341862,7.0134876017844e-08,0.999999984243437,FALSE
-8.5514492368043,0.0298910708546563,NA,0.123162231965512,-0.000967276898088808,-0.108551670924912,NA,NA,8,-999.722007144215,2015.54033535866,35.4372357095538,9.56453082749808e-09,0.999999993807968,FALSE
-13.2840358183306,0.0303160916840257,NA,0.12178881363489,-0.000951019723348339,0.364626545693669,-0.011756942305666,NA,9,-999.144993998123,2016.41046992396,36.3073702748479,6.19036634357207e-09,0.999999999998334,FALSE
-14.2773917766308,NA,NA,0.123317658479831,-0.000967509708373536,-0.106427187194838,NA,0.00327847715355975,8,-1008.87409131552,2033.84450370128,53.7414040521664,1.01382738446795e-12,0.999999999999348,FALSE
-19.0000862597096,NA,NA,0.121993301603504,-0.000951863720098375,0.350751411247572,-0.0113612020691537,0.00336076284893876,9,-1008.33892623218,2034.79833439207,54.6952347429597,6.29277661159205e-13,0.999999999999977,FALSE
-11.9317142050957,0.150442503605983,-0.00297682619766836,0.124696911968787,-0.000913475183426103,NA,NA,NA,8,-1013.27948765295,2042.65529637614,62.5521967270336,1.23801155392393e-14,0.999999999999989,FALSE
-8.58477830409821,0.153370806014008,-0.002811508118181,0.12475753550277,-0.000914060976168184,NA,NA,-0.00180369586309927,9,-1012.65465409231,2043.42979011233,63.3266904632201,8.40515099711786e-15,0.999999999999998,FALSE
-7.99536951219633,NA,NA,0.123608588638689,-0.000966835160041755,-0.100573355467317,NA,NA,7,-1016.36994755705,2046.81476142426,66.7116617751462,1.54706420848303e-15,0.999999999999999,FALSE
-11.1718862631327,NA,NA,0.122696415614261,-0.000956013638222679,0.217701765683333,-0.00790809926043681,NA,8,-1016.11027599187,2048.31687305398,68.2137734048656,7.30010224356673e-16,1,FALSE
-16.8545194868187,0.148602689060395,-0.002835974848153,0.0357151355163383,NA,0.793198332293394,-0.0222355429610109,NA,9,-1027.11254479473,2072.34557151718,92.2424718680686,4.42143625286156e-21,1,FALSE
-15.034256961135,0.150072972967983,-0.00275065611075507,0.0357428329465659,NA,0.781637594001241,-0.0219382122554438,-0.000920858571307896,10,-1026.94410922086,2074.03557276189,93.9324731127754,1.89925929426559e-21,1,FALSE
-7.86373408156345,0.14985227085402,-0.0028844824434746,0.0355497021500245,NA,-0.101678319622251,NA,NA,8,-1028.99187282682,2074.08006672388,93.976967074771,1.85747304124321e-21,1,FALSE
0.178548523177227,0.058746628937625,NA,0.126416913167056,-0.000933828199717374,NA,NA,-0.00604734773319929,8,-1029.40370460991,2074.90373029006,94.8006306409452,1.2304564535057e-21,1,FALSE
-5.92066762273665,0.151522684585625,-0.00278592387346064,0.0355842381254415,NA,-0.101216255852213,NA,-0.00105271881143562,9,-1028.77026058423,2075.66100309617,95.5579034470557,8.42609881511874e-22,1,FALSE
-10.8137249655247,0.0243611452676553,NA,0.126891677697609,-0.000939673272280664,NA,NA,NA,7,-1034.46388414842,2083.002634607,102.899534957892,2.14492208662718e-23,1,FALSE
-14.7984285147169,NA,NA,0.126798488928042,-0.000938471081476397,NA,NA,0.00234477134547438,7,-1042.02167387727,2098.1182140647,118.015114415587,1.11970894231824e-26,1,FALSE
-10.2100965748178,NA,NA,0.126711511911006,-0.000937232002196699,NA,NA,NA,6,-1046.19617688417,2104.44846599279,124.345366343682,4.72615984443476e-28,1,FALSE
-7.87994202847525,0.0589464290042557,NA,0.0355127508413154,NA,0.958432342994273,-0.0263764738816179,-0.00524143299993474,9,-1044.22463192045,2106.56974576861,126.466646119499,1.63635811779913e-28,1,FALSE
3.40171144697043,0.0599434619294776,NA,0.0353032235594642,NA,-0.103048827380586,NA,-0.00556998187553854,8,-1046.88541677849,2109.86715462721,129.764054978104,3.14669840045222e-29,1,FALSE
-18.3445915581329,0.0288393121601865,NA,0.0353429227064045,NA,1.05618144908846,-0.0288563968360254,NA,8,-1048.03837646843,2112.17307400709,132.06997435798,9.93415857471421e-30,1,FALSE
-6.64861098345123,0.0277710415821001,NA,0.0350912203772197,NA,-0.105227916486786,NA,NA,7,-1051.24263509286,2116.56013649588,136.457036846766,1.10787961864573e-30,1,FALSE
-10.0769017899492,0.149158259690205,-0.00298723874821995,0.0413971648754067,NA,NA,NA,NA,7,-1055.89852753934,2125.87192138885,145.768821739738,1.05308681431053e-32,1,FALSE
-7.07681313936074,0.151817553599341,-0.00283439826911957,0.0414102726292813,NA,NA,NA,-0.0016184721194282,8,-1055.38527425509,2126.86686958042,146.763769931312,6.40344848927492e-33,1,FALSE
-23.8079999462117,NA,NA,0.0354868984886106,NA,1.04336359660118,-0.0284726619301742,0.00320536653973738,8,-1057.2794540689,2130.65522920804,150.552129558932,9.63345514214576e-34,1,FALSE
-11.9038883809207,NA,NA,0.0352488377665077,NA,-0.102366576956606,NA,0.00300356457127582,7,-1060.37596179076,2134.82678989168,154.723690242569,1.19657296563106e-34,1,FALSE
-16.1513186400429,NA,NA,0.0359058129616892,NA,0.896174416865889,-0.024634499348052,NA,7,-1065.48879318653,2145.05245268321,164.949353034103,7.20219249081336e-37,1,FALSE
-6.18992101255327,NA,NA,0.0356894544932509,NA,-0.0952660559167104,NA,NA,6,-1067.8078942099,2147.67190064424,167.568800995129,1.94383244555893e-37,1,FALSE
2.17750617586487,0.0577305909365795,NA,0.0412315597648756,NA,NA,NA,-0.00610662911728409,7,-1074.73293518225,2163.54073667466,183.437637025555,6.962815152701e-41,1,FALSE
-8.89729389026137,0.0225592151198347,NA,0.0411278007054295,NA,NA,NA,NA,6,-1080.42616035937,2172.90843294319,192.805333294079,6.43599157609703e-43,1,FALSE
-12.5398770561181,NA,NA,0.0411344446804696,NA,NA,NA,0.0021463248176564,6,-1087.80264236099,2187.66139694643,207.55829729732,4.02763436588235e-46,1,FALSE
-8.34286895657391,NA,NA,0.041174895010058,NA,NA,NA,NA,5,-1091.85449587975,2193.74904516405,213.645945514936,1.91926093414926e-47,1,FALSE
-2.82934591426199,0.147152535859918,-0.00261124772479118,NA,NA,-0.280536154841015,NA,NA,7,-1278.21389897804,2570.50266426624,590.399564617131,2.965685657743e-129,1,FALSE
-3.96418914103633,0.146247694636211,-0.00266732399025242,NA,NA,-0.280786487426025,NA,0.000612735446763916,8,-1278.13869612727,2572.37371332478,592.270613675671,1.16367572874936e-129,1,FALSE
-2.73959375876794,0.147164796873117,-0.00261170708272689,NA,NA,-0.289483325851494,0.000222458423016585,NA,8,-1278.21376617728,2572.5238534248,592.420753775687,1.07951695472541e-129,1,TRUE
-3.99049182290969,0.146243551783432,-0.00266722874021972,NA,NA,-0.278239031322314,-6.33435831817614e-05,0.000613138969803625,9,-1278.13868537327,2574.39785267424,594.294753025133,4.22956497598067e-130,1,FALSE
3.74904329366431,0.0539281566625029,NA,NA,NA,-0.280775561603483,NA,-0.00305785462853139,7,-1292.74927944917,2599.57342520851,619.470325559399,1.44374198397761e-135,1,FALSE
-1.78643923263281,0.0363369214654052,NA,NA,NA,-0.28142298671408,NA,NA,6,-1294.01430213074,2600.08471648593,619.981616836817,1.11805738797361e-135,1,FALSE
1.95067715941184,0.053819205886132,NA,NA,NA,-0.109830504882795,-0.0042509047199179,-0.00301366059751733,8,-1292.70076730397,2601.49785567818,621.39475602907,5.51575311640688e-136,1,FALSE
-4.1562028995752,0.0365386670067312,NA,NA,NA,-0.045662866891922,-0.00586242944644302,NA,7,-1293.92161444366,2601.91809519748,621.814995548372,4.47044716956692e-136,1,FALSE
-9.93293855160939,NA,NA,NA,NA,-0.279099311956584,NA,0.00459824820579012,6,-1304.14082319365,2620.33775861174,640.234658962633,4.47272170732652e-140,1,FALSE
-12.4399648716705,NA,NA,NA,NA,-0.0370726320227697,-0.0060191746862504,0.0046390111666537,7,-1304.0440208729,2622.16290805596,642.059808406849,1.79574932178415e-140,1,FALSE
-1.12869547987643,NA,NA,NA,NA,-0.269568138965943,NA,NA,5,-1319.37620389693,2648.7924611984,668.689361549292,2.96286400866755e-146,1,FALSE
-0.709247076462196,NA,NA,NA,NA,-0.311387124901867,0.00103990775849853,NA,6,-1319.37331273605,2650.80273769655,670.69963804744,1.08439054767403e-146,1,TRUE
-8.23531678687295,0.142790709929742,-0.00279315110383103,NA,NA,NA,NA,NA,6,-1455.37272995544,2922.80157213532,942.698472486213,9.36244507389264e-206,1,FALSE
-7.00020817763428,0.143954153942781,-0.00273685286853751,NA,NA,NA,NA,-0.000664782335779828,7,-1455.28674525457,2924.64835681931,944.545257170196,3.71847686753056e-206,1,FALSE
-0.488491976227277,0.0436849567928313,NA,NA,NA,NA,NA,-0.00364386440246002,6,-1470.32320362207,2952.70251946859,972.599419819483,3.00940797554021e-212,1,FALSE
-7.12657749424664,0.0237672965957654,NA,NA,NA,NA,NA,NA,5,-1472.60780925042,2955.25567190537,975.15257225626,8.39597352070063e-213,1,FALSE
-11.4993555856152,NA,NA,NA,NA,NA,NA,0.00253483951753572,5,-1478.77017031456,2967.58039403365,987.477294384544,1.7692599821837e-215,1,FALSE
-6.54054038143737,NA,NA,NA,NA,NA,NA,NA,4,-1483.53370656009,2975.09409757649,994.990997927382,4.13248856892662e-217,1,FALSE
