"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
-4.52338948320243,0.128122723734519,-0.00105306531955255,NA,NA,-1.12887119413249,0.0880771471768141,NA,8,-7130.76363326776,14277.5472943519,478.906893163001,1.01552232889685e-104,1
8.56881213951212,0.0560724925286653,NA,-0.442559186654165,NA,-1.30361754451324,0.0946852989696105,NA,8,-7143.17404352949,14302.3681148754,503.727713686441,4.13920353352294e-110,1
24.3486436716749,0.145402626542338,-0.0010955912830855,-0.651478209570972,NA,NA,NA,-0.00819075275911988,8,-7150.4643083001,14316.9486444166,518.308243227662,2.82354699575016e-113,1
11.6911648970605,0.143447595051804,-0.00109138300539365,NA,NA,0.204999856672062,NA,-0.0108901362491052,8,-7167.70417383712,14351.4283754907,552.787974301709,9.19637239516235e-121,1
8.6386744342819,0.135353217943678,-0.00107660315447724,-0.661524756684626,NA,NA,NA,NA,7,-7170.27201393041,14354.5596028852,555.91920169621,1.92167154601434e-121,1
-277.166748262729,0.0645653015254092,NA,22.6896371503231,-0.455618523372233,0.122890245492653,NA,-0.00673287665227883,9,-7169.86885005149,14357.7627383559,559.122337166935,3.87371022331579e-122,1
-295.538184580729,0.0579883443242342,NA,23.1106696416128,-0.464091583861705,0.121499174791754,NA,NA,8,-7180.23231555582,14376.484658928,577.844257739102,3.33206705181755e-126,1
-9.53898119229767,0.130274549590913,-0.0010638600006604,NA,NA,0.204644296614333,NA,NA,7,-7203.95469872312,14421.9249724706,623.28457128164,4.52350441441577e-136,1
16.8537310421878,0.0646346809516173,NA,-0.426014630033127,NA,0.132645285767888,NA,-0.00721951698921058,8,-7220.06015313052,14456.1403340774,657.499932888508,1.68152623445355e-143,1
3.01023753975029,0.0575177049658279,NA,-0.435868235800137,NA,0.131272683919312,NA,NA,7,-7232.20911622842,14478.4338074812,679.793406292241,2.42514330380475e-148,1
16.5691424720724,0.0633297274968608,NA,NA,NA,-1.22628304102206,0.0942374443066949,-0.0100842993724059,8,-7285.44427166262,14586.9085711417,788.268169952715,6.75681090155676e-172,1
-329.464790420087,0.0651351913772843,NA,26.9293991999205,-0.542986051759084,NA,NA,-0.0057816448601081,8,-7294.13681185023,14604.2936515169,805.653250327936,1.13401690203571e-175,1
-344.773473674854,0.0593690503998433,NA,27.2520277053119,-0.549462755284278,NA,NA,NA,7,-7301.69567383295,14617.4069226902,818.766521501302,1.6110494553854e-178,1
-3.27916716377821,0.0535645915333949,NA,NA,NA,-1.18767499493738,0.0916927368271302,NA,7,-7309.7573658419,14633.5303067081,834.889905519192,5.08113247714816e-182,1
21.2897873363479,0.065271060712594,NA,-0.637047813733514,NA,NA,NA,-0.00626358445392376,7,-7363.24456553235,14740.504706089,941.864304900102,2.99753898515888e-205,1
9.26505231481697,0.0638572975984299,NA,NA,NA,0.200786899226558,NA,-0.00908772282532055,7,-7369.60779309202,14753.2311612084,954.590760019431,5.16713994357235e-208,1
9.23467912775453,0.0589608423561686,NA,-0.644039780140223,NA,NA,NA,NA,6,-7372.31487460777,14756.6414288596,958.001027670643,9.39117670843927e-209,1
-8.49043441796069,0.0549635750689451,NA,NA,NA,0.200906308323381,NA,NA,6,-7389.30303290008,14790.6177454442,991.977344255267,3.93420157982856e-216,1
-275.19371193053,NA,NA,17.5439604052212,-0.354133483105509,-1.21600378021299,0.0889040197414363,0.0286349629975693,9,-7456.16255919869,14930.3501566503,1131.70975546133,1.78792395639773e-246,1
-45.7733747881707,NA,NA,-0.423340147453632,NA,-1.3910306074018,0.10095618092567,0.0281569318984443,8,-7484.76288309778,14985.545794012,1186.90539282304,1.8482838888732e-258,1
-362.323315524183,NA,NA,23.8066291789798,-0.477482833240576,0.128734524398977,NA,0.0299737892138096,8,-7529.95341585998,15075.9268595364,1277.28645834743,4.37290119842006e-278,1
-54.3818003312998,NA,NA,-0.417930099314326,NA,0.139006289637078,NA,0.0295544192885975,7,-7583.02882914975,15180.0732333238,1381.43283213489,1.06089387468018e-300,1
12.2859206496074,0.141052499027282,-0.00105571130930832,NA,NA,NA,NA,-0.0103974402857627,7,-7584.77273579403,15183.5610466124,1384.92064542345,1.85482486551425e-301,1
-7.98816371200443,0.128587680488115,-0.00103064695367357,NA,NA,NA,NA,NA,6,-7617.50908577357,15247.0298511912,1448.38945000226,3.06356506347058e-315,1
-52.4135679751813,NA,NA,NA,NA,-1.29650977915582,0.0991490569869654,0.0257851191370164,7,-7631.21791123035,15276.451397485,1477.81099629609,1.24998608397835e-321,1
-419.299627933758,NA,NA,28.3578590721457,-0.571173692964084,NA,NA,0.0313828192001395,7,-7663.24586332431,15340.507301673,1541.86690048402,0,1
