"(Intercept)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-5.6510450681463,0.0123463499170038,-8.68696876244081e-05,0.938264852859671,-0.0599236745516535,8,-1367.79404161804,2751.59728040029,0,1,1,FALSE
-5.47904665212421,0.00330225949806181,NA,0.955776078536756,-0.0612509762176694,7,-1446.87958937463,2907.76633164235,156.169051242053,1.22552281508228e-34,1,FALSE
-5.55089441432555,NA,NA,1.01883279980695,-0.0654794613041717,6,-1668.9468457102,3349.89905574763,598.30177534734,1.20342831844305e-130,1,FALSE
-1.89868387507345,0.014620602830207,-0.000102626519534176,-0.0239300135143498,NA,7,-1972.45225661006,3958.9116661132,1207.31438571291,6.83930830129237e-263,1,FALSE
-2.1240549817957,0.0158105743812722,-0.00011249177296073,NA,NA,6,-2024.16143556904,4060.3282354653,1308.73095506501,6.49656756692045e-285,1,FALSE
-1.59640261507336,0.00395300419400304,NA,-0.0284254715294047,NA,6,-2073.02523104127,4158.05582640976,1406.45854600947,3.90307791732378e-306,1,FALSE
-1.83384639094863,0.00415182290132133,NA,NA,NA,5,-2146.15537163956,4302.31457469674,1550.71729429645,0,1,FALSE
-1.35869453097626,NA,NA,-0.0342865804510726,NA,5,-2363.92073326757,4737.84529795275,1986.24801755246,0,1,FALSE
-1.63323439601779,NA,NA,NA,NA,4,-2466.17292036875,4940.34839485282,2188.75111445253,0,1,FALSE
