"(Intercept)","pet","I(pet^2)","pre","I(pre^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-670.967754776433,-0.19605124670012,NA,0.0611822609739483,-0.000332698014278363,0.686457627357512,-0.000176113168740532,9,-554.692914071685,1127.55157399972,0,0.566503787713201,0.566503787713201
-670.039360990827,0.351628327517308,-0.0635899481372502,0.0604177632966468,-0.000328636024652481,0.684356342369618,-0.000175579356874312,10,-554.431662431564,1129.06608984009,1.51451584036317,0.265662271595595,0.832166059308796
1.79761948789296,-0.19741574814125,NA,0.0610718680758405,-0.000332649193870077,NA,-1.03131358149266e-06,8,-558.168578786506,1132.46963227402,4.91805827429948,0.0484462351513124,0.880612294460108
5.68397908654117,-0.197362131884051,NA,0.0610786061096097,-0.0003326902995384,-0.00400484908078767,NA,8,-558.207019168623,1132.54651303826,4.99493903853477,0.0466192826979373,0.927231577158046
0.61359166017415,0.375616184871294,-0.0665310711752353,0.0602785851923762,-0.00032843639516291,NA,-1.03343592032866e-06,9,-557.880395524249,1133.92653690485,6.37496290512718,0.0233828375223194,0.950614414680365
4.50822079635531,0.375744204637102,-0.0665397323997556,0.0602852330974197,-0.000328477041070416,-0.00401330722883815,NA,9,-557.918752219632,1134.00325029562,6.45167629589378,0.022502932153771,0.973117346834136
-2.23181706188127,-0.191272008196126,NA,0.0618099187010874,-0.000336824037802225,NA,NA,7,-560.169131017672,1134.44120321181,6.88962921208963,0.0180775196954508,0.991194866529587
-3.41328796073021,0.376590728534228,-0.0659309194886064,0.0610246024285894,-0.000332654341453642,NA,NA,8,-559.886325757407,1135.90512621583,8.35355221610121,0.0086946479531431,0.99988951448273
-688.060702585289,NA,NA,0.0723863281626025,-0.000388898562466164,0.701816504581955,-0.000179858368143828,8,-564.427923501747,1144.98832170451,17.4367477047811,9.26533577405954e-05,0.999982167840471
-0.254075523195156,NA,NA,0.0723913220292601,-0.000389501972825587,NA,-8.59117231865369e-07,7,-568.103765738811,1150.31047265409,22.7588986543694,6.47397127431306e-06,0.999988641811745
2.9698263605015,NA,NA,0.0723953560555536,-0.000389529582551817,-0.00332911540917462,NA,7,-568.136760376477,1150.37646192943,22.8248879297014,6.26385043033783e-06,0.999994905662175
-3.57535583051664,NA,NA,0.0727269956374477,-0.000391600771492946,NA,NA,6,-569.521089687566,1151.11931436136,23.567740361633,4.32049018590168e-06,0.999999226152361
-668.835911897572,-0.248119793478968,NA,0.00373161469612467,NA,0.687349462054312,-0.0001764298304738,8,-569.947250387743,1156.0269754765,28.4754014767734,3.71405176338506e-07,0.999999597557538
-667.428457266953,0.687932869086293,-0.10855819805806,0.00362425301425462,NA,0.683877564854218,-0.000175545627416246,9,-569.204425045447,1156.57459594725,29.0230219475243,2.82444861445998e-07,0.999999880002399
4.79660630520745,-0.249801612680506,NA,0.00362390175269813,NA,NA,-1.11823871560643e-06,7,-573.507192570209,1161.11732631689,33.5657523171637,2.9140185483315e-08,0.999999909142585
9.01732992986904,-0.249753974600568,NA,0.00362347970481884,NA,-0.0043456735702831,NA,7,-573.549911930028,1161.20276503653,33.6511910368033,2.79215503926349e-08,0.999999937064135
2.75213877685015,0.709189242045456,-0.11121440244296,0.00351419814146554,NA,NA,-1.11949545567018e-06,8,-572.721913221978,1161.57630114497,34.0247271452438,2.31647274210354e-08,0.999999960228862
6.9777871033813,0.709351887470629,-0.111227775411317,0.00351375648527441,NA,-0.00435077448009425,NA,8,-572.764416010052,1161.66130672112,34.1097327213913,2.22007919991801e-08,0.999999982429654
0.462548851370546,-0.243582821958653,NA,0.0036439015968064,NA,NA,NA,6,-575.910302594482,1163.89774017519,36.3461661754666,7.25659881907087e-09,0.999999989686253
