"(Intercept)","pet","I(pet^2)","wet","I(wet^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-251.078898518262,0.571299547162486,-0.180213143178707,0.0548613473989141,-0.00214484185580062,0.267726126992696,-7.13329560043117e-05,10,1377.49590277874,-2734.97775433439,0,0.99999999876717,0.99999999876717
11.8088435115542,0.56383490881692,-0.178247727918939,0.0562552672448685,-0.00220982384567567,NA,-3.18559695845361e-06,9,1355.85764602324,-2693.70379632544,41.2739580089515,1.09011896363794e-09,0.999999999857289
24.0562584966621,0.563395770647751,-0.178130529353142,0.0563238718595686,-0.0022131093368652,-0.0124939582407053,NA,9,1353.82437088678,-2689.63724605253,45.3405082818613,1.42703203548541e-10,0.999999999999992
-263.731824451152,0.708392734513302,-0.221221161381725,0.00671425630446681,NA,0.280883962232372,-7.47133596398685e-05,9,1344.00259237517,-2669.9936890293,64.9840653050892,7.7426479471788e-15,1
12.0838927606754,0.704881456902904,-0.220451688248519,0.00664724645189814,NA,NA,-3.21763910660568e-06,8,1320.24598525074,-2624.48277451195,110.494979822437,1.01465871990397e-24,1
24.4535562999191,0.704642769568041,-0.220394616319966,0.00664210701261474,NA,-0.0126190344694043,NA,8,1318.10260604799,-2620.19601610646,114.781738227928,1.18976785665768e-25,1
-240.810668205805,-0.0801310395603514,NA,0.0764931783049058,-0.00310258617899132,0.257572978088691,-6.87069078983816e-05,9,1312.07352102636,-2606.13554633168,128.842208002705,1.05261611259809e-28,1
-257.308192295312,0.728349854467453,-0.224014092909845,NA,NA,0.274193150794207,-7.29588260312041e-05,8,1292.41289049113,-2568.81658499274,166.161169341645,8.29011439928276e-37,1
12.104923142616,-0.0804840778170555,NA,0.0776273787325389,-0.00315600459981287,NA,-3.14453216656967e-06,8,1291.82322539347,-2567.63725479741,167.340499536975,4.59697588528353e-37,1
24.1957042375501,-0.0804994844942821,NA,0.0776823217642935,-0.00315868574825899,-0.012333680641954,NA,8,1289.86692182453,-2563.72464765954,171.253106674845,6.49920716676528e-38,1
11.9383595065703,0.724681107883898,-0.223226750442372,NA,NA,NA,-3.16650433094848e-06,7,1269.64986960239,-2525.29258722522,209.685167109169,2.93389450167694e-46,1
24.1119694967939,0.724428960496977,-0.223168124608002,NA,NA,-0.012418774883956,NA,7,1267.57764595735,-2521.14813993513,213.82961439926,3.69393457274839e-47,1
-257.411952245966,-0.0980767646814073,NA,0.00689412382901857,NA,0.275027488574148,-7.31843172290217e-05,8,1235.09011402742,-2454.17103206532,280.80672226907,1.05583248056248e-61,1
-245.14421192671,NA,NA,0.0934767129025807,-0.00392440958452092,0.261764280446462,-6.97745838622472e-05,8,1221.36696542327,-2426.724734857,308.253019477383,1.15799665515207e-67,1
12.6518154193032,-0.0987821055805054,NA,0.00682677984514456,NA,NA,-3.17956911235052e-06,7,1212.05980263076,-2410.11245328196,324.865301052425,2.86019863475545e-71,1
24.8756623426782,-0.0988124503456417,NA,0.00682158091620996,NA,-0.0124700897733425,NA,7,1209.96015431961,-2405.91315665966,329.06459767473,3.50372909485668e-72,1
11.8831136149491,NA,NA,0.0947234780341667,-0.00398324599606552,NA,-3.14462886929971e-06,7,1200.25698139297,-2386.50681080637,348.470943528021,2.1404055112146e-76,1
23.9730714485812,NA,NA,0.0947818810920685,-0.00398610014817163,-0.0123334719934805,NA,7,1198.25350345001,-2382.49985492046,352.477899413931,2.88666671988797e-77,1
-250.76700138022,-0.0880387062319549,NA,NA,NA,0.268115480329089,-7.13717697668627e-05,7,1181.58232059418,-2349.15748920879,385.820265125597,1.66032812329141e-84,1
12.5103640271308,-0.0888365860933571,NA,NA,NA,NA,-3.12673138070742e-06,6,1159.56327348576,-2307.12118332935,427.856571005041,1.2363063010197e-93,1
24.5316165307175,-0.0888748008940499,NA,NA,NA,-0.0122631574873854,NA,6,1157.53648928497,-2303.06761492777,431.910139406618,1.62893925128925e-94,1
-268.788983659853,NA,NA,0.00500256677006203,NA,0.286512081282796,-7.61201352803406e-05,7,1092.69436881673,-2171.38158565389,563.596168680492,4.13663268922121e-123,1
12.5473486464676,NA,NA,0.00491689903631204,NA,NA,-3.1911454266615e-06,6,1067.46420270106,-2122.92304175994,612.054712574443,1.24167475812582e-133,1
24.8135633341217,NA,NA,0.00491096639735159,NA,-0.0125144253127461,NA,6,1065.25553180795,-2118.50569997372,616.472054360662,1.36393687583686e-134,1
-263.002690893612,NA,NA,NA,NA,0.280519868763005,-7.45544499947372e-05,6,1064.26685958639,-2116.52835553061,618.449398803781,5.07480525642198e-135,1
-0.539663822813538,0.552270067071918,-0.174800401745013,0.0569468651266796,-0.00225809537470347,NA,NA,8,1045.16091226569,-2074.31262854185,660.665125792537,3.45454409591896e-144,1
12.4512318028032,NA,NA,NA,NA,NA,-3.15136184076714e-06,5,1039.97905001329,-2069.95426909821,665.023485236173,3.90827408013865e-145,1
24.5651817085158,NA,NA,NA,NA,-0.0123587757674863,NA,5,1037.83256823074,-2065.66130553312,669.316448801268,4.56856510984654e-146,1
-0.386043633486605,0.695606772922761,-0.217688768910834,0.00627324319983149,NA,NA,NA,7,1006.50198493631,-1998.99681789305,735.980936441335,1.52675818954867e-160,1
-0.0922680527389459,-0.079513361863917,NA,0.0778583318557645,-0.00318428966508584,NA,NA,7,980.907351654423,-1947.80755132928,787.170203005106,1.16993641150989e-171,1
-0.335727095521239,0.714407373578369,-0.220351626657149,NA,NA,NA,NA,6,959.443342599385,-1906.8813215566,828.096432777786,1.5175547901006e-180,1
0.320764350028499,-0.0978201652216742,NA,0.00644865047587578,NA,NA,NA,6,896.535930552789,-1781.06649746341,953.911256870977,7.25775756688432e-208,1
-0.310708525202257,NA,NA,0.0946721212705434,-0.00399842191556757,NA,NA,6,887.536151803492,-1763.06693996481,971.910814369572,8.95876630845892e-212,1
0.381347816294768,-0.0884690752253999,NA,NA,NA,NA,NA,5,847.594472309705,-1685.18511369105,1049.79264064334,1.09755050127854e-228,1
0.173293457532026,NA,NA,0.00456131037520015,NA,NA,NA,5,748.51119546999,-1487.01856001162,1247.95919432277,1.02118430671098e-271,1
0.22761896419273,NA,NA,NA,NA,NA,NA,4,723.780650450986,-1439.55874711279,1295.4190072216,5.05052709096248e-282,1
