"(Intercept)","pet","I(pet^2)","wet","I(wet^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
28.7256705945646,1.49976631863212,-0.484087869540027,-0.031844057809979,NA,NA,-7.69014458949531e-06,8,-4153.58300428195,8323.21314440678,0,0.246503462389921,0.246503462389921
58.6565734060199,1.50243117573635,-0.484934172234621,-0.0318522866570844,NA,-0.030346098686143,NA,8,-4153.60315121835,8323.25343827958,0.0402938728038862,0.241586866287138,0.488090328677059
28.3602689890767,1.27812361298873,-0.416947929064273,0.0395404134807697,-0.00311526823067626,NA,-7.65148292072363e-06,9,-4153.10094590541,8324.26083090709,1.0476865003111,0.145989220886039,0.634079549563099
58.1396430366518,1.28017061450267,-0.417606423468664,0.0397302747702265,-0.00312390415980018,-0.0301933095858609,NA,9,-4153.11840496304,8324.29574902234,1.08260461555983,0.143462507862315,0.777542057425414
1.18057639923318,1.4972336754099,-0.483289961456892,-0.0318376602268534,NA,0.0279251115052979,-1.47662236290897e-05,9,-4153.57699845654,8325.21293600935,1.99979160256771,0.0906930055932491,0.868235063018663
6.25306853427624,1.27652729808929,-0.416439665403317,0.0394046094336254,-0.00310911971672386,0.0224129435772197,-1.33308873425715e-05,10,-4153.09707414426,8326.2662085571,3.05306415032646,0.0535622197654527,0.921797282784115
28.8038257229097,-0.221934834025397,NA,0.105835506896141,-0.00601762603137882,NA,-7.51930515219244e-06,8,-4155.88183783596,8327.81081151481,4.59766710802796,0.0247429966559413,0.946540279440057
58.0668912229573,-0.222259970960634,NA,0.106127985846891,-0.00603076644508209,-0.0296700210480579,NA,8,-4155.9080075641,8327.86315097108,4.65000656429766,0.0241038784104228,0.97064415785048
-12.5999915607995,-0.221492153979594,NA,0.105426898129035,-0.0059993614569034,0.0419755365698449,-1.81561737501863e-05,9,-4155.86816179056,8329.79526267739,6.58211827061677,0.0091734817580148,0.979817639608494
29.795428630482,-0.267230233639492,NA,-0.0321406658594618,NA,NA,-7.55845745699271e-06,7,-4157.99054611803,8330.01774145071,6.80459704393434,0.00820773922937578,0.98802537883787
59.2118920458481,-0.267660842899505,NA,-0.0321499952800784,NA,-0.0298240906999549,NA,7,-4158.02597820506,8330.08860562478,6.87546121800551,0.00792201371606914,0.995947392553939
-30.9400301819481,-0.266377338849597,NA,-0.0321255253173329,NA,0.0615695921432752,-2.31603995585016e-05,8,-4157.96110726638,8331.96935037565,8.75620596886802,0.00309340694634504,0.999040799500284
