"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-12.5983175987724,0.128882438365853,-0.000892973928076634,0.00661340923379359,0.00128869428514503,0.0109925435635816,NA,0.00213956688384003,10,-107347.438084569,214714.877837675,0,0.535020959420019,0.535020959420019,FALSE
-12.4924035143202,0.128881231256644,-0.000892986003686611,0.00671616891133491,0.00126341791885169,-0.00122024388840044,0.000401288489406882,0.00213226906513259,11,-107346.578831475,214715.15966521,0.281827534781769,0.464700055361028,0.999721014781047,TRUE
-12.55248958649,0.128872628961861,-0.000892806138954085,0.0147844201474757,NA,-0.00400004621060097,0.00048523957646871,0.00217011498717995,10,-107355.567970849,214731.137610234,16.2597725593951,0.000157618084766878,0.999878632865814,TRUE
-12.6825586645839,0.1288738896127,-0.000892787143610734,0.0148556511338335,NA,0.0107622417238076,NA,0.0021798956620893,9,-107356.829477342,214731.660319841,16.7824821659306,0.000121367134186316,1,FALSE
-8.45278059917205,0.133344667565922,-0.000896927384675225,0.00610758796801149,0.00142532709071548,-0.00426928085020462,0.000505595195882727,NA,10,-107414.199947158,214848.401562854,133.523725178558,5.42078611268246e-30,1,TRUE
-8.5690153328321,0.133369264087134,-0.000896944561923233,0.0059756272888286,0.00145781160753895,0.0111183795321675,NA,NA,9,-107415.56597766,214849.133320476,134.255482800858,3.75978597043483e-30,1,FALSE
-8.44006851531952,0.133437133524274,-0.00089685293083404,0.0152168681213556,NA,-0.00746516575090716,0.000602321413748976,NA,9,-107425.67187039,214869.345105936,154.467268260982,1.53542877601109e-34,1,TRUE
-8.57881929210071,0.133469835054487,-0.000896875606487281,0.0153073443797994,NA,0.0108594485163003,NA,NA,8,-107427.618868302,214871.238828722,156.360991046822,5.95679970738239e-35,1,FALSE
-12.5215699327439,0.128854642540125,-0.000892452178303949,0.0066156476568106,0.000914182964450169,NA,NA,0.0021912461141151,9,-107477.637598072,214973.276561301,258.398723625665,4.14763848060956e-57,1,FALSE
-12.5828614380077,0.128848822946509,-0.000892325493769251,0.0124982637619508,NA,NA,NA,0.00221926827563403,8,-107482.383527426,214980.768146968,265.890309293114,9.79543522431819e-59,1,FALSE
-12.7299749454211,0.128744079339902,-0.000890723996283432,NA,NA,-0.0167313383658056,0.000821895031647966,0.0023469236326319,9,-107537.496444265,215092.994253688,378.11641601249,4.18248411495577e-83,1,TRUE
-12.9525182439456,0.128744859658954,-0.000890671879479536,NA,NA,0.00825245237151619,NA,0.00236501812574134,8,-107541.118971146,215098.239034409,383.361196733604,3.03769829345104e-84,1,FALSE
-8.39322712980282,0.133462925834736,-0.000896573291883337,0.00596306187786583,0.0010825505102983,NA,NA,NA,8,-107548.893696299,215113.788484715,398.910647039593,1.2765105396173e-87,1,FALSE
-8.40362327057282,0.133536929097091,-0.000896530100199604,0.0129344022805996,NA,NA,NA,NA,7,-107555.567284952,215125.135419322,410.257581647369,4.38600236588089e-90,1,FALSE
-12.8393059622414,0.128738284854539,-0.000890544880591697,NA,NA,NA,NA,0.00237315300020092,7,-107617.616497103,215249.233843625,534.356005949783,4.94809942865446e-117,1,FALSE
-8.2795246102015,0.133745386884921,-0.000895299296079031,NA,NA,-0.0208327976091631,0.000957502223067157,NA,8,-107618.918038499,215253.837169115,538.959331440099,4.95266540283974e-118,1,TRUE
-8.4993553992815,0.133800563793566,-0.000895316975868305,NA,NA,0.00827314162696176,NA,NA,7,-107623.844084467,215261.689018352,546.811180676916,9.76858343712573e-120,1,FALSE
-8.37042181791166,0.133809349261447,-0.000895209551664939,NA,NA,NA,NA,NA,6,-107700.799054243,215413.598745544,698.720907868847,1.00705561871764e-152,1,FALSE
-10.6438899602263,0.0549373883957047,NA,0.00646867569929749,0.00117403795557471,0.0105826936112001,NA,0.00169216351618366,9,-109912.283405744,219842.568176644,5127.69033896932,0,1,FALSE
-10.5332313547515,0.0549345214992467,NA,0.00658005264138835,0.00114753579716088,-0.00217807813671075,0.000419410185933561,0.00168453738459054,10,-109911.330885072,219842.663438681,5127.78560100542,0,1,TRUE
-10.5880309102533,0.0549421709872424,NA,0.0138983009403991,NA,-0.00471729851744014,0.000496039296245137,0.00171898451419408,9,-109918.868188317,219855.737741791,5140.85990411634,0,1,TRUE
-10.7209782986327,0.0549457492217823,NA,0.0139667641949171,NA,0.0103692591606534,NA,0.00172899439547091,8,-109920.206053925,219856.413199968,5141.5353622926,0,1,FALSE
-7.34086514826881,0.0581285481829595,NA,0.00623232810880443,0.00123770938207121,-0.00388317142610409,0.000477635663286041,NA,9,-109940.990772987,219899.982911131,5185.10507345581,0,1,TRUE
-7.45053833705911,0.0581494640288778,NA,0.00610366392262918,0.0012683502061809,0.0106494219289537,NA,NA,8,-109942.227639824,219900.456371765,5185.57853408979,0,1,FALSE
-7.32970327761466,0.0582113506596627,NA,0.0141301712738698,NA,-0.00666170240695066,0.000561625000856325,NA,8,-109949.778106646,219915.557305409,5200.67946773354,0,1,TRUE
-7.45890449492829,0.0582386114655155,NA,0.0142091191009199,NA,0.0104198358329184,NA,NA,7,-109951.495499346,219916.99184811,5202.11401043495,0,1,FALSE
-10.5664753452865,0.05495746140502,NA,0.00641134932249612,0.000807170909165752,NA,NA,0.00173995899303722,8,-110034.918340983,220085.837774083,5370.95993640769,0,1,FALSE
-10.6208503813544,0.0549630650121951,NA,0.011599888955935,NA,NA,NA,0.00176475174474498,7,-110038.679943591,220091.3607366,5376.48289892462,0,1,FALSE
-7.28196521542379,0.0582643761082488,NA,0.00603537493403679,0.000901626137913694,NA,NA,NA,7,-110066.51581712,220147.032483659,5432.15464598348,0,1,FALSE
-7.29055306154915,0.0583264826862048,NA,0.0118343907889302,NA,NA,NA,NA,6,-110071.21981949,220154.440276039,5439.5624383637,0,1,FALSE
-10.7451953400448,0.0549993588185413,NA,NA,NA,-0.016162326042557,0.000792693514609751,0.00187719461576744,8,-110081.342585754,220178.686263625,5463.80842594994,0,1,TRUE
-10.9595332552069,0.0550054615200508,NA,NA,NA,0.00792754347426583,NA,0.00189449596672958,7,-110084.760773483,220183.522396385,5468.64455870946,0,1,FALSE
-7.18517335265734,0.0585938681273658,NA,NA,NA,-0.0184792633645302,0.000869190714900089,NA,7,-110118.064612277,220250.130073971,5535.25223629584,0,1,TRUE
-7.38449989457077,0.0586398102525276,NA,NA,NA,0.00793531620802949,NA,NA,6,-110122.180833485,220256.362304028,5541.48446635253,0,1,FALSE
-10.8474626088131,0.0550110912856378,NA,NA,NA,NA,NA,0.00190056470237415,6,-110156.730728239,220325.462093537,5610.58425586161,0,1,FALSE
-7.26079019068384,0.0586552600242397,NA,NA,NA,NA,NA,NA,5,-110194.35051739,220398.701489819,5683.82365214344,0,1,FALSE
-35.9995058405661,NA,NA,0.0066768933955057,0.00118927273013223,-0.00531455971679016,0.000526024787985539,0.0157237459763288,9,-112125.771174379,224269.543713915,9554.66587624009,0,1,TRUE
-36.1398234220901,NA,NA,0.00653610489500362,0.00122254394053371,0.0106890599718285,NA,0.0157341706912252,8,-112127.266312352,224270.53371682,9555.65587914531,0,1,FALSE
-36.060051211225,NA,NA,0.0142588394102917,NA,-0.00794992300333139,0.000605542217575273,0.0157615364451248,8,-112133.851500716,224283.70409355,9568.82625587453,0,1,TRUE
-36.2242245378327,NA,NA,0.0143412973456587,NA,0.0104659208780738,NA,0.0157748103144118,7,-112135.841021442,224285.682892301,9570.80505462608,0,1,FALSE
-36.0689952103899,NA,NA,0.00646496067625556,0.000850659469657921,NA,NA,0.0157866571858468,7,-112252.138474518,224518.277798455,9803.3999607797,0,1,FALSE
-36.1291241416914,NA,NA,0.0119316034605136,NA,NA,NA,0.0158143437619438,6,-112256.308620747,224524.617878552,9809.7400408767,0,1,FALSE
-36.2420303358371,NA,NA,NA,NA,-0.0195792083787197,0.000905583697321144,0.015935253522712,7,-112304.314330043,224622.629509504,9907.75167182914,0,1,TRUE
-36.4898099957102,NA,NA,NA,NA,0.00793977391775057,NA,0.0159566566078465,6,-112308.765629738,224629.531896534,9914.65405885855,0,1,FALSE
-36.3791068422378,NA,NA,NA,NA,NA,NA,0.0159636453862257,5,-112380.873877134,224771.748209307,10056.8703716321,0,1,FALSE
-5.07678801876247,NA,NA,0.0036627201384602,0.00184370172880216,-0.0195353380523465,0.00099891258591589,NA,8,-114995.918044795,230007.837181707,15292.959344032,0,1,TRUE
-5.30422763653714,NA,NA,0.00338594473159682,0.00190687708049991,0.0108462742507546,NA,NA,7,-115001.475266824,230016.951383066,15302.0735453909,0,1,FALSE
-5.05550461861319,NA,NA,0.0153934672377515,NA,-0.0236282974489351,0.00112219798603302,NA,7,-115015.949919302,230045.900688022,15331.0228503464,0,1,TRUE
-5.31127505424976,NA,NA,0.0155344160387925,NA,0.010489613490948,NA,NA,6,-115022.994223183,230057.989083425,15343.11124575,0,1,FALSE
-5.12713544733681,NA,NA,0.0032522330706318,0.00152244224337611,NA,NA,NA,6,-115134.126464927,230280.253566913,15565.3757292375,0,1,FALSE
-5.137473183958,NA,NA,0.0130194262770855,NA,NA,NA,NA,5,-115147.912225417,230305.824905872,15590.947068197,0,1,FALSE
-4.88790484794875,NA,NA,NA,NA,-0.035513486980063,0.00142101093966282,NA,6,-115219.592488751,230451.185614561,15736.3077768861,0,1,TRUE
-5.21061173721613,NA,NA,NA,NA,0.00765621362036983,NA,NA,5,-115230.894706256,230471.789867549,15756.9120298744,0,1,FALSE
-5.09037849027794,NA,NA,NA,NA,NA,NA,NA,4,-115300.389653245,230608.779609847,15893.9017721722,0,1,FALSE
