"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-14.0461302601965,0.178923623412111,-0.00179836117319756,4.29474864294893,-0.838952994637899,0.00304019463358865,-6.03157830801429e-06,10,164.07371252597,-307.996429856332,0,0.945038073720843,0.945038073720843,FALSE
-14.5077128977542,0.178502187036905,-0.0017909557917175,4.69210101623068,-0.914459099764486,0.00180779786472994,NA,9,160.215358801539,-302.307260812954,5.6891690433776,0.0549619262020851,0.999999999922928,FALSE
-7.88578211029271,0.179016654407762,-0.00181517086980428,-0.267326365746455,NA,0.00368156033243533,-9.48705572093609e-06,9,139.830012887362,-261.5365689846,46.4598608717324,7.70581720210097e-11,0.999999999999986,FALSE
-7.73221584616112,0.178357661536719,-0.00180582696004946,-0.289243588020921,NA,0.00173354568515977,NA,8,130.191157277918,-244.283616817659,63.7128130386736,1.38161723153485e-14,1,FALSE
-13.1775567243911,0.0839951819258657,NA,4.30203870363358,-0.841133062748583,0.00294965694526693,-5.76015954709693e-06,9,127.473633465084,-236.823810140045,71.172619716287,3.31521197939722e-16,1,FALSE
-13.6240605025051,0.0839904813736241,NA,4.6832564299443,-0.913556399396241,0.00177283239752269,NA,8,123.818066724289,-231.5374357104,76.4589941459316,2.35824911975228e-17,1,FALSE
-8.69744632228758,0.181506304873069,-0.00184205418955568,NA,NA,0.00465283272849686,-1.26092314968398e-05,8,102.456945456654,-188.815193175131,119.181236681201,1.24615650023958e-26,1,FALSE
-6.98515990207571,0.0830821809598893,NA,-0.272993802879381,NA,0.00358840716023457,-9.22148617323108e-06,8,102.283928805871,-188.469159873565,119.527269982767,1.04817165331037e-26,1,FALSE
-6.83902375243255,0.0829445460367993,NA,-0.294429005415175,NA,0.00169448667845289,NA,7,92.8090015674848,-171.541290806202,136.45513905013,2.21101835189109e-30,1,FALSE
-8.57982803868682,0.180980706026553,-0.00183386732917129,NA,NA,0.00210077020741087,NA,7,86.2146491648919,-158.352586001017,149.643843855316,3.02483359029665e-33,1,FALSE
-13.0156548765864,0.176957775016434,-0.0017677823135457,3.85511871286537,-0.783448249697817,NA,NA,8,63.4152975341303,-110.731897330084,197.264532526248,1.38038531362954e-43,1,FALSE
-7.79488601940381,0.0841915189222423,NA,NA,NA,0.00457201289456625,-1.24009083820893e-05,7,61.6438897171352,-109.211067105503,198.785362750829,6.45291943300103e-44,1,FALSE
-7.68130900940716,0.0841269090947212,NA,NA,NA,0.00206098831079047,NA,6,45.2088946806434,-78.3602944947571,229.636135361575,1.29001894752097e-50,1,FALSE
-7.22983898848509,0.176864580627082,-0.00178032534567647,-0.408155823777488,NA,NA,NA,7,44.0649168655518,-74.0531214023365,233.943308453996,1.49728797207075e-51,1,FALSE
-10.9379279644251,NA,NA,4.21382341618306,-0.826722231204134,0.00305081194535986,-6.11357638773347e-06,8,38.4833654647687,-60.8680331913605,247.128396664972,2.05210608957427e-54,1,FALSE
-11.4096327942383,NA,NA,4.61823570855888,-0.903554719950667,0.00180184025126195,NA,7,34.4089447464171,-54.7411771640671,253.255252692265,9.58892511705069e-56,1,FALSE
-12.143864461459,0.0836256422192012,NA,3.84892066958705,-0.782638084656111,NA,NA,7,27.6549948337488,-41.2332773387305,266.763152517602,1.11832169204713e-58,1,FALSE
-4.8751009007509,NA,NA,-0.283239616042904,NA,0.0036773393788813,-9.51482416796351e-06,7,14.4535825670882,-14.8304528054093,293.165977050923,2.06664674435701e-64,1,FALSE
-6.35223496617837,0.0827777385190296,NA,-0.410766899709814,NA,NA,NA,6,7.67159936195048,-3.2857038573712,304.710725998961,6.43214560023096e-67,1,FALSE
-4.7246374016694,NA,NA,-0.305442858306187,NA,0.00172308797807782,NA,6,4.43992762282005,3.17763962088967,311.174069477222,2.54014590510629e-68,1,FALSE
-5.68318252869334,NA,NA,NA,NA,0.00469951982562527,-1.28234880236864e-05,6,-29.0233137983832,70.1041224632962,378.100552319628,7.44659213387682e-83,1,FALSE
-8.37676086506748,0.180413087662455,-0.00181367256427722,NA,NA,NA,NA,6,-37.7885058848378,87.6345066362054,395.630936492538,1.1622057272334e-86,1,FALSE
-5.56275260663344,NA,NA,NA,NA,0.00210291433212355,NA,5,-46.5363122144054,103.113664100493,411.110093956825,5.05855732192773e-90,1,FALSE
-9.87672175890284,NA,NA,3.74726526930728,-0.766371556120398,NA,NA,6,-63.9630235624372,139.983541991404,447.979971847736,4.98694315019967e-98,1,FALSE
-7.48052903157062,0.0845691501656738,NA,NA,NA,NA,NA,5,-78.7435611893879,167.528162050459,475.524591906791,5.20710300149986e-104,1,FALSE
-4.22615677316046,NA,NA,-0.424271786257872,NA,NA,NA,5,-83.0119182103276,176.064876092338,484.06130594867,7.29242997502227e-106,1,FALSE
-5.33497212054765,NA,NA,NA,NA,NA,NA,4,-175.398427215087,358.824195510147,666.820625366479,1.50380075233205e-145,1,FALSE
