"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-18.332486646276,0.195891684023935,-0.00250577101547615,6.66411816422876,-1.19243662439112,0.000739304423208504,NA,9,-779.95933223269,1578.03539598289,0,0.65317078609788,0.65317078609788,FALSE
-18.0703171319867,0.196026227094519,-0.00250807375609093,6.43845278027967,-1.14947944086324,0.0014528840415108,-3.49252088094951e-06,10,-779.634193660356,1579.41115175939,1.37575577649795,0.328310808817185,0.981481594915065,FALSE
-17.8016520614204,0.196098668781651,-0.00251060128839346,6.37214371978697,-1.14800555703426,NA,NA,8,-784.534538383285,1585.16240145873,7.12700547583745,0.0185104585225958,0.999992053437661,FALSE
-9.66662269461911,0.197017195695533,-0.0025699916796549,0.197734885164665,NA,0.00236714129920914,-8.31568771195865e-06,9,-791.657165499753,1601.43106251702,23.3956665341266,5.42903090634246e-06,0.999997482468567,FALSE
-9.53662112408523,0.196772927752598,-0.00256998765992645,0.178842685733392,NA,0.000661668607536392,NA,8,-793.560479079646,1603.21428285145,25.1788868685603,2.22587585423551e-06,0.999999708344421,FALSE
-9.35365584867306,0.196907024752481,-0.00257156884154774,0.13350667647295,NA,NA,NA,7,-797.158623029955,1608.38978492001,30.3543889371244,1.67361262625159e-07,0.999999875705684,FALSE
-9.01914211734117,0.196042204365722,-0.00258390886123359,NA,NA,0.0004375662345721,NA,7,-798.374216142487,1610.82097114508,32.7855751621878,4.96283187171108e-08,0.999999925334003,FALSE
-9.07246767425891,0.19616189239905,-0.00258495629670335,NA,NA,0.00162741683615443,-5.88319986876632e-06,8,-797.399419771876,1610.89216423591,32.8567682530197,4.78927946025077e-08,0.999999973226797,FALSE
-8.98173760319336,0.196280145129215,-0.00258267261526628,NA,NA,NA,NA,6,-800.089300093961,1612.23296911996,34.1975731370717,2.44972930879588e-08,0.99999999772409,FALSE
-17.2522169653799,0.097430047978065,NA,6.55216007130878,-1.18085739630082,NA,NA,7,-801.462793413714,1616.99812568753,38.9627297046422,2.26140056746806e-09,0.999999999985491,FALSE
-17.867742152503,0.100901982356685,NA,6.86841660099926,-1.23042474981637,0.00068096536293269,NA,8,-805.956618481017,1628.00656165419,49.971165671303,9.20292747374946e-12,0.999999999994694,FALSE
-17.5570860395531,0.100943848180483,NA,6.60257982391846,-1.17986781214961,0.00150960117074888,-4.05696668903066e-06,9,-805.497374453435,1629.11148042438,51.076084441489,5.29658488747354e-12,0.99999999999999,FALSE
-8.53848735760918,0.0957393428153432,NA,0.133889254205292,NA,NA,NA,6,-815.064989936414,1642.18434880487,64.1489528219777,7.67818614902097e-15,0.999999999999998,FALSE
-8.25241490623743,0.0944848320022967,NA,NA,NA,0.00166586788638757,-6.22885239564504e-06,7,-815.438673433604,1644.94988572731,66.9144897444216,1.92632661210344e-15,1,FALSE
-8.90753425030926,0.0996348052754185,NA,0.194635199612445,NA,0.00244188344271656,-9.02407613597842e-06,8,-818.592965645656,1653.27925598347,75.2438600005812,2.99247240625026e-17,1,FALSE
-8.76689665794602,0.0994070549115952,NA,0.174153142878778,NA,0.000590531622955971,NA,7,-820.943167132951,1655.95887312601,77.9234771431161,7.83715949314936e-18,1,FALSE
-8.26353557430374,0.098415584662052,NA,NA,NA,0.000373752738843255,NA,6,-825.669343377039,1663.39305568612,85.3576597032265,1.90478715390712e-19,1,FALSE
-8.23135466629022,0.098624673620185,NA,NA,NA,NA,NA,5,-826.965290221261,1663.96939027435,85.9339942914562,1.42789735058392e-19,1,FALSE
-15.1511557239944,NA,NA,6.37183236938309,-1.1456026838864,0.000628646747868662,NA,7,-909.9044963152,1833.8815314905,255.846135507614,1.81444713171816e-56,1,FALSE
-14.7759984246941,NA,NA,6.05157326232617,-1.08470143572071,0.00162590054615906,-4.88449269552833e-06,8,-909.204734376358,1834.50279344487,256.467397461984,1.32996128595409e-56,1,FALSE
-14.6538479661359,NA,NA,6.09026020635375,-1.10163338758465,NA,NA,6,-913.467540422022,1838.98944977608,260.954053793192,1.41115252044479e-57,1,FALSE
-6.84152887644271,NA,NA,0.157047854656104,NA,0.00246810275970196,-9.40555778713567e-06,7,-920.636331076646,1855.34520101339,277.309805030505,3.96248563600831e-61,1,FALSE
-6.69864325952848,NA,NA,0.135319457475041,NA,0.000538585888378356,NA,6,-923.315377217903,1858.68512336784,280.649727384955,7.45955253104974e-62,1,FALSE
-6.39068547263872,NA,NA,NA,NA,0.00189486484293773,-7.52256768913655e-06,6,-924.516082866882,1861.0865346658,283.051138682913,2.24518917124352e-62,1,FALSE
-6.54969817678816,NA,NA,0.0989641149624814,NA,NA,NA,5,-925.887549054257,1861.81390794034,283.778511957448,1.56065115892441e-62,1,FALSE
-6.32446146260337,NA,NA,NA,NA,0.000372921716735348,NA,5,-926.266534596572,1862.57187902497,284.536483042079,1.06835234953369e-62,1,FALSE
-6.28792608880472,NA,NA,NA,NA,NA,NA,4,-927.604200427551,1863.23425735155,285.198861368658,7.67151049249606e-63,1,FALSE
