"(Intercept)","pre","I(pre^2)","tmx","I(tmx^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-626.8333770851,0.0051139227105026,-3.47198231561004e-05,-0.464019667697049,0.0102742047082591,0.658939864801214,-0.000171954732419836,10,-743.780487253563,1507.5670093446,0,1,1
-629.458646841462,0.00105058661018714,NA,-0.408407564203362,0.00909008573041776,0.660978419764481,-0.000172452503361165,9,-834.060992591869,1686.12692264259,178.559913297994,1.68347814520006e-39,1
19.621235358811,0.00513291748856119,-3.48288175473853e-05,-0.464120109188321,0.0102703594140144,NA,-4.07804193299294e-06,9,-888.561818069284,1795.12857359742,287.561564252824,3.60412395258193e-63,1
35.2065060226247,0.0051319226729501,-3.48217202787803e-05,-0.464068751014271,0.0102690790589455,-0.0159470670351583,NA,9,-895.114387469279,1808.23371239741,300.666703052814,5.14108738811064e-66,1
-631.743784577999,0.00443855657864304,-2.70015548674986e-05,0.0101134438011749,NA,0.658313366756954,-0.000171774094303224,9,-917.621446830686,1853.24783112023,345.680821775629,8.63700759568167e-76,1
-631.892240161255,NA,NA,-0.481849080687473,0.0107140029562197,0.664182943577561,-0.000173223944422431,8,-960.286101792153,1936.57615344304,429.009144098446,6.94781132155027e-94,1
-633.385884336617,0.00125754650116165,NA,0.0108855970021574,NA,0.659996849573474,-0.000172187789809675,8,-973.103967217932,1962.2118842946,454.644874950004,1.88416872965407e-99,1
18.9881037063159,0.00105675101719021,NA,-0.408334391620732,0.00908250351000228,NA,-4.05484037983001e-06,8,-979.86748401614,1975.73891789102,468.17190854642,2.17651551887527e-102,1
34.4835452128038,0.00105657885704662,NA,-0.408294177114663,0.00908146087264144,-0.0158556928031051,NA,8,-986.405399651645,1988.81474916203,481.24773981743,3.15051161043267e-105,1
-624.080944756677,0.00486542162703351,-2.98422244041809e-05,NA,NA,0.650686766327066,-0.000169821338663259,8,-994.205565831799,2004.41508152233,496.848072177737,1.29066030852555e-108,1
-625.26257998797,0.00135759756314357,NA,NA,NA,0.651917766532377,-0.000170117217655329,7,-1062.21694042464,2138.43695287736,630.869943532765,1.01937120732928e-137,1
14.0919206322953,0.00445813108040975,-2.71156601059901e-05,0.00983005942162957,NA,NA,-4.05525613954176e-06,8,-1063.11013584473,2142.22422154821,634.657212203608,1.53439586668088e-138,1
29.589923457663,0.00445721400363839,-2.71094872059528e-05,0.00982218345621431,NA,-0.0158575185267609,NA,8,-1069.66081788804,2155.32558563482,647.758576290223,2.1928673222798e-141,1
19.7033399552784,NA,NA,-0.482251840344754,0.0107168654628175,NA,-4.00963839751943e-06,7,-1108.1943056575,2230.39168334308,722.824673998482,1.09803541956631e-157,1
35.0239634368731,NA,NA,-0.482200647097566,0.0107155800099167,-0.0156779496463093,NA,7,-1114.72036517583,2243.44380237975,735.876793035153,1.60836536417044e-160,1
14.0975390609413,0.00126361147561645,NA,0.0106045035395081,NA,NA,-4.03895797180423e-06,7,-1119.34984276851,2252.70275756511,745.135748220513,1.56974149789131e-162,1
29.5321921800948,0.0012634152712635,NA,0.0105964781270641,NA,-0.0157932530585414,NA,7,-1125.8891312968,2265.7813346217,758.214325277098,2.26908735743479e-165,1
14.2700281476266,0.00487342345491423,-2.9879581905097e-05,NA,NA,NA,-4.04638741901656e-06,7,-1135.8547459892,2285.71256400649,778.145554661889,1.06620262247449e-169,1
29.7352291422592,0.00487220671906471,-2.98714142597433e-05,NA,NA,-0.0158234772695683,NA,7,-1142.307298839,2298.6176697061,791.050660361499,1.68086041521924e-172,1
-637.180368483877,NA,NA,0.0127019804629002,NA,0.66365885335981,-0.000173061937798653,7,-1158.54726950888,2331.09761104585,823.530601701255,1.4879968140404e-179,1
