"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
6.73784354221576,0.239849098218718,-0.00313854401873151,0.00525507958537023,-6.16390360863791e-06,0.024948396381995,NA,-0.00876257163517456,10,-576.733941438109,1173.59175675009,0,0.496217726500881,0.496217726500881,FALSE
6.43111798688502,0.239618995239062,-0.00313561327676178,0.00561434590593316,-6.65847447412848e-06,NA,NA,-0.00835400922639741,9,-578.212127844808,1174.52555000588,0.933793255787577,0.31110117077424,0.807318897275121,FALSE
5.68616302873446,0.239852964438094,-0.0031385979557857,0.00524978753669368,-6.15437782072947e-06,0.119370213945152,-0.00207623688675494,-0.00877275437991281,11,-576.72194331664,1175.59261902765,2.00086227755355,0.182469613237436,0.989788510512557,FALSE
7.64768155507181,0.239710354921751,-0.00313401635994053,0.00185447641301167,NA,0.032185105440169,NA,-0.00907475249952409,9,-582.10521744236,1182.31172920098,8.71997245089119,0.00634094981095616,0.996129460323513,FALSE
5.87634165524138,0.239717203747276,-0.00313411774164009,0.00185442054228895,NA,0.190989528494276,-0.00349231757112138,-0.00909108797318103,10,-582.071438662081,1184.26675119804,10.6749944479434,0.00238575961659757,0.99851521994011,FALSE
7.33947561605405,0.239392761771002,-0.00312969222854785,0.00196840450050526,NA,NA,NA,-0.00856842870558959,8,-584.60522360331,1185.29143708289,11.6996803327929,0.00142928544236524,0.999944505382476,FALSE
-9.60361224896332,0.210339748344753,-0.00297741169888724,0.00575897925973146,-6.93099441311099e-06,NA,NA,NA,8,-588.534888777685,1193.15076743163,19.5590106815416,2.808581749195e-05,0.999972591199968,FALSE
-9.92332171212003,0.209557604122089,-0.00297525657861127,0.00552042644777776,-6.60370595084239e-06,0.0167250595071724,NA,NA,9,-587.868089891918,1193.8374741001,20.2457173500072,1.99237283160984e-05,0.999992514928284,FALSE
-9.9103986190033,0.209557971745046,-0.0029752577617335,0.00552048882847773,-6.60381846055329e-06,0.0155859316232119,2.50491314774436e-05,NA,10,-587.868088154357,1195.86005018259,22.2682934324948,7.24725921341268e-06,0.999999762187497,FALSE
-9.58614422109941,0.208294443812893,-0.00296542452151759,0.00187803354182638,NA,0.0242830185661643,NA,NA,8,-594.012250369806,1204.10549061588,30.5137338657842,1.17408395903607e-07,0.999999879595893,FALSE
-9.08639787033868,0.209359485194729,-0.00296785121250794,0.00196401571013036,NA,NA,NA,NA,7,-595.437974553609,1204.93890582447,31.3471490743818,7.73972163826861e-08,0.99999995699311,FALSE
