"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
48.3877686690634,0.0429344396566057,NA,-25.0035358995572,2.15665398009923,4.84038961936197,-0.360630240534123,9,-759.60394423476,1537.41915607515,0,0.555720959607062,0.555720959607062,TRUE
47.2378337676019,0.108522432652475,-0.000871632680797977,-25.0052239339193,2.156646214505,4.84309866197371,-0.360947769605707,10,-759.457917747246,1539.17435488345,1.75519880829233,0.231057568304942,0.786778527912004,TRUE
49.3230259015644,NA,NA,-24.7943417448559,2.14003646475484,4.77898797391913,-0.355031516066138,8,-761.583105101865,1539.33502614746,1.91587007230487,0.213221442307259,0.999999970219263,TRUE
-24.5958216644485,0.0402280772822132,NA,0.283794025357961,NA,4.45873568591485,-0.323721937129186,8,-778.14051763636,1572.44985121645,35.0306951412933,1.37416213824641e-08,0.999999983960885,FALSE
-23.1892928373701,NA,NA,0.297870620961899,NA,4.40121897911634,-0.318462167534926,7,-779.699921040299,1573.53098962158,36.1118335464271,8.00334902185437e-09,0.999999991964234,FALSE
-25.7200435628716,0.103611350963502,-0.000832191833807598,0.281728013769505,NA,4.46269427768674,-0.324159300226267,9,-778.016468992823,1574.24420559128,36.8250495161265,5.60271945572931e-09,0.999999997566953,FALSE
-23.0879023042398,0.0425322536025859,NA,NA,NA,4.52271400957289,-0.332764873938313,7,-781.500303327578,1577.13175419614,39.7125981209847,1.32243904709185e-09,0.999999998889392,FALSE
-24.3614599696617,0.114342484430272,-0.000953878193394205,NA,NA,4.52651524961194,-0.333167212268331,8,-781.324592746878,1578.81800143748,41.3988453623299,5.69130326572383e-10,0.999999999458523,FALSE
-21.5056990145889,NA,NA,NA,NA,4.46124957071582,-0.32734982430568,6,-783.409685955971,1578.91761752598,41.4984614508228,5.41477442746631e-10,1,FALSE
-13.0901973792712,-0.0502172622917454,NA,0.592618468113355,NA,0.762092928917071,NA,7,-897.977931592934,1810.08701072685,272.667854651697,3.43387469355776e-60,1,FALSE
-14.7248216694821,NA,NA,0.588900649465536,NA,0.760042404182161,NA,6,-899.461790873879,1811.02182736179,273.602671286639,2.15174890229407e-60,1,FALSE
-11.2829931242762,-0.156657547227284,0.00146153107383185,0.594073533614559,NA,0.762846496032186,NA,8,-897.472808053247,1811.11443205022,273.695275975068,2.05438926717269e-60,1,FALSE
-8.88873656584012,-0.0502933651285821,NA,-0.839195240134989,0.122288477944249,0.759692550934929,NA,8,-897.931872154915,1812.03256025356,274.613404178404,1.29811668277266e-60,1,TRUE
-10.592046143016,NA,NA,-0.820490519359333,0.120379605786638,0.757713034149366,NA,7,-899.417050622152,1812.96524878529,275.546092710133,8.14297290961857e-61,1,TRUE
-7.0886551709102,-0.156791594011291,0.0014623157948298,-0.834946441351408,0.122048922343599,0.760444803218673,NA,9,-897.426890710437,1813.06504902651,275.645892951354,7.74660912249404e-61,1,TRUE
-9.31129903974105,-0.0460506322944859,NA,NA,NA,0.678689477930136,NA,6,-908.794680630468,1829.68760687497,292.268450799817,1.9035709503798e-64,1,FALSE
-10.8347899752001,NA,NA,NA,NA,0.677606737674755,NA,5,-910.097447541327,1830.2649885406,292.845832465443,1.4262387537517e-64,1,FALSE
-7.64181283175229,-0.143694223137784,0.00133848148191574,NA,NA,0.679169140290995,NA,7,-908.361351667863,1830.85385087671,293.434694801555,1.06248400641772e-64,1,FALSE
91.631917310996,NA,NA,-32.3942447795793,2.65337145975448,NA,NA,6,-1125.56955543804,2263.23735649012,725.81820041497,1.36595730292804e-158,1,TRUE
94.573154445229,-0.051661848924893,NA,-32.8276980906613,2.691676096516,NA,NA,7,-1124.6835728824,2263.49829330579,726.079137230632,1.19887917060075e-158,1,TRUE
95.4810138162038,-0.0974420569979593,0.000614202851452229,-32.8658040237654,2.69503002938893,NA,NA,8,-1124.61799810554,2265.40481215482,727.985656079663,4.62146966724401e-159,1,TRUE
1.561085681502,NA,NA,-1.45339276502675,NA,NA,NA,5,-1138.12177522975,2286.31364391744,748.894487842284,1.33194097086123e-163,1,FALSE
2.91860668891516,-0.0427051077460322,NA,-1.44263174003064,NA,NA,NA,6,-1137.63047814047,2287.35920189497,749.940045819815,7.89668743249557e-164,1,FALSE
3.48227747163993,-0.0745229031059352,0.000415860753104698,-1.44173791068529,NA,NA,NA,7,-1137.60271626682,2289.33658007463,751.917423999475,2.93807401389073e-164,1,FALSE
-4.55593796346313,-0.0687380898735239,NA,NA,NA,NA,NA,5,-1191.794182115,2393.65845768795,856.239301612797,6.52912280748084e-187,1,FALSE
-6.84153099212125,NA,NA,NA,NA,NA,NA,4,-1192.92166810637,2393.89001065849,856.470854583335,5.81532175475356e-187,1,FALSE
-3.70313346309231,-0.117765279121215,0.000660963305892427,NA,NA,NA,NA,6,-1191.72957854883,2395.5574027117,858.138246636546,2.5264119377045e-187,1,FALSE
