"(Intercept)","CO2","I(CO2^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw"
12.2231062636486,-0.0715638675159297,9.75961563764491e-05,0.0416062464244034,-0.000489382361437339,NA,NA,8,-21.4637624972097,59.0655882734223,0,0.293925554655866,0.293925554655866
8.93750164488982,-0.0714961918011103,9.74088875560574e-05,0.0359219532338629,-0.000395690675506482,0.355575213102557,-0.00936490455011667,10,-20.1833369489227,60.5780091524084,1.51242087898608,0.137981011839611,0.431906566495477
1.47922387292158,-0.00661264303180473,NA,0.041845183018826,-0.00049356795046258,NA,NA,7,-23.3186049784217,60.74448965033,1.67890137690775,0.126960476754227,0.558867043249704
12.224293423416,-0.0715535169872067,9.75828591726494e-05,0.0416052605029316,-0.000489552601924966,-0.000155920604617143,NA,9,-21.4635460562704,61.0998368342298,2.03424856080755,0.106293298428505,0.66516034167821
0.372306890397807,NA,-9.81718118853049e-06,0.0419016193962628,-0.00049454955251269,NA,NA,7,-23.7029628226005,61.5132053386876,2.44761706526533,0.0864458310541182,0.751606172732328
-1.79043756197482,-0.00666837640889529,NA,0.0361480383415246,-0.000399731554723709,0.356099502105249,-0.00937993629847346,9,-22.0296755848103,62.2320958913097,3.16650761788742,0.0603446751519374,0.811950847884265
1.48275505926888,-0.00661069870547276,NA,0.0418438465846924,-0.000493792896300832,-0.000206828065356567,NA,8,-23.3182231614046,62.7745096018121,3.70892132838981,0.0460103262790344,0.8579611741633
-2.9022074833706,NA,-9.9004296806285e-06,0.0362107376723107,-0.000400844446810779,0.355647742198801,-0.00936860668322173,9,-22.4164534237289,63.0056515691468,3.94006329572449,0.0409886365903208,0.89894981075362
0.37657813431584,NA,-9.81398111603771e-06,0.0419001417801722,-0.000494798702887761,-0.000229096667986954,NA,8,-23.702494164726,63.5430516084548,4.47746333503255,0.0313305873595933,0.930280398113214
7.84193596073081,-0.0725768556229651,9.88102095905625e-05,0.0124302729707385,NA,0.527293805318457,-0.0138653652687654,9,-22.7716962271184,63.7161371759258,4.65054890250349,0.0287331660933128,0.959013564206527
-3.05360850997511,-0.00681794487390859,NA,0.0124151122217157,NA,0.529644195492659,-0.0139283193312923,8,-24.6795692524606,65.4972017839241,6.43161351050185,0.0117931607333082,0.970806724939835
12.9068698919442,-0.0730335745512555,9.95672486402964e-05,0.012550511069811,NA,NA,NA,7,-25.9188355322922,65.9449507580709,6.87936248464867,0.00942763507199646,0.980234360011831
-4.19398165863656,NA,-1.01237582917736e-05,0.0124114544764435,NA,0.529683784189894,-0.013929864645912,8,-25.0825116450369,66.3030865690767,7.2374982956544,0.00788196605401724,0.988116326065848
1.95041207046943,-0.00677290100732912,NA,0.0125399520137705,NA,NA,NA,6,-27.8650626523372,67.810508079794,8.74491980637174,0.00370938693610628,0.991825713001955
12.8986925799091,-0.073092355767115,9.96429319015878e-05,0.0126155127168707,NA,0.000913894827713893,NA,8,-25.9114675700926,67.960998419188,8.89541014576571,0.00344051595458075,0.995266228956535
0.817619473316823,NA,-1.00559155581349e-05,0.0125378367255273,NA,NA,NA,6,-28.269964678118,68.6203121313555,9.55472385793325,0.00247431747633213,0.997740546432868
1.93469448434751,-0.00678066681700691,NA,0.0126015004769847,NA,0.000866574047167157,NA,7,-27.8584192805388,69.8241182545642,10.7585299811419,0.00135535244733973,0.999095898880207
0.80100827139137,NA,-1.00671739469227e-05,0.0125979078438324,NA,0.000845968201060147,NA,7,-28.2636307844218,70.6345412623302,11.568952988908,0.000903797476023607,0.999999696356231
