"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-5.70424796799785,-0.0168551021246375,0.482543662704415,-0.0162684512229774,0.270538498625871,NA,NA,NA,8,-2801.5294742349,5619.10784490444,0,0.351426007877031,0.351426007877031
-5.727200334276,-0.0170005535510344,0.482921231908338,-0.0162806418137832,0.283137530024814,NA,0.000296530337279054,NA,9,-2800.98005848635,5620.02125827704,0.91341337259837,0.222581315750206,0.574007323627237
-7.37680734513611,-0.0167873908938268,0.482469155190894,-0.0162702698106615,1.28046293700936,-0.153872154966784,NA,NA,9,-2801.10965077365,5620.28044285165,1.17259794720485,0.195527339098246,0.769534662725482
-7.04384707357974,-0.0169253776133349,0.482805641362583,-0.0162802403806893,1.07834682684022,-0.121445182900783,0.000252193095326438,NA,10,-2800.73082498429,5621.53640362131,2.4285587168697,0.104346785362814,0.873881448088296
-5.74657667232219,-0.0169762185631748,0.482889107682495,-0.0162807145005094,0.283076366719639,NA,0.000549992237745554,-1.15946901049709e-06,10,-2800.94658536739,5621.96792438751,2.86007948306269,0.084096037021775,0.957977485110071
-7.28334040649147,-0.0168706390506158,0.48273302208556,-0.0162804328573108,1.20223113118584,-0.14038133185027,0.000692035446648447,-2.04376402659255e-06,11,-2800.6328747174,5623.35548430904,4.24763940459616,0.042021419773504,0.999998904883575
-5.10604636967646,-0.0159625571710828,0.480430734826419,-0.0162815589441163,NA,NA,NA,NA,7,-2815.62900908573,5645.29603582252,26.1881909180729,7.23003659802504e-07,0.999999627887235
-5.10697993594963,-0.0159431363011576,0.48037966036668,-0.0162792461827304,NA,NA,-5.52723234753085e-05,NA,8,-2815.60906809402,5647.26703262268,28.1591877182364,2.69863394328277e-07,0.999999897750629
-5.12724378302906,-0.0159180524268993,0.480346060247931,-0.0162792808321394,NA,NA,0.00020779862850024,-1.203025864244e-06,9,-2815.57344690283,5649.20803511001,30.1001902055668,1.02249370698543e-07,1
-10.3199844799885,NA,0.418863803320882,-0.0171798336240754,0.218335588027133,NA,NA,NA,7,-2854.3399045567,5722.71782676446,103.609981860015,1.11483912842017e-23,1
