"with_Year_or_CO2","what","site","sp","model","R2m","R2c"
"","log_core_measurement_dbh","SCBI","QUMO","log_core_measurement ~ dbh + I(dbh^2) + pre + tmp + I(tmp^2) + 1",0.305957724576669,0.595357435936794
"","log_core_measurement_dbh","SCBI","QURU","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.111929558464244,0.653175445395994
"","log_core_measurement_dbh","SCBI","QUVE","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.174010465410052,0.563461790913187
"","log_agb_inc_dbh","SCBI","CACO","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.7080531369091,0.709342925414925
"","log_agb_inc_dbh","SCBI","CAGL","log_agb_inc ~ dbh + pre + tmp + I(tmp^2) + 1",0.636886045874289,0.736404976507677
"","log_agb_inc_dbh","SCBI","CAOVL","log_agb_inc ~ dbh + pre + tmp + I(tmp^2) + 1",0.541358980405088,0.684720083817423
"","log_agb_inc_dbh","SCBI","CATO","log_agb_inc ~ dbh + tmp + I(tmp^2) + 1",0.415495332892226,0.619507582011097
"","log_agb_inc_dbh","SCBI","FAGR","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.783728494287448,0.815142302034724
"","log_agb_inc_dbh","SCBI","FRAM","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.818237719610944,0.882627556944218
"","log_agb_inc_dbh","SCBI","FRNI","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.77592052024557,0.796116190273927
"","log_agb_inc_dbh","SCBI","JUNI","log_agb_inc ~ dbh + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.306743847909644,0.670272130291999
"","log_agb_inc_dbh","SCBI","LITU","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.802732459384844,0.879433453040053
"","log_agb_inc_dbh","SCBI","PIST","log_agb_inc ~ dbh + pre + tmp + 1",0.374372803671447,0.625067015401139
"","log_agb_inc_dbh","SCBI","QUAL","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.730348488719243,0.871165630806781
"","log_agb_inc_dbh","SCBI","QUMO","log_agb_inc ~ dbh + I(dbh^2) + pre + tmp + I(tmp^2) + 1",0.834840088160023,0.904690816722831
"","log_agb_inc_dbh","SCBI","QURU","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.764667369948813,0.902279139130772
"","log_agb_inc_dbh","SCBI","QUVE","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.748504819328578,0.864524749225303
"","log_BAI_dbh","SCBI","CACO","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.571223319507472,0.571224339784495
"","log_BAI_dbh","SCBI","CAGL","log_BAI ~ dbh + pre + tmp + I(tmp^2) + 1",0.458798869073049,0.626310399938142
"","log_BAI_dbh","SCBI","CAOVL","log_BAI ~ dbh + pre + tmp + I(tmp^2) + 1",0.392457749150394,0.582700200753785
"","log_BAI_dbh","SCBI","CATO","log_BAI ~ dbh + tmp + I(tmp^2) + 1",0.237441530259855,0.522952882421003
"","log_BAI_dbh","SCBI","FAGR","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.68089722981655,0.742067900377663
"","log_BAI_dbh","SCBI","FRAM","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.713167929383451,0.807678790371123
"","log_BAI_dbh","SCBI","FRNI","log_BAI ~ dbh + tmp + I(tmp^2) + 1",0.637533392208606,0.655572395693389
"","log_BAI_dbh","SCBI","JUNI","log_BAI ~ dbh + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.170251875112676,0.609031745438032
"","log_BAI_dbh","SCBI","LITU","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.641646402180533,0.793624869547806
"","log_BAI_dbh","SCBI","PIST","log_BAI ~ dbh + pre + tmp + 1",0.269325371926567,0.565416406050473
"","log_BAI_dbh","SCBI","QUAL","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.60803479528784,0.812826889242266
"","log_BAI_dbh","SCBI","QUMO","log_BAI ~ dbh + I(dbh^2) + pre + tmp + I(tmp^2) + 1",0.749796660422594,0.854146024897474
"","log_BAI_dbh","SCBI","QURU","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.638013040384427,0.853485869886583
"","log_BAI_dbh","SCBI","QUVE","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmp + I(tmp^2) + 1",0.620105190804539,0.796437084408359
