"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw"
-0.109722278179016,-0.00332345010807846,0.0542238991865243,-0.000752632056935112,0.00396388994092774,-4.27344963069712e-06,NA,NA,9,-836.728917642417,1691.55571456705,0,0.401993422945181,0.401993422945181
0.223541503128797,-0.00338341206994864,0.0539257946808682,-0.000749661492136148,0.00163197049138389,NA,NA,NA,8,-838.40871993753,1692.89570074462,1.33998617757152,0.205704904400575,0.607698327345756
-0.111163017550323,-0.0033244926779669,0.0542240432706482,-0.0007526303307887,0.00396318233847104,-4.27257998090121e-06,8.58140929513018e-05,NA,10,-836.728903918653,1693.57750315831,2.02178859125274,0.146282755757539,0.753981083103295
0.18449783088515,-0.00341015479782234,0.0539313112270778,-0.000749631933575443,0.00162594723864346,NA,0.00222178764289964,NA,9,-838.39949421501,1694.89686771224,3.34115314518567,0.0756304632496538,0.829611546352949
-1.93517252750046,-0.00331926695680317,0.0542004812326149,-0.000752791462669891,0.00398608972408381,-4.30381100679082e-06,0.161781101252667,-0.00359006917237847,11,-836.6901675794,1695.52404773365,3.96833316659627,0.055272148856964,0.884883695209913
-0.973541134118022,NA,0.0425962005829905,-0.000732873537669277,0.00401756208851256,-4.42221367589196e-06,NA,NA,8,-840.072415357859,1696.22309158528,4.66737701822876,0.0389682502546119,0.923851945464525
-1.06153117699549,-0.00340705877033513,0.0539138734887845,-0.000749726150306272,0.00162993705420438,NA,0.112823153804215,-0.00245541832086539,10,-838.381365362152,1696.8824260453,5.32671147825135,0.0280245241274446,0.951876469591969
-0.644594879196819,NA,0.0420705887608021,-0.000729466318376261,0.00160402307184845,NA,NA,NA,7,-841.867861636857,1697.79655977562,6.24084520856172,0.0177433912628363,0.969619860854806
-0.847178699933602,NA,0.0428552792021526,-0.000733445289258561,0.00406860697612627,-4.48314023503161e-06,-0.00633597449582877,NA,9,-839.996021543468,1698.08992236916,6.53420780210217,0.015322645414639,0.984942506269445
-0.556520291230636,NA,0.0422401476134387,-0.000729823259677923,0.00161596683839863,NA,-0.00426293264853931,NA,8,-841.833191278241,1699.74464342605,8.18892885899459,0.0066990873329461,0.991641593602391
-2.90258471800859,NA,0.0428487883167428,-0.000733665540986236,0.0040942637825941,-4.51802791549598e-06,0.176000881654917,-0.00404814167599332,10,-839.94687448598,1700.01344429296,8.4577297259068,0.00585660957128557,0.997498203173676
-2.01075649111474,NA,0.0422321324682433,-0.000729957737112381,0.00162063169538165,NA,0.124897183366903,-0.00286729442042501,9,-841.80852500455,1701.71492929132,10.1592147242645,0.00250134444549188,0.999999547619168
0.219044410486438,-0.00302624056978157,0.015397003402488,NA,0.00384521055798343,-4.08707285008143e-06,NA,NA,8,-852.519398341304,1721.11705755217,29.5613429851192,1.53128094956722e-07,0.999999700747263
0.536385196726846,-0.00308417160576041,0.0152583517729518,NA,0.00161515699849377,NA,NA,NA,7,-854.058777714248,1722.1783919304,30.6226773633441,9.00718426843173e-08,0.999999790819106
0.219452698287562,-0.00302594106622865,0.0153969303886233,NA,0.00384542090449982,-4.08733478919605e-06,-2.44261913099129e-05,NA,9,-852.519397239484,1723.13667376119,31.5809591941324,5.57828619416764e-08,0.999999846601968
