"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-17.6254290556375,0.0298926797513042,-0.0007242428876054,-0.191062699048679,NA,3.71537832967207,-0.277693070487115,9,-1930.00114577332,3878.08570211199,0,0.560789459320662,0.560789459320662,FALSE
-20.7545724661408,0.0298602184500302,-0.00072501716058735,0.892840496702565,-0.092086886158354,3.69376525183048,-0.275595006020643,10,-1929.89234273057,3879.88667897064,1.80097685865121,0.227888644977588,0.78867810429825,FALSE
-16.9671498835114,-0.0154662569547268,NA,-0.194841058433859,NA,3.71966753199063,-0.278163269046214,8,-1932.42111592292,3880.90892939099,2.82322727900691,0.136692229717108,0.925370334015358,FALSE
-20.0152144156846,-0.0155451039116971,NA,0.861210978599152,-0.0897206512940426,3.69860554845547,-0.276118561219978,9,-1932.31775446301,3882.71891949136,4.63321737937076,0.055298006003086,0.980668340018444,FALSE
-18.7826362795958,0.0327836172689513,-0.000748826482908405,NA,NA,3.67726743268651,-0.271777393203996,8,-1934.81553486218,3885.69776726952,7.61206515752974,0.0124698404011871,0.993138180419631,FALSE
-17.7135877331555,NA,NA,-0.179895858259336,NA,3.78134769623573,-0.283351310671323,7,-1937.22106518914,3888.49398223014,10.4082801181521,0.00308084983899327,0.996219030258624,FALSE
-18.1247514712292,-0.0140899784705333,NA,NA,NA,3.68080687426339,-0.272134070572471,7,-1937.4410641074,3888.93398006664,10.8482779546575,0.00247244258404838,0.998691472842673,FALSE
-20.0409334472909,NA,NA,0.625525686100946,-0.068422496711012,3.76549800026846,-0.281809410514549,8,-1937.16078434896,3890.38826624309,12.3025641311001,0.00119490116422697,0.9998863740069,FALSE
-18.7305780027937,NA,NA,NA,NA,3.74098092474918,-0.277387537160245,6,-1941.52760413556,3895.09407916422,17.008377052236,0.000113625993100438,1,FALSE
-64.236846568551,0.0223926892013105,-0.000841671445292481,18.4772005276242,-1.5692039539005,0.616061679678089,NA,9,-2134.93954034573,4287.96249125681,409.876789144821,5.56142326170071e-90,1,FALSE
-63.5282218089535,-0.0304063248718009,NA,18.4992289858345,-1.57145853617309,0.614659984356737,NA,8,-2138.38225200309,4292.83120155133,414.745499439348,4.87482401131467e-91,1,FALSE
-65.9541756677633,NA,NA,18.9347443133867,-1.60395260731311,0.623254491908137,NA,7,-2157.78043416204,4329.61272017593,451.527018063949,5.02288984902356e-99,1,FALSE
-9.6765401374222,0.0214291175471283,-0.000841191954753871,NA,NA,0.576780902195626,NA,7,-2162.83999127536,4339.73183440257,461.646132290589,3.18871657378876e-101,1,FALSE
-9.93203418158961,0.0220256896773957,-0.000845189670299854,0.0360067925140061,NA,0.582252169368435,NA,8,-2162.70716941316,4341.48103637148,463.395334259496,1.32978533030642e-101,1,FALSE
-8.92069856315505,-0.0313052429481814,NA,NA,NA,0.575899240040726,NA,6,-2166.3262865387,4344.69144397051,466.605741858521,2.67085545680483e-102,1,FALSE
-9.1397003453297,-0.0310044216449396,NA,0.0313048317969921,NA,0.580651442215883,NA,7,-2166.22576311278,4346.50337807741,468.417675965426,1.07942853134612e-102,1,FALSE
-9.88764750475683,NA,NA,NA,NA,0.57504799649292,NA,5,-2187.50865838889,4385.04506885918,506.959366747191,4.6128791637663e-111,1,FALSE
-10.4852778134977,NA,NA,0.0891230073405941,NA,0.588707990920337,NA,6,-2186.68388545772,4385.40664180854,507.32093969655,3.84997145826656e-111,1,FALSE
0.942725895570318,-0.00368493853988577,-0.000648330182294226,-1.15974401524877,NA,NA,NA,7,-2551.23937657238,5116.53060499662,1238.44490288464,6.6666262798535e-270,1,FALSE
1.53138599761186,-0.044364817268006,NA,-1.16126363958982,NA,NA,NA,6,-2552.82619219573,5117.69125528456,1239.60555317257,3.73141971871536e-270,1,FALSE
3.03730297823849,-0.00364456199303353,-0.000648756433813221,-1.8767171416636,0.061239946205905,NA,NA,8,-2551.20897486971,5118.48464728458,1240.3989451726,2.5095232198881e-270,1,TRUE
3.54507680225106,-0.044351705804922,NA,-1.85042591665064,0.0588646554604413,NA,NA,7,-2552.79811036011,5119.64807257207,1241.56237046008,1.40267361318593e-270,1,TRUE
-0.234329600822652,NA,NA,-1.0948548036902,NA,NA,NA,5,-2584.2647962473,5178.557344576,1300.47164246401,2.26449176191323e-283,1,FALSE
2.22367010847288,NA,NA,-1.93596243208172,0.0718479431746813,NA,NA,6,-2584.2233499571,5180.4855708073,1302.39986869531,8.63498801311725e-284,1,TRUE
-6.24029237031409,0.01308090132995,-0.000748135477558439,NA,NA,NA,NA,6,-2679.05016144289,5370.13919377889,1492.0534916669,0,1,FALSE
-5.57145173536589,-0.0338535134641091,NA,NA,NA,NA,NA,5,-2681.0037063073,5372.035164696,1493.94946258401,0,1,FALSE
-6.62299244444399,NA,NA,NA,NA,NA,NA,4,-2698.72965205749,5405.477796949,1527.39209483701,0,1,FALSE
