"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-4.41041892527853,0.015628347071951,-0.000136216471552044,0.00696146898473854,0.00121875134756343,0.0102772902183681,NA,0.0020364889467317,10,-83974.7213255566,167969.444330785,0,0.534258200363634,0.534258200363634,FALSE
-4.32239136072507,0.0156261632609374,-0.000136217892842546,0.00704848371415052,0.00119774711413359,0.000111529516314147,0.000334078540414594,0.00203048599402284,11,-83973.8584434122,167969.718902446,0.274571660847869,0.465724106638757,0.999982307002391,FALSE
-4.38000322234301,0.0156186837590892,-0.000136052904336691,0.014692953827454,NA,-0.00252504723497664,0.000413606566355087,0.00206671688894883,10,-83985.5794454206,167991.160570513,21.7162397280335,1.02832325228529e-05,0.999992590234914,TRUE
-4.49069749641353,0.0156212576390697,-0.000136047777353282,0.014751454361297,NA,0.0100559770622476,NA,0.002074968943315,9,-83986.9073140451,167991.816002356,22.3716715716873,7.40976508606567e-06,1,FALSE
-0.48940535358073,0.0203152381328639,-0.000143474965166356,0.00659756502007115,0.00131468693762924,-0.00203190150428964,0.000407436082693128,NA,10,-84041.4106216895,168102.82292305,133.37859226577,5.8204677116214e-30,1,TRUE
-0.583127706993353,0.0203392242800187,-0.000143516530319117,0.00649001569256849,0.00134066572763632,0.0103663330766781,NA,NA,9,-84042.6956476776,168103.392669621,133.948338836723,4.37762936002071e-30,1,FALSE
-4.31297473216168,0.00394975342416485,NA,0.00693149614140493,0.00120836576016835,0.0102451988387803,NA,0.00207754925430718,9,-84054.8415476334,168127.684469533,158.240138748253,2.32456481474186e-35,1,FALSE
-4.22446592393519,0.00394768209724249,NA,0.00701903704533498,0.00118727710655346,4.02072742874586e-05,0.000335373250840009,0.00207144630096352,10,-84053.9710380217,168127.943755715,158.499424930196,2.04191839177454e-35,1,FALSE
-0.478064837152938,0.0204150158332611,-0.000143497042041024,0.0149930256195912,NA,-0.00496481398397951,0.000496041334150241,NA,9,-84055.5630713481,168129.127516962,159.683186177688,1.12976441687442e-35,1,TRUE
-0.592397194573967,0.0204471127158202,-0.000143550017131182,0.015064355027414,NA,0.0101239476556634,NA,NA,8,-84057.4756243918,168130.952348188,161.508017403452,4.53660352788404e-36,1,FALSE
-4.28170252538926,0.00395427033467728,NA,0.0145961734714845,NA,-0.00257407622683605,0.000414226048532197,0.00210732333924097,9,-84065.5014234489,168149.004221164,179.559890379256,5.45527207626417e-40,1,TRUE
-4.39273919849511,0.00395698658735027,NA,0.0146545342847552,NA,0.0100255785293609,NA,0.00211568225006845,8,-84066.8346983026,168149.67049601,180.226165224944,3.90963911463245e-40,1,FALSE
-5.99655587964858,NA,NA,0.00691014927439933,0.00121615816054159,0.0102566452277308,NA,0.00301221070840524,8,-84096.6195937336,168209.240286872,239.795956086979,4.53650027204087e-53,1,FALSE
-5.90494216279967,NA,NA,0.00699988150262971,0.00119454894743215,-0.000197549053506253,0.000343563927588041,0.00300543673227871,9,-84095.7064323508,168209.414238968,239.969908183033,4.15860549932601e-53,1,TRUE
-5.96535401462331,NA,NA,0.0146233371607298,NA,-0.00282852828803595,0.0004229212587247,0.00304310500416497,8,-84107.3736771836,168230.748453772,261.304122987116,9.68906436514489e-58,1,TRUE
-6.07995369835971,NA,NA,0.0146829007971254,NA,0.0100355744740307,NA,0.00305232121510943,7,-84108.7629266188,168231.526708323,262.082377538783,6.56577524692892e-58,1,FALSE
-0.295825914881204,0.00787205299116103,NA,0.00654022478794246,0.00131108505965052,-0.00227542843069698,0.000414537656001415,NA,9,-84126.8785478838,168271.758470034,302.314139249094,1.20523006913332e-66,1,TRUE
