"Species","SD"
"SCBI_cagl",0.11
"SCBI_caovl",0.11
"SCBI_cato",0.18
"SCBI_fagr",0.15
"SCBI_litu",0.14
"SCBI_qual",0.12
"SCBI_quru",0.1
"SCBI_quve",0.13
