"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_1SD_clim","variable","month"
"SCBI_caco",-0.0685633234675179,FALSE,FALSE,-0.352767538984995,0.202958909028757,-0.00696484280068833,"pre","prev.apr"
"SCBI_caco",0.11934576179889,FALSE,FALSE,-0.18474688512294,0.40590596832565,0.0131504733913376,"pre","prev.may"
"SCBI_caco",0.13491908029367,FALSE,FALSE,-0.204435899661306,0.425909845042544,0.0127056489828319,"pre","prev.jun"
"SCBI_caco",0.264160311173385,FALSE,FALSE,-0.00414146078381821,0.512550031679312,0.0292868806395675,"pre","prev.jul"
"SCBI_caco",-0.00649912220662363,FALSE,FALSE,-0.298074475197579,0.287342068100274,-0.000989279183723372,"pre","prev.aug"
"SCBI_caco",0.346618576974907,TRUE,FALSE,0.0616229414048141,0.569767355552346,0.0300058738803022,"pre","prev.sep"
"SCBI_caco",-0.345697263985383,FALSE,FALSE,-0.619433106898662,0.00553058176434014,-0.0399341920941413,"pre","prev.oct"
"SCBI_caco",0.0615469618155682,FALSE,FALSE,-0.29606239173092,0.373848613616828,0.00639376249184841,"pre","prev.nov"
"SCBI_caco",-0.11243386200619,FALSE,FALSE,-0.478378452050003,0.287581869071393,-0.0123665718091485,"pre","prev.dec"
"SCBI_caco",-0.0710630884164432,FALSE,FALSE,-0.390986439381975,0.263479213305178,-0.00714440776739353,"pre","curr.jan"
"SCBI_caco",0.143389623208384,FALSE,FALSE,-0.165695178180823,0.436121531404814,0.0132196835271889,"pre","curr.feb"
"SCBI_caco",0.402259271139782,FALSE,FALSE,-0.0441115073585718,0.69763334044872,0.0378723841776247,"pre","curr.mar"
"SCBI_caco",-0.242639078823195,FALSE,FALSE,-0.610453027180696,0.174722135567744,-0.0238852964295276,"pre","curr.apr"
"SCBI_caco",0.105921016999508,FALSE,FALSE,-0.212565231251424,0.429236526432282,0.0112674638989311,"pre","curr.may"
"SCBI_caco",-0.00789873298114509,FALSE,FALSE,-0.345655762275496,0.369797564784754,-0.000744504464198184,"pre","curr.jun"
"SCBI_caco",0.0920022839869183,FALSE,FALSE,-0.262034666555455,0.504241621785734,0.0102457557797099,"pre","curr.jul"
"SCBI_caco",0.109504320295236,FALSE,FALSE,-0.24283836676309,0.464075163019527,0.0165327929678226,"pre","curr.aug"
"SCBI_caco",-0.122399833549252,FALSE,FALSE,-0.41828871691364,0.17799900526605,-0.0128872247439815,"wet","prev.apr"
"SCBI_caco",0.116477412743963,FALSE,FALSE,-0.215114229223959,0.385243627687904,0.0132858889010288,"wet","prev.may"
"SCBI_caco",0.136308291696168,FALSE,FALSE,-0.194515370879163,0.444966304737362,0.0122037892180522,"wet","prev.jun"
"SCBI_caco",0.233607374471061,FALSE,FALSE,-0.0381223089258784,0.482458121677489,0.0253807998525005,"wet","prev.jul"
"SCBI_caco",0.0822694661575583,FALSE,FALSE,-0.225789950789456,0.391360349172222,0.0115634173520939,"wet","prev.aug"
"SCBI_caco",0.374165399626807,TRUE,FALSE,0.0818731466870707,0.603650140910548,0.0328335229264462,"wet","prev.sep"
