"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_BAI_dbh","SCBI","FRNI","tmx",0.108294826606419,0.0331248415967667,702,3.26929341805487,0.00113076293586373
FALSE,"log_BAI_dbh","SCBI","FRNI","I(tmx^2)",0.00768599564136112,0.00274771380565633,702,2.79723296710853,0.00529539155526656
FALSE,"log_BAI_dbh","SCBI","JUNI","(Intercept)",1.86244023613887,0.287798596289581,2150,6.47133189720248,1.19946716206312e-10
FALSE,"log_BAI_dbh","SCBI","JUNI","dbh",0.0478475699153475,0.0181381322322105,2150,2.63795463076279,0.0084009109096802
FALSE,"log_BAI_dbh","SCBI","JUNI","I(dbh^2)",-0.000607737792722594,0.00028480749087419,2150,-2.13385466392474,0.0329675515347351
FALSE,"log_BAI_dbh","SCBI","JUNI","pre",0.0139791747278116,0.00144049864168921,2150,9.70439979826627,8.03583786679035e-22
FALSE,"log_BAI_dbh","SCBI","JUNI","I(pre^2)",-0.000334772424571771,3.91230194934153e-05,2150,-8.55691684605569,2.16847939110122e-17
FALSE,"log_BAI_dbh","SCBI","JUNI","tmx",0.107056884448285,0.0226954373909931,2150,4.71711043078515,2.54579915076612e-06
FALSE,"log_BAI_dbh","SCBI","JUNI","I(tmx^2)",0.0103668858646465,0.00192431602649681,2150,5.38730942417981,7.93340960039454e-08
FALSE,"log_BAI_dbh","SCBI","LITU","(Intercept)",0.00824260381946555,0.118610434129939,6725,0.0694930752081702,0.944599210677119
FALSE,"log_BAI_dbh","SCBI","LITU","dbh",0.126815403637134,0.00810365397670486,6725,15.6491632048559,3.02185705734517e-54
FALSE,"log_BAI_dbh","SCBI","LITU","I(dbh^2)",-0.00110821004860314,0.000119356727482988,6725,-9.28485617839257,2.14307779574262e-20
FALSE,"log_BAI_dbh","SCBI","LITU","pre",0.00874856128850044,0.000777893633469743,6725,11.2464749833188,4.37722787724197e-29
