"(Intercept)","pet","I(pet^2)","pre","I(pre^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-290.905654928518,3.62732829737989,-0.435695281251874,0.0257878102860351,-0.000256837095798397,0.293123089994523,-7.59781010359306e-05,10,-204.392519143377,428.919759658462,0,0.29921025344259,0.29921025344259
-289.287753507603,4.91549446542586,-0.586099161910735,0.0108653822454342,NA,0.288901665435056,-7.49088459256303e-05,9,-205.684646820649,429.479452760025,0.559693101562971,0.226172948228238,0.525383201670828
-282.13269829674,-0.113029243089056,NA,0.030947436050393,-0.000351120807215695,0.292284300976604,-7.57637236014692e-05,9,-205.766606951156,429.643373021039,0.723613362576998,0.208375102662439,0.733758304333267
-299.464035065175,NA,NA,0.0330655118532088,-0.000361045086015098,0.309518398821265,-8.01831237689218e-05,8,-207.618663691905,431.325400778305,2.40564111984258,0.0898665646455169,0.823624868978784
-274.85265370494,-0.117758033427464,NA,0.0103749360661039,NA,0.285216062797451,-7.39723423628863e-05,8,-208.524397931158,433.136869256812,4.21710959834945,0.0363281061531188,0.859952975131903
-5.01692038594384,3.57426306008069,-0.430957397935342,0.024836416977832,-0.000246056948725224,NA,-8.17258049423378e-07,9,-207.994667254991,434.09949362871,5.17973397024753,0.0224497511594835,0.882402726291386
-1.93605408426117,3.57371427957515,-0.430907584238032,0.024833825163895,-0.000246067533765873,-0.00317314736533159,NA,9,-208.071320342667,434.25279980406,5.33304014559826,0.0207932089839541,0.903195935275341
-7.41159292651875,4.80913361583333,-0.575118089121164,0.010543963328317,NA,NA,-8.29803093604224e-07,8,-209.185048029929,434.458169454353,5.5384097958904,0.0187640277074888,0.921959962982829
-4.2826784206343,4.80859658846352,-0.575069868109236,0.0105406863946413,NA,-0.00322226075796709,NA,8,-209.261847426866,434.611768248228,5.69200858976546,0.0173769083785782,0.939336871361408
2.85220147203323,-0.12543374622328,NA,0.0299394313443829,-0.00033929574232892,NA,-8.18016520399837e-07,8,-209.34359180314,434.775257000776,5.85549734231336,0.0160129511851403,0.955349822546548
5.93513918269094,-0.125555919967234,NA,0.0299361666540906,-0.00033929424475358,-0.00317615227934038,NA,8,-209.420004219267,434.928081833029,6.00832217456718,0.0148349432416082,0.970184765788156
-292.711082163053,NA,NA,0.0119776771215218,NA,0.302979243961893,-7.85280556508146e-05,7,-210.529739931364,435.127939520429,6.2081798619667,0.0134241669195147,0.983608932707671
2.26293083026016,NA,NA,0.0322309812264418,-0.000349479185725163,NA,-8.18389371230522e-07,7,-211.64444410408,437.357347865862,8.43758820740021,0.00440329186062038,0.988012224568291
5.34491957300231,NA,NA,0.032230326037359,-0.000349493946744693,-0.00317669104393777,NA,7,-211.725388114055,437.519235885812,8.59947622734961,0.00406091533984099,0.992073139908132
3.22745424945266,-0.129728504615301,NA,0.0100659193998561,NA,NA,-8.38232551910341e-07,7,-211.928584013506,437.925627684714,9.00586802625202,0.00331418752106936,0.995387327429201
6.38788191078135,-0.129853958669053,NA,0.0100626351781576,NA,-0.00325531199728531,NA,7,-212.005052041505,438.078563740711,9.15880408224911,0.00307020542768547,0.998457532856887
2.62905567263411,NA,NA,0.0118207332432383,NA,NA,-8.39249904424178e-07,6,-214.383093406028,440.817500190187,11.8977405317244,0.000780575546849946,0.999238108403737
5.79094780426318,NA,NA,0.0118191495408192,NA,-0.00325834639601798,NA,6,-214.464366100472,440.980045579075,12.0602859206126,0.000719645574891266,0.999957753978628
-8.16003529354287,3.5788939493212,-0.431332755465717,0.0262687451369033,-0.000270334634336915,NA,NA,8,-216.265655228308,448.619383851111,19.699624192649,1.57854668591417e-05,0.999973539445487
-0.286566863227921,-0.124107153029248,NA,0.0313743983127011,-0.00036362511328204,NA,NA,7,-217.623726227537,449.315912112775,20.396152454313,1.11431567697546e-05,0.999984682602257
-10.842993944258,4.93530407654353,-0.589669617184569,0.0105654233128698,NA,NA,NA,7,-217.711392560902,449.491244779506,20.5714851210434,1.02078724712166e-05,0.999994890474728
-0.870882358376332,NA,NA,0.033631932586272,-0.000373526608508083,NA,NA,6,-219.882223461803,451.815760301736,22.8960006432742,3.19281020941948e-06,0.999998083284938
0.0326942168969139,-0.128594754519867,NA,0.010074776414554,NA,NA,NA,6,-220.610668118404,453.272649614939,24.3528899564769,1.54103892529821e-06,0.999999624323863
-0.564327766596807,NA,NA,0.0118146194668129,NA,NA,NA,5,-223.02949446653,456.09561896969,27.1758593112282,3.75676130587677e-07,0.999999999999994
-197.031215052251,-0.409102485608277,NA,NA,NA,0.206956416118604,-5.39061977950672e-05,7,-240.005290460665,494.079040579031,65.1592809205687,2.12235680289981e-15,0.999999999999996
-201.885316845427,1.86821494868771,-0.265912423634923,NA,NA,0.206923543607457,-5.38939284648803e-05,8,-239.432685030491,494.953443455477,66.0336837970153,1.37070572159637e-15,0.999999999999997
4.71385743267042,-0.411801058307136,NA,NA,NA,NA,-8.3870453082327e-07,6,-241.824390294788,495.700093967707,66.7803343092444,9.436503969416e-16,0.999999999999998
7.88267934353625,-0.41184150945202,NA,NA,NA,-0.00326076806874929,NA,6,-241.881537060367,495.814387498866,66.8946278404035,8.91235756174995e-16,0.999999999999999
-0.160983096725024,1.860211719551,-0.265292416892154,NA,NA,NA,-8.34855748737718e-07,7,-241.253569312269,496.57559828224,67.6558386237777,6.09112876644051e-16,0.999999999999999
2.99246087581071,1.86051756912045,-0.265332812154183,NA,NA,-0.00324575551984532,NA,7,-241.310521126626,496.689501910954,67.7697422524918,5.75392135824797e-16,1
1.51985209665524,-0.41120609391301,NA,NA,NA,NA,NA,5,-250.672609734399,511.381849505428,82.4620898469658,3.71160010750818e-19,1
-3.61106160050531,1.98733240109274,-0.280063169853731,NA,NA,NA,NA,6,-250.0329581003,512.117229578731,83.197469920269,2.56965858251242e-19,1
-229.369627134504,NA,NA,NA,NA,0.238371231733956,-6.19688830926795e-05,6,-276.610590227381,565.272493832893,136.352734174431,7.3681159194845e-31,1
2.98458367881303,NA,NA,NA,NA,NA,-8.45659681039677e-07,5,-279.006396895393,568.049423827416,139.129664168954,1.83803494156336e-31,1
6.1766785666926,NA,NA,NA,NA,-0.00328635664249718,NA,5,-279.072011910606,568.180653857842,139.26089419938,1.72130378667252e-31,1
-0.233374072430184,NA,NA,NA,NA,NA,NA,4,-287.895066501361,583.814538127799,154.894778469337,6.93430100397635e-35,1
