"(Intercept)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw"
-0.365976716302394,0.00402421727631285,-4.36925741052474e-06,NA,NA,6,-907.120143368,1826.28237090434,0,0.271706532071922,0.271706532071922
-0.119695803310638,0.00191309543874687,NA,NA,NA,5,-908.454366077805,1826.93877722321,0.656406318875725,0.195687578099968,0.46739411017189
-10.9729498499877,0.00392026825687303,-4.15722380783776e-06,0.913196981292003,-0.0196146229712159,8,-905.683522843016,1827.43926233598,1.15689143164627,0.152364677553727,0.619758787725617
-0.658185031694913,0.00394624275265802,-4.28671252719853e-06,0.0133524451460978,NA,7,-906.739724628732,1827.53558960834,1.25321870400467,0.14520016019009,0.764958947915707
-11.1267892657291,0.00191069080837983,NA,0.946245306506291,-0.0203167109759751,7,-906.890592827832,1827.83732600654,1.55495510220453,0.124866480014342,0.889825427930049
-0.435903319799029,0.00187264913959237,NA,0.0142213260282896,NA,6,-908.022799799003,1828.08768376634,1.80531286200676,0.110174572069951,1
-0.826975320300668,NA,NA,0.049482428166744,NA,5,-956.749385073333,1923.52881521427,97.2464443099302,2.07636167952115e-22,1
-1.75253172652237,NA,NA,0.130182378232826,-0.00175797336172332,6,-956.741390014393,1925.52486419712,99.2424932927861,7.65361259581545e-23,1
0.304428142474646,NA,NA,NA,NA,4,-961.919785942056,1931.85959190413,105.577220999797,3.22327850428584e-24,1
