"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
3.35734830412692,-0.0418159295586505,4.20979178368826e-05,NA,NA,0.247265911541162,-0.00270993699687848,8,-1918.80202146789,3853.67074048093,0,0.281012419815689,0.281012419815689
-7.66194230128971,-0.0415915933457146,4.1691193205877e-05,3.82448334532307,-0.329635205841763,0.242078003886765,-0.00263602636105253,10,-1917.0610635755,3854.22412066051,0.553380179582746,0.213088756734318,0.494101176550007
3.94472773690456,-0.0430320658335835,4.38039438623729e-05,-0.0602510394832827,NA,0.247017547806698,-0.00272213305824587,9,-1918.36977813344,3854.82296683221,1.15222635128293,0.157951131573617,0.652052308123624
-1.59306507166678,-0.0126919041748999,NA,NA,NA,0.245417574807182,-0.00268580746742769,7,-1920.57490002018,3855.20165189221,1.5309114112747,0.130705037369415,0.782757345493039
-13.3714542590342,-0.0127445490312942,NA,4.08940674083031,-0.351340506448961,0.239995468538693,-0.00260507763105474,9,-1918.77535045923,3855.63411148379,1.96337100286064,0.105289464884979,0.888046810378019
-1.26816205652029,-0.0127217871633988,NA,-0.0506776119497094,NA,0.24516487489824,-0.0026955211453042,8,-1920.26759789471,3856.60189333459,2.9311528536582,0.064898365608199,0.952945175986218
-3.76260251978785,NA,-1.82510956568487e-05,NA,NA,0.244738248971305,-0.00267725850355704,7,-1922.4315045366,3858.91486092506,5.24412044412884,0.0204164029701373,0.973361578956355
-15.8789334357754,NA,-1.8325830243165e-05,4.19735511299366,-0.360167734113054,0.239209110128457,-0.00259353619973853,9,-1920.60170719002,3859.28682494538,5.61608446445416,0.0169515052426947,0.99031308419905
-3.46774156226048,NA,-1.8288618625111e-05,-0.0467892496847053,NA,0.244513702702984,-0.00268635918805317,8,-1922.16964424643,3860.40598603802,6.73524555709264,0.00968691580095025,1
-5.92909555863133,NA,NA,NA,NA,0.25626824299594,-0.00285700752340437,6,-2064.42933418812,4140.89753926935,287.226798788415,1.19734314031523e-63,1
-15.6908699043615,NA,NA,3.41575743777571,-0.295890242521076,0.251723073286836,-0.00279637565229724,8,-2062.72880421665,4141.52430597846,287.853565497529,8.75221482206965e-64,1
