"(Intercept)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-2.64171860147579,-0.278071891705489,NA,0.183299483613586,-0.00196783331726215,7,-1041.49449624863,2097.06200423128,0,0.685362687219609,0.685362687219609
-6.71756834122872,1.11454413679502,-0.118145074357473,0.181593121583638,-0.00193757490777747,8,-1041.26258752417,2098.61910851214,1.55710428085968,0.314629585582832,0.999992272802441
-4.36940644620113,NA,NA,0.184418909943459,-0.00190832168779336,6,-1053.89659774363,2119.84791861429,22.7859143830096,7.7271975592112e-06,1
-39.1604796749043,12.7574562397823,-1.09722340909879,0.0501039665529193,NA,7,-1151.4279606683,2316.92893307063,219.866928839348,1.23715319979268e-48,1
-1.09001082296898,-0.158378163612226,NA,0.0464528716594812,NA,6,-1169.91791676694,2351.89055666092,254.828552429637,3.16667417947685e-56,1
-2.11419295416532,NA,NA,0.0494951552581899,NA,5,-1173.14785300374,2356.33476850748,259.272764276202,3.43206133206216e-57,1
19.1527449520804,-5.63220435738731,0.387606831957449,NA,NA,6,-1428.97684147081,2870.00840606866,772.946401837376,9.83426471389291e-169,1
5.89461359187118,-1.09500036891659,NA,NA,NA,5,-1430.73805237436,2871.51516724872,774.453163017437,4.62970011873653e-169,1
-0.497735388202235,NA,NA,NA,NA,4,-1583.43512374828,3174.89627222005,1077.83426798877,6.12608417401768e-235,1
