"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw"
-0.17231535182929,-0.129659544047988,-0.00234597192020368,0.00062746439265265,-3.40073843616851e-05,-0.0535695025351481,0.00501083448380915,10,-1111.04095161716,2242.08845358269,0,0.846578072052381,0.846578072052381
-0.132711823588426,-0.153846143866134,NA,0.000627964334635174,-3.39971772581847e-05,-0.0535647820612633,0.00500870086092343,9,-1113.7495577848,2245.50447478597,3.41602120328071,0.153421927947619,1
-0.18649401856615,-0.129229277081075,-0.00234039243256035,0.00121456695560912,NA,-0.0529999318115556,0.00504811989704569,9,-1183.83351121002,2385.6723816364,143.583928053712,5.60806699805701e-32,1
-0.146821183368378,-0.153379771924341,NA,0.00121488264139876,NA,-0.0529961859571521,0.00504603745079312,8,-1186.53773941439,2389.07976607422,146.991312491532,1.02072573339157e-32,1
-0.353100969850817,-0.131203706557991,-0.0023228062190636,0.000695036019901606,-3.42853264742458e-05,0.00985752480084925,NA,9,-1188.13067813942,2394.26671549521,152.178261912523,7.63092716098492e-34,1
-0.313557724729117,-0.155179569078292,NA,0.000695504875735988,-3.42756359532814e-05,0.00983523302530326,NA,8,-1190.81142560551,2397.62713845647,155.538684873782,1.42190549859085e-34,1
-0.270553792893887,-0.134792988463396,-0.00221785847985243,0.000730858870399791,-3.76238656165102e-05,NA,NA,8,-1255.60255840194,2527.20940404932,285.120950466632,1.0338065606337e-62,1
-0.233290634457375,-0.157627357168936,NA,0.000731237603670666,-3.76071968223555e-05,NA,NA,7,-1258.02103275209,2530.04539992914,287.956946346455,2.50386323460055e-63,1
-0.368719485826175,-0.130780879875323,-0.00231790053786865,0.00128748082301702,NA,0.010907824302063,NA,8,-1261.69442611271,2539.39313947086,297.30468588817,2.33762451241852e-65,1
-0.329106464347226,-0.154726211306331,NA,0.00128777553764553,NA,0.0108851943329567,NA,7,-1264.37293279449,2542.74920001394,300.660746431252,4.36531376864889e-66,1
-0.19890527090299,-0.127529519368327,-0.00239612938336797,NA,NA,-0.0590133465088455,0.00566521330694029,8,-1342.54623425742,2701.09675576028,459.008302177592,1.8000336482282e-100,1
-0.278101645376328,-0.13474465271878,-0.00220088720485775,0.00139203538938477,NA,NA,NA,7,-1344.72332255983,2703.44997954462,461.361525961937,5.54989250448216e-101,1
-0.157795437932859,-0.152326113621123,NA,NA,NA,-0.0590118704794567,0.00566330510574,7,-1345.41554097999,2704.83441638493,462.745962802245,2.77752470964816e-101,1
-0.241002417373437,-0.157419091332186,NA,0.00139211364098778,NA,NA,NA,6,-1347.11031037635,2706.22312149696,464.134667914273,1.38708938325253e-101,1
-1.07663671787318,NA,NA,0.000623510373198926,-3.33067205859041e-05,-0.054871554702387,0.00512273041447499,8,-1400.3668525095,2816.73799226444,574.649538681754,1.39349423512756e-125,1
-0.405793204252676,-0.129163705455191,-0.00237455062677849,NA,NA,0.0128290660561479,NA,7,-1440.17950091478,2894.36233625451,652.273882671824,1.94174881262771e-142,1
-0.36465290805824,-0.153775111802244,NA,NA,NA,0.0128063172873976,NA,6,-1443.03175328809,2898.06600732044,655.977553737756,3.04755179110605e-143,1
-1.08770390539689,NA,NA,0.00119821030652407,NA,-0.0543457692140747,0.00516191634862813,7,-1472.5432970625,2959.08992854995,717.001474967267,1.70912949050864e-156,1
-1.26954507448663,NA,NA,0.000692749487623466,-3.35966554234858e-05,0.00996217539671808,NA,7,-1483.62062804311,2981.24459051117,739.156136928487,2.64211215336925e-161,1
-1.20216708813761,NA,NA,0.000729221495276959,-3.69673464225183e-05,NA,NA,6,-1554.8526812412,3121.70786322667,879.619409643986,8.33180550876217e-192,1
-0.301136078862991,-0.133730412053404,-0.00224391793493696,NA,NA,NA,NA,6,-1555.13906438893,3122.28062952213,880.192175939445,6.25697619652073e-192,1
-0.262778578769233,-0.156923070711072,NA,NA,NA,NA,NA,5,-1557.65698831147,3125.31576281567,883.227309232986,1.37180910858949e-192,1
-1.28220779493166,NA,NA,0.00127302127081707,NA,0.0109929935883616,NA,6,-1556.67653477554,3125.35557029535,883.267116712667,1.34477491028687e-192,1
-1.09348696286746,NA,NA,NA,NA,-0.0603405276734722,0.00577619850996992,6,-1632.10635213992,3276.21520502411,1034.12675144142,2.34366829781297e-225,1
-1.20849897845279,NA,NA,0.00137860088270354,NA,NA,NA,5,-1643.85972820039,3297.72124259351,1055.63278901082,5.01094254831304e-230,1
-1.3131905147363,NA,NA,NA,NA,0.0128994174956842,NA,5,-1737.04734673827,3484.09647966927,1242.00802608658,1.69453643318522e-270,1
-1.22853047149207,NA,NA,NA,NA,NA,NA,4,-1857.27067389268,3722.54253854506,1480.45408496238,2.86558074587923e-322,1
