"(Intercept)","CO2","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
4.18100878609338,-0.00279195575878075,0.140189676240581,-0.00130892676752736,-0.0501081079215314,NA,-0.292017796267981,0.0156836556462084,10,-3401.82219311352,6823.67872367045,0,0.694260515248237,0.694260515248237,TRUE
7.22262331864113,-0.00280057299863871,0.140201173363732,-0.00130901578128766,-0.288320834423085,0.00469549970253569,-0.295837110845059,0.0158814957250745,11,-3401.81029342474,6825.66179821383,1.9830745433801,0.257574758072646,0.951835273320884,TRUE
3.38536924433742,NA,0.133726575221949,-0.00126442717509916,-0.0534322603720052,NA,-0.28034971798952,0.015058898588324,9,-3406.45520130571,6830.93849249906,7.25976882860232,0.0184112678064091,0.970246541127293,TRUE
2.81300933883869,-0.00301156522454972,0.140094018436351,-0.00130764837109083,NA,NA,-0.263608791395282,0.0146058158623937,9,-3407.10340271328,6832.23489531421,8.5561716437569,0.00962882737412578,0.979875368501419,TRUE
2.52809472547953,-0.00266265036115172,0.140076397254092,-0.0013069640039128,-0.0466364508156917,NA,0.0183016259684597,NA,9,-3407.23248137542,6832.49305263849,8.81432896803562,0.00846282285065518,0.988338191352074,FALSE
2.8614081418913,NA,0.133728043395348,-0.00126443566648691,-0.0123619766639454,-0.00080951706995981,-0.279697048710494,0.0150251013016101,10,-3406.45484703882,6832.94403152106,9.26530785060459,0.00675439461401088,0.995092585966085,TRUE
-10.8450177632332,-0.00263202010726114,0.140032501283714,-0.00130668288759659,1.00775701682653,-0.0207873230694744,0.0178805408856601,NA,10,-3406.98278201552,6833.99990147446,10.3211778040059,0.00398388857125088,0.999076474537335,FALSE
1.830864791498,NA,0.133906976022615,-0.00126450817448091,-0.0499494323214016,NA,0.0176386795512348,NA,8,-3411.44542664408,6838.91332169197,15.2345980215159,0.000341484927029416,0.999417959464365,FALSE
1.35488675081164,-0.00287601286572641,0.139994344193492,-0.00130589459720042,NA,NA,0.0249260343697975,NA,8,-3411.82085884097,6839.66418608575,15.9854624152922,0.000234597514986213,0.999652556979351,FALSE
-14.0446927511621,NA,0.133939684659401,-0.00126476318267905,1.2025439324774,-0.0246919673352941,0.0171473654323848,NA,9,-3411.09288852855,6840.21386694475,16.5351432742955,0.000178222169292861,0.999830779148644,FALSE
1.85214510705766,NA,0.133072634260219,-0.00125907698869558,NA,NA,-0.248989725178054,0.0138548324044378,8,-3412.47783374071,6840.97813588523,17.2994122147775,0.000121619393625115,0.999952398542269,TRUE
3.30560840442644,-0.0024950491570623,0.139632975709783,-0.00130172296409985,-0.0721795901548957,NA,NA,NA,8,-3414.12331826191,6844.26910492764,20.5903812571833,2.34626999189131e-05,0.999975861242188,FALSE
-18.3167644375085,-0.00245191465706319,0.139579350504051,-0.00130147343874694,1.63129309448662,-0.0335651688888521,NA,NA,9,-3413.46511598512,6844.95832185788,21.2795981874278,1.66232689454516e-05,0.999992484511133,FALSE
0.506831711862123,NA,0.133279877121716,-0.00125947790383445,NA,NA,0.0247192311818862,NA,7,-3416.7268694326,6847.47121156411,23.7924878936574,4.73205043538181e-06,0.999997216561569,FALSE
2.625077732503,NA,0.13385855016664,-0.00126218099371918,-0.0744497274230917,NA,NA,NA,7,-3417.84946630651,6849.71640531194,26.0376816414828,1.53996814402164e-06,0.999998756529713,FALSE
-21.0261005267377,NA,0.133909097668119,-0.00126265597533921,1.78991493990145,-0.0367345201782457,NA,NA,8,-3417.06088714505,6850.14424269391,26.4655190234607,1.24339188891703e-06,0.999999999921602,FALSE
1.58406302242954,-0.00278973424822557,0.139165018891435,-0.00129598311044729,NA,NA,NA,NA,7,-3427.76129348535,6869.54005966961,45.8613359991614,7.63589394264327e-11,0.999999999997961,FALSE
0.759456195706044,NA,0.132659894815495,-0.00125113098961649,NA,NA,NA,NA,6,-3432.3863116215,6876.78572572311,53.1070020526586,2.03931115739069e-12,1,FALSE
1.31742542393286,0.00771372175092649,0.0366882868671769,NA,-0.0341689742767448,NA,-0.242785539106954,0.0132084342290927,9,-3740.44277416496,7498.91363821757,675.234914547114,1.64484045201334e-147,1,TRUE
0.247850650981263,0.00771784770158572,0.0366861850450294,NA,0.049558035087649,-0.00165031146417429,-0.241427486543648,0.0131381427883876,10,-3740.44129528459,7500.91692801261,677.238204342153,6.04108472062983e-148,1,TRUE
0.384761529973055,0.00754463121760656,0.0366884407504453,NA,NA,NA,-0.222208473418454,0.0124078612836504,8,-3742.96850689752,7501.95948219885,678.280758528394,3.58696518352847e-148,1,TRUE
-0.0842901085641945,0.00781881604746036,0.0367130970862727,NA,-0.0308926346708343,NA,0.0186335248651328,NA,8,-3744.45403715398,7504.93054271178,681.251819041323,8.12025314142337e-149,1,FALSE
-15.3244712523171,0.00786935019005233,0.0366815088386991,NA,1.17026404932793,-0.0236804759726234,0.0181578451729621,NA,9,-3744.12660702111,7506.28130392987,682.602580259414,4.1329057032283e-149,1,FALSE
-0.855286732235316,0.00765948595576696,0.0367120324095507,NA,NA,NA,0.0229374880717661,NA,7,-3746.52748008354,7507.07243286599,683.393709195534,2.78268489621896e-149,1,FALSE
0.720091120778363,0.00793632454121441,0.0366946540769201,NA,-0.0568828101253032,NA,NA,NA,7,-3751.97737021597,7517.97221313085,694.2934894604,1.19565757402343e-151,1,FALSE
-23.1718136385758,0.00800993886947657,0.0366464238437017,NA,1.82468548717117,-0.0370741182907012,NA,NA,8,-3751.16596238452,7518.35439317285,694.6756695024,9.87682769978232e-152,1,FALSE
