"(Intercept)","CO2","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-77.2326322279563,-0.025127740903555,0.0643111296360957,-0.00045852266010558,7.57326701733784,-0.153598158885095,-1.06078678055288,0.0564045769322692,11,-2577.09240068252,5176.23678010102,0,0.999771275480004,0.999771275480004,TRUE
22.685828260605,-0.0253563020963515,0.0639905857664654,-0.000452893092502264,-0.232441025102564,NA,-1.20370081252207,0.0637557646794874,10,-2586.47950000453,5193.00230709568,16.7655269946581,0.000228724519995516,1,TRUE
-66.0059457260971,-0.0260642080187353,0.0265962037608655,NA,6.76925682535827,-0.137732087393275,-1.06975925976733,0.0567434196047813,10,-2630.6056524999,5281.25461208642,105.017831985398,1.56880219566705e-23,1,TRUE
-161.914676566938,-0.0243091374418253,0.0647091840259826,-0.000466163204079608,13.7790405190476,-0.275491266163683,0.050682506744828,NA,10,-2633.23192403144,5286.50715514949,110.270375048468,1.13499240234488e-24,1,FALSE
23.5978972669382,-0.0262813401706691,0.0267446222056353,NA,-0.230335230079872,NA,-1.1991484299982,0.0633996781851854,9,-2638.11158309967,5294.25859229656,118.021812195537,2.35390951529094e-26,1,TRUE
15.8957126259419,-0.024537160941747,0.0641119745750691,-0.000456642174764679,-0.218458336212472,NA,0.0545421704047943,NA,9,-2666.09203931203,5350.21950472129,173.982724620273,1.65970931062981e-38,1,FALSE
-178.115459210875,-0.023364201634535,0.0622442131581317,-0.0004431086518271,15.1503849937089,-0.304021414199507,NA,NA,9,-2675.4739474072,5368.98332091162,192.746540810596,1.39804488485078e-42,1,FALSE
16.4829709051272,-0.0268297805542645,0.0647057799797768,-0.000457770595250382,NA,NA,-1.07549347922405,0.0590590427168407,9,-2678.41289012247,5374.86120634217,198.624426241146,7.39868454695906e-44,1,TRUE
-152.31570824857,-0.0251728200685629,0.0262667174539298,NA,13.0990728850999,-0.262052755439936,0.0484395104837069,NA,9,-2687.40954900261,5392.85452410245,216.617744001433,9.16125989469165e-48,1,FALSE
18.2895471782394,-0.0235128526728962,0.0613524775554982,-0.000430652186835573,-0.303361643786612,NA,NA,NA,8,-2714.79670953135,5445.62175436377,269.384974262747,3.1893100386984e-59,1,FALSE
16.8155707025744,-0.0254020930949889,0.0264639206581266,NA,-0.215815333740023,NA,0.0521760969386098,NA,8,-2717.02558763208,5450.07951056521,273.842730464193,3.43326463404189e-60,1,FALSE
-168.25783659069,-0.0242043119566148,0.025655290871584,NA,14.4419546716437,-0.289957805762205,NA,NA,8,-2726.17966985314,5468.38767500735,292.150894906325,3.63195019485521e-64,1,FALSE
17.4526293570458,-0.0277593695206435,0.0270674245369659,NA,NA,NA,-1.06967855729525,0.0586147945249455,8,-2728.21934944856,5472.46703419818,296.230254097155,4.72409139620145e-65,1,TRUE
10.5125085330302,-0.0259908139711191,0.0648279916776329,-0.000461207750176596,NA,NA,0.0880686280931706,NA,8,-2745.11117795884,5506.25069121874,330.013911117717,2.17916632956816e-72,1,FALSE
